Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Хабезская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в список"	22072	1315	1567	1557	2185	2213	1462	1469	1897	1761	1007	444	260	242	1195	431	2201	866					
2	Число полученных избирательных бюллетеней	22103	1322	1572	1555	2176	2207	1469	1459	1901	1760	1012	428	254	242	1258	423	2195	870					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20537	1280	1474	1401	2046	2077	1274	1370	1806	1735	949	335	231	204	1077	383	2071	824					
5	"Число избирательных бюллетеней, выданных вне помещения"	674	14	21	71	6	4	176	84	20	10	49	20	21	26	55	28	39	30					
6	Число погашенных избирательных бюллетеней	892	28	77	83	124	126	19	5	75	15	14	73	2	12	126	12	85	16					
7	Число избирательных бюллетеней в переносных ящиках	674	14	21	71	6	4	176	84	20	10	49	20	21	26	55	28	39	30					
8	Число бюллетеней в стационарных ящиках для голосования	20537	1280	1474	1401	2046	2077	1274	1370	1806	1735	949	335	231	204	1077	383	2071	824					
9	Число недействительных избирательных бюллетеней	87	0	10	0	20	13	0	0	0	0	0	13	0	0	16	0	6	9					
10	Число действительных избирательных бюллетеней	21124	1294	1485	1472	2032	2068	1450	1454	1826	1745	998	342	252	230	1116	411	2104	845					
11	Число полученных открепительных  удостоверений	195	10	15	15	20	20	10	10	15	15	10	5	5	5	10	5	20	5					
12	Число выданных открепительных удостоверений	52	3	3	0	4	2	5	10	0	2	2	1	0	2	7	0	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	143	7	12	15	16	18	5	0	15	13	8	4	5	3	3	5	14	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	68	6	29	5	0	11	0	0	10	0	0	0	0	1	4	2	0	0					
		0.32%	0.46%	1.94%	0.34%	0.00%	0.53%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.43%	0.35%	0.49%	0.00%	0.00%					
19	. Малышкин Олег Александрович	8	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.04%	0.23%	0.20%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	10	0	0	4	0	4	0	0	0	0	0	0	0	2	0	0	0	0					
		0.05%	0.00%	0.00%	0.27%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19559	1165	1322	1345	1869	1938	1394	1420	1745	1740	910	268	224	189	1049	383	1900	698					
		92.21%	90.03%	88.43%	91.37%	91.08%	93.13%	96.14%	97.66%	95.56%	99.71%	91.18%	75.49%	88.89%	82.17%	92.67%	93.19%	90.05%	81.73%					
22	. Хакамада Ирина Муцуовна	134	6	6	10	78	6	0	1	4	0	0	4	0	1	17	1	0	0					
		0.63%	0.46%	0.40%	0.68%	3.80%	0.29%	0.00%	0.07%	0.22%	0.00%	0.00%	1.13%	0.00%	0.43%	1.50%	0.24%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1264	107	125	100	74	99	56	33	67	5	88	69	28	5	35	25	201	147					
		5.96%	8.27%	8.36%	6.79%	3.61%	4.76%	3.86%	2.27%	3.67%	0.29%	8.82%	19.44%	11.11%	2.17%	3.09%	6.08%	9.53%	17.21%					
																								
24	Против всех	81	7	0	6	11	10	0	0	0	0	0	1	0	32	11	0	3	0					
		0.38%	0.54%	0.00%	0.41%	0.54%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	13.91%	0.97%	0.00%	0.14%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
