Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Петуховская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК  1155					
1	"Число избирателей, внесенных в список"	17649	441	151	1039	1084	975	519	1305	25	905	743	753	996	284	594	67	122	220	58	316	335	268	344	110	259	195	623	399	85	82	513	86	78	128	840	519	86	232	85	347	280	139	466	77	70	406					
2	Число полученных избирательных бюллетеней	17711	441	151	1037	1084	956	517	1295	50	879	725	730	972	273	612	69	122	220	60	318	344	266	355	113	257	195	613	402	85	83	519	93	80	127	864	525	89	235	85	404	286	141	480	79	75	405					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12141	318	123	657	670	541	286	762	23	513	427	444	557	174	409	60	100	206	51	245	281	233	241	77	219	170	465	326	70	81	433	66	64	109	626	376	71	201	85	331	229	119	318	68	61	255					
5	"Число избирательных бюллетеней, выданных вне помещения"	852	46	10	40	39	40	28	33	0	39	62	35	71	19	48	0	0	0	0	28	10	14	47	9	9	4	34	22	7	0	0	9	4	0	34	30	0	13	0	16	7	2	29	0	0	14					
6	Число погашенных избирательных бюллетеней	4718	77	18	340	375	375	203	500	27	327	236	251	344	80	155	9	22	14	9	45	53	19	67	27	29	21	114	54	8	2	86	18	12	18	204	119	18	21	0	57	50	20	133	11	14	136					
7	Число избирательных бюллетеней в переносных ящиках	852	46	10	40	39	40	28	33	0	39	62	35	71	19	48	0	0	0	0	28	10	14	47	9	9	4	34	22	7	0	0	9	4	0	34	30	0	13	0	16	7	2	29	0	0	14					
8	Число бюллетеней в стационарных ящиках для голосования	12141	318	123	657	670	541	286	762	23	513	427	444	557	174	409	60	100	206	51	245	281	233	241	77	219	170	465	326	70	81	433	66	64	109	626	376	71	201	85	331	229	119	318	68	61	255					
9	Число недействительных избирательных бюллетеней	72	2	0	2	5	2	0	2	0	10	3	2	6	0	3	0	0	1	0	1	3	2	0	2	4	2	3	1	0	0	1	1	1	0	2	2	1	1	0	1	0	0	6	0	0	0					
10	Число действительных избирательных бюллетеней	12921	362	133	695	704	579	314	793	23	542	486	477	622	193	454	60	100	205	51	272	288	245	288	84	224	172	496	347	77	81	432	74	67	109	658	404	70	213	85	346	236	121	341	68	61	269					
11	Число полученных открепительных  удостоверений	466	10	5	18	18	17	12	20	0	18	17	17	17	12	15	0	5	10	3	10	10	10	15	5	10	5	15	15	5	5	10	5	5	5	27	10	5	10	5	15	10	5	12	5	5	13					
12	Число выданных открепительных удостоверений	199	0	1	13	15	14	8	7	0	5	6	5	5	0	11	0	0	4	0	5	6	0	14	4	1	1	15	2	0	0	4	5	0	0	23	8	0	2	0	0	3	0	9	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	4	0	5	3	6	2	4	23	3	3	1	1	2	0	0	0	0	0	5	2	0	5	0	4	0	13	1	2	1	0	0	0	0	4	3	0	0	0	3	0	0	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	267	10	4	5	3	3	4	13	0	13	11	12	12	12	4	0	5	6	3	5	4	10	1	1	9	4	0	13	5	5	6	0	5	5	4	2	5	8	5	15	7	5	3	5	4	11					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	336	9	2	19	24	22	8	32	0	12	14	19	14	11	1	0	0	6	0	0	12	2	10	0	5	1	24	4	0	0	13	0	0	1	12	13	0	2	2	4	1	6	22	0	0	9					
		2.59%	2.47%	1.50%	2.73%	3.39%	3.79%	2.55%	4.03%	0.00%	2.17%	2.86%	3.97%	2.23%	5.70%	0.22%	0.00%	0.00%	2.91%	0.00%	0.00%	4.12%	0.81%	3.47%	0.00%	2.19%	0.57%	4.81%	1.15%	0.00%	0.00%	3.00%	0.00%	0.00%	0.92%	1.82%	3.20%	0.00%	0.93%	2.35%	1.15%	0.42%	4.96%	6.34%	0.00%	0.00%	3.35%					
19	. Малышкин Олег Александрович	474	25	7	10	12	28	12	25	0	18	15	13	23	8	10	2	0	8	0	7	10	18	14	6	4	4	13	13	3	1	31	0	2	8	15	15	2	20	8	12	2	12	25	1	5	7					
		3.65%	6.87%	5.26%	1.43%	1.69%	4.82%	3.82%	3.14%	0.00%	3.26%	3.07%	2.71%	3.66%	4.15%	2.19%	3.33%	0.00%	3.88%	0.00%	2.56%	3.44%	7.29%	4.86%	6.98%	1.75%	2.30%	2.61%	3.74%	3.90%	1.23%	7.16%	0.00%	2.94%	7.34%	2.27%	3.69%	2.82%	9.35%	9.41%	3.46%	0.85%	9.92%	7.20%	1.47%	8.20%	2.60%					
20	. Миронов Сергей Михайлович	65	3	0	5	2	4	3	2	0	2	4	1	1	2	1	0	0	1	0	3	2	0	0	0	1	1	3	1	0	0	1	0	0	0	5	3	0	3	1	1	2	0	4	0	0	3					
		0.50%	0.82%	0.00%	0.72%	0.28%	0.69%	0.96%	0.25%	0.00%	0.36%	0.82%	0.21%	0.16%	1.04%	0.22%	0.00%	0.00%	0.49%	0.00%	1.10%	0.69%	0.00%	0.00%	0.00%	0.44%	0.57%	0.60%	0.29%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.76%	0.74%	0.00%	1.40%	1.18%	0.29%	0.85%	0.00%	1.15%	0.00%	0.00%	1.12%					
21	. Путин Владимир Владимирович	9564	262	104	490	523	424	232	571	19	379	366	369	486	138	394	51	88	148	43	184	244	158	221	44	195	158	371	267	69	65	257	58	43	78	520	274	62	154	62	267	157	87	220	24	41	197					
		73.61%	71.98%	78.20%	70.30%	73.77%	72.98%	73.89%	71.82%	82.61%	68.66%	74.85%	77.04%	77.39%	71.50%	86.21%	85.00%	88.00%	71.84%	84.31%	67.40%	83.85%	63.97%	76.74%	51.16%	85.53%	90.80%	74.35%	76.72%	89.61%	80.25%	59.35%	77.33%	63.24%	71.56%	78.79%	67.49%	87.32%	71.96%	72.94%	76.95%	66.53%	71.90%	63.40%	35.29%	67.21%	73.23%					
22	. Хакамада Ирина Муцуовна	174	1	2	9	14	14	5	9	0	13	7	15	12	1	2	1	1	2	0	2	0	4	3	1	7	2	4	1	1	1	0	0	1	5	5	6	0	4	1	9	1	0	3	0	2	3					
		1.34%	0.27%	1.50%	1.29%	1.97%	2.41%	1.59%	1.13%	0.00%	2.36%	1.43%	3.13%	1.91%	0.52%	0.44%	1.67%	1.00%	0.97%	0.00%	0.73%	0.00%	1.62%	1.04%	1.16%	3.07%	1.15%	0.80%	0.29%	1.30%	1.23%	0.00%	0.00%	1.47%	4.59%	0.76%	1.48%	0.00%	1.87%	1.18%	2.59%	0.42%	0.00%	0.86%	0.00%	3.28%	1.12%					
23	. Харитонов Николай Михайлович	2132	58	18	153	123	75	50	127	3	108	76	49	74	30	44	6	11	40	8	68	20	59	38	31	12	4	72	55	4	14	117	16	21	17	97	91	6	29	11	46	67	16	66	43	10	49					
