Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Кудымкарский район																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143					
1	"Число избирателей, внесенных в список"	19846	1444	283	798	94	84	510	574	638	128	135	120	1043	436	400	864	748	1530	296	235	174	265	418	353	651	606	657	312	828	202	201	644	451	424	576	198	245	259	381	488	200	257	313	383					
2	Число полученных избирательных бюллетеней	19975	1440	280	795	105	85	500	565	635	135	135	115	1025	445	400	860	720	1465	285	225	170	260	405	370	845	625	645	300	780	190	185	650	450	445	580	200	250	270	425	500	190	325	310	390					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11373	740	133	429	62	69	303	398	379	93	102	81	507	212	232	447	416	674	145	111	122	121	267	229	504	330	323	154	424	105	121	294	218	276	368	161	175	194	293	286	162	252	228	233					
5	"Число избирательных бюллетеней, выданных вне помещения"	3059	279	101	103	32	6	64	34	81	16	15	21	197	79	31	171	123	118	73	44	27	75	28	20	147	146	72	55	120	34	26	149	101	91	61	14	37	27	34	107	16	5	16	63					
6	Число погашенных избирательных бюллетеней	5543	421	46	263	11	10	133	133	175	26	18	13	321	154	137	242	181	673	67	70	21	64	110	121	194	149	250	91	236	51	38	207	131	78	151	25	38	49	98	107	12	68	66	94					
7	Число избирательных бюллетеней в переносных ящиках	3059	279	101	103	32	6	64	34	81	16	15	21	197	79	31	171	123	118	73	44	27	75	28	20	147	146	72	55	120	34	26	149	101	91	61	14	37	27	34	107	16	5	16	63					
8	Число бюллетеней в стационарных ящиках для голосования	11373	740	133	429	62	69	303	398	379	93	102	81	507	212	232	447	416	674	145	111	122	121	267	229	504	330	323	154	424	105	121	294	218	276	368	161	175	194	293	286	162	252	228	233					
9	Число недействительных избирательных бюллетеней	124	8	0	6	0	3	9	4	3	2	0	0	7	2	3	3	0	7	5	2	4	3	3	8	2	0	4	2	2	1	0	7	0	1	10	1	1	0	3	5	3	0	0	0					
10	Число действительных избирательных бюллетеней	14308	1011	234	526	94	72	358	428	457	107	117	102	697	289	260	615	539	785	213	153	145	193	292	241	649	476	391	207	542	138	147	436	319	366	419	174	211	221	324	388	175	257	244	296					
