Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Грозненская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №450	УИК №451	УИК №452					
1	"Число избирателей, внесенных в список избирателей"	60893	1050	734	910	1380	1827	2242	2328	988	2670	913	1268	1245	1514	2196	2176	2124	2000	2000	1920	2110	2372	492	942	1050	2246	2652	2741	2340	2140	2000	1234	674	804	795	2455	847	1320	194					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61031	1055	737	912	1386	1830	2246	2335	991	2674	916	1270	1250	1518	2200	2180	2128	2004	2002	1925	2113	2376	495	945	1052	2250	2657	2744	2344	2142	2004	1237	678	806	799	2458	850	1326	196					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	60370	1044	730	904	1364	1802	2229	2308	982	2655	908	1259	1238	1505	2178	2160	2112	1985	1989	1909	2092	2344	489	937	1044	2213	2606	2708	2315	2118	1988	1227	670	799	791	2420	842	1313	193					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	176	0	0	0	8	15	0	7	0	0	0	2	0	0	6	3	0	4	0	0	6	15	0	0	0	20	31	17	11	10	0	0	0	0	0	21	0	0	0					
6	Число погашенных избирательных бюллетеней	485	11	7	8	14	13	17	20	9	19	8	9	12	13	16	17	16	15	13	16	15	17	6	8	8	17	20	19	18	14	16	10	8	7	8	17	8	13	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	176	0	0	0	8	15	0	7	0	0	0	2	0	0	6	3	0	4	0	0	6	15	0	0	0	20	31	17	11	10	0	0	0	0	0	21	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60370	1044	730	904	1364	1802	2229	2308	982	2655	908	1259	1238	1505	2178	2160	2112	1985	1989	1909	2092	2344	489	937	1044	2213	2606	2708	2315	2118	1988	1227	670	799	791	2420	842	1313	193					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	60546	1044	730	904	1372	1817	2229	2315	982	2655	908	1261	1238	1505	2184	2163	2112	1989	1989	1909	2098	2359	489	937	1044	2233	2637	2725	2326	2128	1988	1227	670	799	791	2441	842	1313	193					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	6	5	5	7	9	10	10	8	10	8	8	8	8	9	9	9	9	9	8	10	10	4	8	6	9	10	10	10	9	9	8	5	6	6	10	6	7	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	19	0	0	0	0	0	1	4	1	3	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	281	6	5	5	7	9	9	6	7	7	8	8	7	8	9	8	8	8	9	8	10	10	4	7	6	9	10	10	9	9	9	7	5	6	6	8	5	7	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	139	2	4	2	4	5	4	5	2	5	2	4	1	2	4	4	3	4	5	3	5	5	2	3	3	6	5	7	4	4	5	3	2	3	3	6	3	4	1					
		0.23%	0.19%	0.55%	0.22%	0.29%	0.28%	0.18%	0.22%	0.20%	0.19%	0.22%	0.32%	0.08%	0.13%	0.18%	0.18%	0.14%	0.20%	0.25%	0.16%	0.24%	0.21%	0.41%	0.32%	0.29%	0.27%	0.19%	0.26%	0.17%	0.19%	0.25%	0.24%	0.30%	0.38%	0.38%	0.25%	0.36%	0.30%	0.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	87	1	0	1	1	2	3	2	1	3	3	2	3	2	4	3	3	3	2	3	2	5	2	1	1	2	4	5	3	4	3	3	1	2	1	1	2	3	0					
		0.14%	0.10%	0.00%	0.11%	0.07%	0.11%	0.13%	0.09%	0.10%	0.11%	0.33%	0.16%	0.24%	0.13%	0.18%	0.14%	0.14%	0.15%	0.10%	0.16%	0.10%	0.21%	0.41%	0.11%	0.10%	0.09%	0.15%	0.18%	0.13%	0.19%	0.15%	0.24%	0.15%	0.25%	0.13%	0.04%	0.24%	0.23%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	49	3	1	2	2	3	0	3	1	3	0	0	3	3	2	1	2	1	2	1	1	1	0	1	2	1	2	2	1	0	0	1	0	0	1	1	1	1	0					
		0.08%	0.29%	0.14%	0.22%	0.15%	0.17%	0.00%	0.13%	0.10%	0.11%	0.00%	0.00%	0.24%	0.20%	0.09%	0.05%	0.09%	0.05%	0.10%	0.05%	0.05%	0.04%	0.00%	0.11%	0.19%	0.04%	0.08%	0.07%	0.04%	0.00%	0.00%	0.08%	0.00%	0.00%	0.13%	0.04%	0.12%	0.08%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	1	0	0	1	1	1	1	0	2	0	0	1	0	3	1	1	2	3	1	1	0	0	0	0	2	1	2	2	3	1	1	0	0	0	1	0	1	0					
		0.06%	0.10%	0.00%	0.00%	0.07%	0.06%	0.04%	0.04%	0.00%	0.08%	0.00%	0.00%	0.08%	0.00%	0.14%	0.05%	0.05%	0.10%	0.15%	0.05%	0.05%	0.00%	0.00%	0.00%	0.00%	0.09%	0.04%	0.07%	0.09%	0.14%	0.05%	0.08%	0.00%	0.00%	0.00%	0.04%	0.00%	0.08%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	60194	1037	725	898	1363	1805	2220	2302	978	2640	902	1255	1230	1498	2170	2151	2101	1977	1976	1899	2085	2347	485	931	1037	2220	2622	2708	2311	2116	1977	1219	666	794	786	2431	836	1304	192					
