Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Одесская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802					
1	"Число избирателей, внесенных в список"	13049	2374	2350	155	717	674	592	750	765	1294	218	704	171	202	75	1296	290	130	161	131					
2	Число полученных избирательных бюллетеней	11801	2110	2130	151	650	610	550	670	670	1160	200	630	169	190	75	1150	260	132	163	131					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9071	1456	1470	141	558	441	423	566	624	911	185	524	131	139	65	877	223	110	114	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	608	101	79	5	46	43	62	30	23	78	14	28	13	18	6	31	17	6	6	2					
6	Число погашенных избирательных бюллетеней	2122	553	581	5	46	126	65	74	23	171	1	78	25	33	4	242	20	16	43	16					
7	Число избирательных бюллетеней в переносных ящиках	608	101	79	5	46	43	62	30	23	78	14	28	13	18	6	31	17	6	6	2					
8	Число бюллетеней в стационарных ящиках для голосования	9071	1456	1470	141	558	441	423	566	624	911	185	524	131	139	65	877	223	110	114	113					
9	Число недействительных избирательных бюллетеней	102	6	13	1	8	6	5	11	5	9	2	14	3	0	0	12	1	2	2	2					
10	Число действительных избирательных бюллетеней	9577	1551	1536	145	596	478	480	585	642	980	197	538	141	157	71	896	239	114	118	113					
11	Число полученных открепительных  удостоверений	360	40	40	10	20	20	20	20	20	40	10	20	10	10	10	30	10	10	10	10					
12	Число выданных открепительных удостоверений	132	24	24	0	6	5	18	3	4	30	7	0	3	0	0	4	1	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	14	7	0	6	8	7	0	4	4	7	4	2	1	1	5	2	0	1	1					
14	Число неиспользованных открепительных удостоверений	228	16	16	10	14	15	2	17	16	10	3	20	7	10	10	26	9	10	8	9					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	172	35	22	1	11	11	9	6	16	29	1	3	0	4	2	12	7	2	0	1					
		1.78%	2.25%	1.42%	0.68%	1.82%	2.27%	1.86%	1.01%	2.47%	2.93%	0.50%	0.54%	0.00%	2.55%	2.82%	1.32%	2.92%	1.72%	0.00%	0.87%					
19	. Малышкин Олег Александрович	445	78	75	5	26	30	23	23	31	17	7	26	16	8	0	48	18	6	5	3					
		4.60%	5.01%	4.84%	3.42%	4.30%	6.20%	4.74%	3.86%	4.79%	1.72%	3.52%	4.71%	11.11%	5.10%	0.00%	5.29%	7.50%	5.17%	4.17%	2.61%					
20	. Миронов Сергей Михайлович	57	15	10	0	1	4	2	3	1	8	1	1	1	4	0	5	0	0	1	0					
		0.59%	0.96%	0.65%	0.00%	0.17%	0.83%	0.41%	0.50%	0.15%	0.81%	0.50%	0.18%	0.69%	2.55%	0.00%	0.55%	0.00%	0.00%	0.83%	0.00%					
21	. Путин Владимир Владимирович	7050	1103	1160	102	452	399	318	455	520	683	169	396	71	114	40	665	173	52	99	79					
		72.84%	70.84%	74.89%	69.86%	74.83%	82.44%	65.57%	76.34%	80.37%	69.06%	84.92%	71.74%	49.31%	72.61%	56.34%	73.24%	72.08%	44.83%	82.50%	68.70%					
22	. Хакамада Ирина Муцуовна	174	34	26	2	8	5	9	8	13	18	1	8	5	6	1	21	6	1	1	1					
		1.80%	2.18%	1.68%	1.37%	1.32%	1.03%	1.86%	1.34%	2.01%	1.82%	0.50%	1.45%	3.47%	3.82%	1.41%	2.31%	2.50%	0.86%	0.83%	0.87%					
23	. Харитонов Николай Михайлович	1593	276	224	35	88	29	118	86	51	211	17	100	47	18	28	141	34	51	11	28					
		16.46%	17.73%	14.46%	23.97%	14.57%	5.99%	24.33%	14.43%	7.88%	21.33%	8.54%	18.12%	32.64%	11.46%	39.44%	15.53%	14.17%	43.97%	9.17%	24.35%					
																										
24	Против всех	86	10	19	0	10	0	1	4	10	14	1	4	1	3	0	4	1	2	1	1					
		0.89%	0.64%	1.23%	0.00%	1.66%	0.00%	0.21%	0.67%	1.55%	1.42%	0.50%	0.72%	0.69%	1.91%	0.00%	0.44%	0.42%	1.72%	0.83%	0.87%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
