Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Чернушинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339					
1	"Число избирателей, внесенных в список"	38180	1813	1820	767	1030	1044	725	1880	2061	1920	2037	2232	1741	1883	1676	1854	1208	686	837	276	434	1109	692	589	758	337	875	485	228	1194	463	239	587	271	233	407	384	474	658	273					
2	Число полученных избирательных бюллетеней	41000	2000	2000	800	1000	1100	800	2000	2000	2000	2100	2300	1900	2000	1800	1800	1300	700	1000	300	500	1000	800	700	900	400	900	600	300	1300	500	300	600	300	300	500	400	600	800	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22915	883	972	405	541	541	420	1410	1134	1283	1446	1453	1089	1183	1068	1118	838	356	397	203	268	577	366	252	467	228	422	297	157	578	280	136	357	199	180	249	244	283	426	209					
5	"Число избирательных бюллетеней, выданных вне помещения"	3906	125	93	42	109	73	31	61	38	60	79	61	58	46	48	165	27	45	338	32	125	147	129	259	115	80	282	101	35	312	100	87	80	24	43	95	86	109	116	50					
6	Число погашенных избирательных бюллетеней	14179	992	935	353	350	486	349	529	828	657	575	786	753	771	684	517	435	299	265	65	107	276	305	189	318	92	196	202	108	410	120	77	163	77	77	156	70	208	258	141					
7	Число избирательных бюллетеней в переносных ящиках	3906	125	93	42	109	73	31	61	38	60	79	61	58	46	48	165	27	45	338	32	125	147	129	259	115	80	282	101	35	312	100	87	80	24	43	95	86	109	116	50					
8	Число бюллетеней в стационарных ящиках для голосования	22904	883	972	405	541	540	420	1407	1134	1283	1446	1452	1089	1182	1066	1118	838	356	397	203	268	574	366	252	467	228	422	297	157	578	280	136	357	199	180	249	244	283	426	209					
9	Число недействительных избирательных бюллетеней	248	14	0	9	5	4	1	14	16	10	9	13	10	19	6	9	8	2	6	1	8	3	4	2	5	5	6	5	3	9	3	1	4	4	3	4	3	4	15	1					
10	Число действительных избирательных бюллетеней	26562	994	1065	438	645	609	450	1454	1156	1333	1516	1500	1137	1209	1108	1274	857	399	729	234	385	718	491	509	577	303	698	393	189	881	377	222	433	219	220	340	327	388	527	258					
