		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5808	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825	УИК №5826	УИК №5827	УИК №5828	УИК №5829	УИК №5830	УИК №5831	УИК №5832	УИК №5833	УИК №5835	УИК №5836	УИК №5837	УИК №5838	УИК №5839	УИК №5840	УИК №5841	УИК №5843	УИК №5844	УИК №5845	УИК №5846	УИК №5847	УИК №5848	УИК №5849	УИК №5850	УИК №5851	УИК №5853	УИК №5854	УИК №5855	УИК №5856	УИК №5857	УИК №5858	УИК №5859	УИК №5860	УИК №5861	УИК №5862	УИК №5863	УИК №5864	УИК №5865	УИК №5866	УИК №5867	УИК №5868	УИК №5869	УИК №5870	УИК №5871	УИК №5872	УИК №5873	УИК №5874	УИК №5875	УИК №5876	УИК №5877	УИК №5878	УИК №5879	УИК №5880	УИК №5881	УИК №5882	УИК №5883	УИК №5884	УИК №5885	УИК №5886	УИК №5887	УИК №5888	УИК №5889	УИК №5890	УИК №5892	УИК №5893	УИК №5894	УИК №5895	УИК №5896	УИК №5898	УИК №5899	УИК №5901	УИК №5902	УИК №5903	УИК №5904	УИК №5905	УИК №5906	УИК №5907	УИК №5908	УИК №5909	УИК №5910	УИК №5911	УИК №5912	УИК №5913	УИК №5914	УИК №5915	УИК №5916	УИК №5917	УИК №5918	УИК №5919	УИК №5920	УИК №5921	УИК №5922	УИК №5923	УИК №5924	УИК №5925	УИК №5926	УИК №5927	УИК №5928	УИК №5929	УИК №5930	УИК №5931	УИК №5933	УИК №5934	УИК №5936	УИК №5937	УИК №5938	УИК №5939	УИК №5940	УИК №5941	УИК №5942	УИК №5943	УИК №5944	УИК №5945	УИК №5946	УИК №5947									
		21.17%	24.13%	21.87%	22.76%	25.57%	23.39%	21.77%	21.81%	25.69%	21.74%	22.66%	21.70%	18.95%	23.70%	23.44%	23.55%	20.10%	25.20%	21.05%	20.89%	23.52%	19.60%	22.17%	26.35%	14.17%	16.19%	9.16%	18.66%	21.28%	37.50%	26.07%	25.49%	24.57%	23.08%	13.64%	12.82%	27.27%	10.00%	27.78%	0.00%	0.00%	29.41%	4.55%	35.00%	25.00%	15.00%	10.75%	4.65%	5.56%	2.15%	1.16%	3.41%	26.67%	23.68%	3.67%	10.64%	2.75%	3.33%	23.91%	4.55%	0.00%	3.85%	8.00%	4.26%	0.00%	11.11%	20.69%	20.00%	34.78%	23.81%	21.05%	0.00%	3.37%	0.00%	0.00%	10.00%	0.00%	8.70%	38.10%	4.76%	0.00%	9.52%	12.16%	20.55%	7.41%	0.00%	0.00%	0.00%	0.00%	25.71%	5.56%	14.29%	44.44%	7.69%	18.52%	3.85%	10.71%	19.23%	7.69%	3.70%	0.00%	0.00%	3.70%	0.00%	5.71%	0.00%	3.57%	5.88%	0.00%	0.00%	7.69%	13.33%	14.29%	4.35%	8.33%	0.00%	0.00%	13.64%	3.45%	51.85%	50.00%	0.00%	5.56%	29.41%	33.33%	16.67%	8.70%	69.57%	0.00%	27.27%	16.22%	28.57%	17.24%	5.71%	5.05%	4.42%	0.00%	21.43%	17.65%	78.26%	50.00%	28.57%	0.00%	35.71%	7.69%	50.00%	21.43%	38.10%	4.35%	12.00%	80.00%	30.43%	0.00%	4.76%	0.00%	10.71%	37.93%	10.00%	33.33%	31.82%	0.00%	7.69%	25.00%	26.67%	12.50%	15.79%	3.85%	17.65%	0.00%	0.00%	18.18%	16.13%									
15	Жириновский Владимир Вольфович	2097	77	88	68	72	56	52	40	25	27	27	41	46	23	57	25	48	52	57	21	43	56	61	23	29	45	11	21	17	70	43	37	31	3	3	6	1	2	3	1	2	2	4	2	7	8	31	15	22	5	8	16	5	5	25	17	11	4	5	6	7	6	5	17	0	4	4	5	2	4	4	0	5	1	0	8	0	5	1	8	2	2	26	16	5	2	0	0	2	3	1	5	0	3	4	4	6	8	3	2	1	1	0	1	0	0	1	1	0	3	2	8	2	6	5	2	2	3	7	8	2	2	6	4	2	5	1	4	0	5	4	4	4	3	11	56	6	0	4	4	4	3	5	2	0	3	1	4	2	12	1	1	0	2	3	5	7	4	3	0	1	3	0	3	5	1	4	8	4	9	6	23									
		6.61%	4.55%	5.92%	5.39%	5.48%	4.58%	4.12%	4.64%	4.07%	4.52%	5.61%	6.01%	6.18%	3.24%	4.51%	2.64%	6.07%	5.98%	4.92%	3.75%	4.40%	5.10%	5.35%	7.30%	4.57%	5.56%	4.38%	7.84%	7.23%	7.00%	4.61%	6.60%	7.69%	11.54%	13.64%	15.38%	4.55%	10.00%	16.67%	7.14%	15.38%	11.76%	18.18%	10.00%	35.00%	40.00%	33.33%	11.63%	20.37%	5.38%	9.30%	18.18%	16.67%	13.16%	22.94%	18.09%	10.09%	13.33%	10.87%	27.27%	23.33%	23.08%	20.00%	18.09%	0.00%	22.22%	13.79%	25.00%	8.70%	19.05%	21.05%	0.00%	5.62%	3.13%	0.00%	40.00%	0.00%	21.74%	4.76%	38.10%	9.52%	9.52%	35.14%	21.92%	18.52%	8.33%	0.00%	0.00%	7.69%	8.57%	5.56%	17.86%	0.00%	23.08%	14.81%	15.38%	21.43%	30.77%	11.54%	7.41%	3.70%	3.45%	0.00%	3.03%	0.00%	0.00%	3.57%	5.88%	0.00%	16.67%	15.38%	53.33%	14.29%	26.09%	20.83%	8.33%	7.41%	13.64%	24.14%	29.63%	16.67%	18.18%	33.33%	23.53%	11.11%	41.67%	4.35%	17.39%	0.00%	22.73%	10.81%	8.16%	6.90%	8.57%	11.11%	16.52%	31.58%	0.00%	23.53%	17.39%	28.57%	21.43%	35.71%	14.29%	0.00%	21.43%	7.14%	19.05%	8.70%	48.00%	5.00%	4.35%	0.00%	9.52%	12.50%	17.86%	24.14%	20.00%	14.29%	0.00%	6.67%	23.08%	0.00%	20.00%	31.25%	5.26%	15.38%	47.06%	14.29%	15.79%	27.27%	37.10%									
16	Путин Владимир Владимирович	19852	1022	928	812	803	758	796	549	356	380	296	427	482	427	784	599	506	510	736	371	597	726	717	193	481	585	206	181	150	447	490	294	226	15	12	22	14	13	7	12	10	6	16	8	4	8	47	98	73	85	72	66	17	22	73	57	88	25	26	12	23	17	17	65	8	11	16	8	12	10	10	31	81	29	29	8	18	16	11	9	17	15	33	39	20	21	26	26	24	20	15	17	1	6	14	18	13	10	21	23	26	26	26	32	33	33	26	15	18	14	10	3	9	15	15	20	25	15	19	3	1	9	11	6	9	3	16	3	23	11	13	23	39	25	79	243	12	11	4	1	2	4	7	6	10	3	9	8	20	7	2	12	23	16	20	19	11	12	10	15	9	8	9	2	8	12	19	6	22	36	11	18									
		62.58%	60.44%	62.45%	64.39%	61.11%	61.98%	63.02%	63.69%	57.89%	63.55%	61.54%	62.61%	64.78%	60.23%	62.07%	63.25%	63.97%	58.69%	63.50%	66.25%	61.04%	66.18%	62.84%	61.27%	75.75%	72.31%	82.07%	67.54%	63.83%	44.70%	52.58%	52.41%	56.08%	57.69%	54.55%	56.41%	63.64%	65.00%	38.89%	85.71%	76.92%	35.29%	72.73%	40.00%	20.00%	40.00%	50.54%	75.97%	67.59%	91.40%	83.72%	75.00%	56.67%	57.89%	66.97%	60.64%	80.73%	83.33%	56.52%	54.55%	76.67%	65.38%	68.00%	69.15%	100.00%	61.11%	55.17%	40.00%	52.17%	47.62%	52.63%	100.00%	91.01%	90.63%	100.00%	40.00%	100.00%	69.57%	52.38%	42.86%	80.95%	71.43%	44.59%	53.42%	74.07%	87.50%	100.00%	100.00%	92.31%	57.14%	83.33%	60.71%	11.11%	46.15%	51.85%	69.23%	46.43%	38.46%	80.77%	85.19%	96.30%	89.66%	96.30%	96.97%	94.29%	100.00%	92.86%	88.24%	94.74%	77.78%	76.92%	20.00%	64.29%	65.22%	62.50%	83.33%	92.59%	68.18%	65.52%	11.11%	8.33%	81.82%	61.11%	35.29%	50.00%	25.00%	69.57%	13.04%	100.00%	50.00%	35.14%	46.94%	67.24%	71.43%	79.80%	71.68%	63.16%	78.57%	23.53%	4.35%	14.29%	28.57%	50.00%	42.86%	76.92%	21.43%	64.29%	38.10%	86.96%	28.00%	10.00%	52.17%	100.00%	76.19%	83.33%	67.86%	37.93%	60.00%	47.62%	68.18%	60.00%	61.54%	75.00%	13.33%	50.00%	63.16%	73.08%	35.29%	78.57%	63.16%	50.00%	29.03%									
17	Собчак Ксения Анатольевна	1160	71	54	22	43	43	51	34	37	25	16	22	32	32	49	35	31	24	44	14	48	41	34	9	11	15	4	4	7	28	92	44	26	1	1	4	0	1	2	0	1	0	0	0	0	1	1	6	2	1	2	2	0	2	5	8	1	0	3	2	0	1	0	4	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	2	0	2	4	1	0	0	0	0	0	0	1	0	0	0	1	2	3	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2	2	0	0	0	5	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	1	0	2	0	0	2	0	2	0	0	0	4	0	7									
		3.66%	4.20%	3.63%	1.74%	3.27%	3.52%	4.04%	3.94%	6.02%	4.18%	3.33%	3.23%	4.30%	4.51%	3.88%	3.70%	3.92%	2.76%	3.80%	2.50%	4.91%	3.74%	2.98%	2.86%	1.73%	1.85%	1.59%	1.49%	2.98%	2.80%	9.87%	7.84%	6.45%	3.85%	4.55%	10.26%	0.00%	5.00%	11.11%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	5.00%	1.08%	4.65%	1.85%	1.08%	2.33%	2.27%	0.00%	5.26%	4.59%	8.51%	0.92%	0.00%	6.52%	9.09%	0.00%	3.85%	0.00%	4.26%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	3.13%	0.00%	10.00%	0.00%	0.00%	4.76%	9.52%	0.00%	9.52%	5.41%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	3.70%	7.69%	10.71%	3.85%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	6.67%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	8.33%	0.00%	0.00%	0.00%	5.56%	0.00%	4.35%	0.00%	0.00%	0.00%	5.41%	4.08%	0.00%	0.00%	0.00%	1.47%	5.26%	0.00%	0.00%	0.00%	0.00%	14.29%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	0.00%	9.52%	0.00%	0.00%	0.00%	10.00%	4.76%	0.00%	13.33%	0.00%	0.00%	13.33%	0.00%	10.53%	0.00%	0.00%	0.00%	7.02%	0.00%	11.29%									
18	Сурайкин Максим Александрович	163	12	7	8	11	4	6	3	4	2	3	6	3	7	5	7	1	5	4	1	4	6	10	0	6	3	0	1	0	4	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0									
		0.51%	0.71%	0.47%	0.63%	0.84%	0.33%	0.48%	0.35%	0.65%	0.33%	0.62%	0.88%	0.40%	0.99%	0.40%	0.74%	0.13%	0.58%	0.35%	0.18%	0.41%	0.55%	0.88%	0.00%	0.94%	0.37%	0.00%	0.37%	0.00%	0.40%	0.21%	0.18%	0.25%	3.85%	0.00%	2.56%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.83%	1.06%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	5.41%	0.00%	1.72%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
19	Титов Борис Юрьевич	404	27	19	12	18	19	21	17	14	5	8	8	11	8	17	13	7	19	19	10	11	14	14	2	5	6	5	1	1	9	18	7	4	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0									
		1.27%	1.60%	1.28%	0.95%	1.37%	1.55%	1.66%	1.97%	2.28%	0.84%	1.66%	1.17%	1.48%	1.13%	1.35%	1.37%	0.88%	2.19%	1.64%	1.79%	1.12%	1.28%	1.23%	0.63%	0.79%	0.74%	1.99%	0.37%	0.43%	0.90%	1.93%	1.25%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	23.53%	0.00%	5.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	15.38%	7.41%	0.00%	0.00%	3.85%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.11%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	17.65%	0.00%	7.14%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	3.57%	1.75%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	626	38	31	25	12	25	35	18	13	20	11	18	14	33	25	24	25	13	33	15	24	24	32	1	2	2	0	3	2	16	24	11	9	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	2	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	3	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1									
		1.97%	2.25%	2.09%	1.98%	0.91%	2.04%	2.77%	2.09%	2.11%	3.34%	2.29%	2.64%	1.88%	4.65%	1.98%	2.53%	3.16%	1.50%	2.85%	2.68%	2.45%	2.19%	2.80%	0.32%	0.31%	0.25%	0.00%	1.12%	0.85%	1.60%	2.58%	1.96%	2.23%	0.00%	0.00%	2.56%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	1.83%	0.00%	0.00%	4.55%	0.00%	3.85%	0.00%	2.13%	0.00%	5.56%	0.00%	10.00%	4.35%	0.00%	5.26%	0.00%	0.00%	3.13%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	4.76%	0.00%	0.00%	2.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	13.51%	6.12%	0.00%	2.86%	1.01%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	7.14%	0.00%	0.00%	7.14%	0.00%	4.76%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	7.69%	0.00%	0.00%	1.75%	4.55%	1.61%									
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
