Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Пластовская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1599	111	162	159	144	125	97	70	91	83	18	10	33	28	10	24	32	11	5	16	12	16	67	66	27	42	5	18	22	95					
		11.59%	11.86%	11.82%	12.22%	12.60%	11.94%	12.80%	11.99%	11.83%	10.88%	5.56%	6.29%	8.19%	7.87%	9.09%	10.13%	8.86%	16.67%	6.94%	15.84%	12.12%	12.21%	12.91%	17.55%	13.92%	12.07%	5.68%	11.25%	8.70%	12.29%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	84	3	11	6	7	7	3	3	5	6	2	1	0	0	0	0	1	1	1	1	0	2	2	5	10	3	0	0	0	4					
		0.61%	0.32%	0.80%	0.46%	0.61%	0.67%	0.40%	0.51%	0.65%	0.79%	0.62%	0.63%	0.00%	0.00%	0.00%	0.00%	0.28%	1.52%	1.39%	0.99%	0.00%	1.53%	0.39%	1.33%	5.15%	0.86%	0.00%	0.00%	0.00%	0.52%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1887	115	234	198	178	148	103	79	99	88	46	12	46	34	4	38	53	3	7	16	20	15	82	36	8	60	18	19	23	105					
		13.67%	12.29%	17.07%	15.22%	15.57%	14.14%	13.59%	13.53%	12.87%	11.53%	14.20%	7.55%	11.41%	9.55%	3.64%	16.03%	14.68%	4.55%	9.72%	15.84%	20.20%	11.45%	15.80%	9.57%	4.12%	17.24%	20.45%	11.88%	9.09%	13.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	201	15	19	30	23	11	6	9	17	2	3	2	2	3	2	0	9	2	3	2	1	5	11	3	1	8	2	6	1	3					
		1.46%	1.60%	1.39%	2.31%	2.01%	1.05%	0.79%	1.54%	2.21%	0.26%	0.93%	1.26%	0.50%	0.84%	1.82%	0.00%	2.49%	3.03%	4.17%	1.98%	1.01%	3.82%	2.12%	0.80%	0.52%	2.30%	2.27%	3.75%	0.40%	0.39%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7912	568	672	641	600	590	449	325	459	502	189	107	287	251	86	130	202	43	40	39	51	73	270	205	131	191	54	94	182	481					
		57.33%	60.68%	49.02%	49.27%	52.49%	56.35%	59.23%	55.65%	59.69%	65.79%	58.33%	67.30%	71.22%	70.51%	78.18%	54.85%	55.96%	65.15%	55.56%	38.61%	51.52%	55.73%	52.02%	54.52%	67.53%	54.89%	61.36%	58.75%	71.94%	62.23%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	72	3	10	1	5	1	4	2	4	5	1	0	0	1	0	8	7	0	2	0	0	1	5	5	1	1	1	0	1	3					
		0.52%	0.32%	0.73%	0.08%	0.44%	0.10%	0.53%	0.34%	0.52%	0.66%	0.31%	0.00%	0.00%	0.28%	0.00%	3.38%	1.94%	0.00%	2.78%	0.00%	0.00%	0.76%	0.96%	1.33%	0.52%	0.29%	1.14%	0.00%	0.40%	0.39%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
