Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Онежская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК  640	УИК  641	УИК  642	УИК  643	Участок  №644	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  1158					
14	Число неиспользованных открепительных удостоверений	207	15	14	21	19	17	20	24	25	4	1	6	4	2	6	2	0	0	1	0	2	1	3	2	0	1	0	1	1	0	3	2	0	3	0	0	3	0	0	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	14	4	1	1	0	4	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	476	53	60	27	37	48	34	38	12	3	20	5	7	4	9	0	13	1	1	30	2	0	3	1	3	0	10	0	8	8	1	4	5	7	9	3	0	2	3	5	0					
		2.64%	3.15%	3.92%	2.28%	2.82%	2.88%	3.32%	3.35%	1.50%	1.55%	2.38%	1.43%	2.90%	3.23%	2.99%	0.00%	4.00%	0.71%	1.56%	2.53%	1.42%	0.00%	1.42%	0.57%	1.91%	0.00%	3.42%	0.00%	7.92%	2.95%	0.90%	1.52%	1.79%	2.72%	3.06%	1.91%	0.00%	1.53%	3.49%	1.61%	0.00%					
19	. Малышкин Олег Александрович	417	46	20	28	23	53	34	39	15	3	17	10	6	1	5	0	5	4	0	30	0	3	3	1	4	4	2	2	1	7	0	11	10	8	7	4	2	2	2	4	1					
		2.31%	2.74%	1.31%	2.36%	1.75%	3.18%	3.32%	3.44%	1.88%	1.55%	2.02%	2.87%	2.49%	0.81%	1.66%	0.00%	1.54%	2.86%	0.00%	2.53%	0.00%	2.19%	1.42%	0.57%	2.55%	2.48%	0.68%	2.35%	0.99%	2.58%	0.00%	4.18%	3.58%	3.11%	2.38%	2.55%	1.98%	1.53%	2.33%	1.29%	0.55%					
20	. Миронов Сергей Михайлович	127	13	11	15	9	15	11	9	6	0	5	3	0	1	0	1	0	2	0	5	1	3	0	2	0	0	0	1	0	3	0	2	2	3	0	0	0	0	1	1	2					
		0.70%	0.77%	0.72%	1.27%	0.69%	0.90%	1.07%	0.79%	0.75%	0.00%	0.59%	0.86%	0.00%	0.81%	0.00%	1.64%	0.00%	1.43%	0.00%	0.42%	0.71%	2.19%	0.00%	1.15%	0.00%	0.00%	0.00%	1.18%	0.00%	1.11%	0.00%	0.76%	0.72%	1.17%	0.00%	0.00%	0.00%	0.00%	1.16%	0.32%	1.10%					
21	. Путин Владимир Владимирович	14177	1225	1145	878	1034	1307	815	867	675	167	658	292	189	103	239	52	272	121	52	919	124	120	177	147	121	139	251	69	78	182	83	203	217	201	243	128	78	113	65	260	168					
		78.50%	72.92%	74.74%	74.09%	78.87%	78.36%	79.59%	76.39%	84.38%	86.08%	78.15%	83.67%	78.42%	83.06%	79.40%	85.25%	83.69%	86.43%	81.25%	77.62%	87.94%	87.59%	83.89%	84.48%	77.07%	86.34%	85.96%	81.18%	77.23%	67.16%	74.77%	77.19%	77.78%	78.21%	82.65%	81.53%	77.23%	86.26%	75.58%	83.60%	92.82%					
22	. Хакамада Ирина Муцуовна	519	65	76	51	43	47	31	29	13	2	21	13	4	1	6	2	7	5	2	26	2	1	3	1	0	1	1	0	2	5	5	10	9	10	5	4	5	0	0	7	4					
		2.87%	3.87%	4.96%	4.30%	3.28%	2.82%	3.03%	2.56%	1.62%	1.03%	2.49%	3.72%	1.66%	0.81%	1.99%	3.28%	2.15%	3.57%	3.12%	2.20%	1.42%	0.73%	1.42%	0.57%	0.00%	0.62%	0.34%	0.00%	1.98%	1.85%	4.50%	3.80%	3.23%	3.89%	1.70%	2.55%	4.95%	0.00%	0.00%	2.25%	2.21%					
23	. Харитонов Николай Михайлович	1870	228	165	149	124	148	74	113	68	13	99	20	31	13	32	6	23	6	9	146	7	6	22	20	28	13	23	11	11	60	19	29	30	20	22	17	10	11	12	27	5					
		10.35%	13.57%	10.77%	12.57%	9.46%	8.87%	7.23%	9.96%	8.50%	6.70%	11.76%	5.73%	12.86%	10.48%	10.63%	9.84%	7.08%	4.29%	14.06%	12.33%	4.96%	4.38%	10.43%	11.49%	17.83%	8.07%	7.88%	12.94%	10.89%	22.14%	17.12%	11.03%	10.75%	7.78%	7.48%	10.83%	9.90%	8.40%	13.95%	8.68%	2.76%					
																																															
