ОИК №39	Алтайский край - Барнаульский
ОИК №41	Алтайский край - Бийский
ОИК №40	Алтайский край - Рубцовский
ОИК №42	Алтайский край - Славгородский
ОИК №71	Амурская область - Амурский
ОИК №72	Архангельская область - Архангельский
ОИК №73	Архангельская область - Котласский
ОИК №74	Астраханская область - Астраханский
ОИК №75	Белгородская область - Белгородский
ОИК №76	Белгородская область - Старооскольский
ОИК №77	Брянская область - Брянский
ОИК №78	Брянская область - Унечский
ОИК №79	Владимирская область - Владимирский
ОИК №80	Владимирская область - Суздальский
ОИК №81	Волгоградская область - Волгоградский
ОИК №84	Волгоградская область - Волжский
ОИК №82	Волгоградская область - Красноармейский
ОИК №83	Волгоградская область - Михайловский
ОИК №85	Вологодская область - Вологодский
ОИК №86	Вологодская область - Череповецкий
ОИК №89	Воронежская область - Аннинский
ОИК №87	Воронежская область - Воронежский
ОИК №90	Воронежская область - Павловский
ОИК №88	Воронежская область - Правобережный
ОИК №196	Город Москва - Бабушкинский
ОИК №197	Город Москва - Кунцевский
ОИК №198	Город Москва - Ленинградский
ОИК №199	Город Москва - Люблинский
ОИК №200	Город Москва - Медведковский
ОИК №201	Город Москва - Нагатинский
ОИК №202	Город Москва - Новомосковский
ОИК №203	Город Москва - Орехово-Борисовский
ОИК №204	Город Москва - Перовский
ОИК №205	Город Москва - Преображенский
ОИК №206	Город Москва - Тушинский
ОИК №207	Город Москва - Ховринский
ОИК №208	Город Москва - Центральный
ОИК №209	Город Москва - Черемушкинский
ОИК №210	Город Москва - Чертановский
ОИК №211	Город Санкт-Петербург - Восточный
ОИК №212	Город Санкт-Петербург - Западный
ОИК №213	Город Санкт-Петербург - Северный
ОИК №214	Город Санкт-Петербург - Северо-Восточный
ОИК №215	Город Санкт-Петербург - Северо-Западный
ОИК №216	Город Санкт-Петербург - Центральный
ОИК №217	Город Санкт-Петербург - Юго-Восточный
ОИК №218	Город Санкт-Петербург - Южный
ОИК №219	Город Севастополь - Севастопольский
ОИК №220	Еврейская автономная область - Еврейский
ОИК №44	Забайкальский край - Даурский
ОИК №43	Забайкальский край - Читинский
ОИК №91	Ивановская область - Ивановский
ОИК №92	Ивановская область - Кинешемский
ОИК №94	Иркутская область - Ангарский
ОИК №96	Иркутская область - Братский
ОИК №93	Иркутская область - Иркутский
ОИК №95	Иркутская область - Шелеховский
ОИК №14	Кабардино-Балкарская Республика - Кабардино-Балкарский
ОИК №97	Калининградская область - Калининградский
ОИК №98	Калининградская область - Центральный
ОИК №99	Калужская область - Калужский
ОИК №100	Калужская область - Обнинский
ОИК №45	Камчатский край - Камчатский
ОИК №16	Карачаево-Черкесская Республика - Карачаево-Черкесский
ОИК №103	Кемеровская область - Заводский
ОИК №101	Кемеровская область - Кемеровский
ОИК №104	Кемеровская область - Новокузнецкий
ОИК №102	Кемеровская область - Прокопьевский
ОИК №106	Кировская область - Кирово-Чепецкий
ОИК №105	Кировская область - Кировский
ОИК №107	Костромская область - Костромской
ОИК №52	Краснодарский край - Армавирский
ОИК №53	Краснодарский край - Каневской
