Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Новосильская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544					
1	"Число избирателей, внесенных в список"	7402	2026	1118	293	234	357	334	370	145	757	171	139	363	280	327	105	133	250					
2	Число полученных избирательных бюллетеней	7400	2033	1047	288	238	353	340	367	151	738	172	145	376	293	374	104	133	248					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4630	1543	769	156	123	255	144	185	74	416	74	58	134	188	177	67	93	174					
5	"Число избирательных бюллетеней, выданных вне помещения"	1881	133	32	122	104	95	184	165	68	279	88	75	197	85	136	30	38	50					
6	Число погашенных избирательных бюллетеней	888	357	246	10	11	3	12	17	9	43	10	12	44	20	61	7	2	24					
7	Число избирательных бюллетеней в переносных ящиках	1881	133	32	122	104	95	184	165	68	279	88	75	197	85	136	30	38	50					
8	Число бюллетеней в стационарных ящиках для голосования	4630	1543	769	156	123	255	144	185	74	416	74	58	134	188	177	67	93	174					
9	Число недействительных избирательных бюллетеней	38	2	6	3	2	2	1	0	1	5	1	1	1	6	2	1	1	3					
10	Число действительных избирательных бюллетеней	6473	1674	795	275	225	348	327	350	141	690	161	132	330	267	311	96	130	221					
11	Число полученных открепительных  удостоверений	140	35	30	5	6	5	5	5	5	5	5	5	5	5	5	4	5	5					
12	Число выданных открепительных удостоверений	49	20	15	1	0	1	1	0	0	5	0	0	1	2	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	12	6	3	1	1	1	4	1	4	3	1	4	0	0	2	1	2					
14	Число неиспользованных открепительных удостоверений	91	15	15	4	6	4	4	5	5	0	5	5	4	3	3	4	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	213	54	57	9	4	7	5	19	1	24	5	1	6	6	9	0	2	4					
		3.27%	3.22%	7.12%	3.24%	1.76%	2.00%	1.52%	5.43%	0.70%	3.45%	3.09%	0.75%	1.81%	2.20%	2.88%	0.00%	1.53%	1.79%					
19	. Малышкин Олег Александрович	186	46	24	12	8	9	6	17	5	18	4	0	5	11	11	2	2	6					
		2.86%	2.74%	3.00%	4.32%	3.52%	2.57%	1.83%	4.86%	3.52%	2.59%	2.47%	0.00%	1.51%	4.03%	3.51%	2.06%	1.53%	2.68%					
20	. Миронов Сергей Михайлович	55	14	13	1	4	1	1	2	1	4	1	0	4	2	3	1	0	3					
		0.84%	0.84%	1.62%	0.36%	1.76%	0.29%	0.30%	0.57%	0.70%	0.58%	0.62%	0.00%	1.21%	0.73%	0.96%	1.03%	0.00%	1.34%					
21	. Путин Владимир Владимирович	3885	1044	423	147	128	239	243	186	88	424	97	74	220	131	191	46	63	141					
		59.67%	62.29%	52.81%	52.88%	56.39%	68.29%	74.09%	53.14%	61.97%	61.01%	59.88%	55.64%	66.47%	47.99%	61.02%	47.42%	48.09%	62.95%					
22	. Хакамада Ирина Муцуовна	115	30	26	5	1	1	6	6	2	12	4	2	6	5	6	2	0	1					
		1.77%	1.79%	3.25%	1.80%	0.44%	0.29%	1.83%	1.71%	1.41%	1.73%	2.47%	1.50%	1.81%	1.83%	1.92%	2.06%	0.00%	0.45%					
23	. Харитонов Николай Михайлович	1812	403	220	94	72	85	60	110	41	191	48	52	87	102	81	43	60	63					
		27.83%	24.05%	27.47%	33.81%	31.72%	24.29%	18.29%	31.43%	28.87%	27.48%	29.63%	39.10%	26.28%	37.36%	25.88%	44.33%	45.80%	28.12%					
																								
24	Против всех	207	83	32	7	8	6	6	10	3	17	2	3	2	10	10	2	3	3					
		3.18%	4.95%	4.00%	2.52%	3.52%	1.71%	1.83%	2.86%	2.11%	2.45%	1.23%	2.26%	0.60%	3.66%	3.19%	2.06%	2.29%	1.34%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
