		0.63%	1.05%	0.18%	0.30%	1.00%	0.20%	0.48%	1.09%	0.49%	0.72%	0.43%	0.31%	0.75%	0.68%	0.14%	0.96%	0.44%	0.59%	1.16%	1.34%	1.09%	1.03%	0.50%	1.04%	0.77%	0.94%	0.47%	0.51%	0.14%	0.55%	0.77%	0.60%	1.03%	0.76%	1.55%	0.78%	0.48%	0.49%	0.73%	0.66%	0.40%	1.13%	0.91%	0.55%	0.52%	0.69%	0.63%	0.36%	0.20%	0.56%	0.65%	0.35%	0.68%	0.63%	0.26%	0.52%	0.33%	0.00%	0.34%	0.68%	0.34%	0.65%	0.67%	0.77%	0.79%	0.45%	0.54%	0.53%	0.41%	0.19%	0.76%	0.63%	0.42%	0.63%	0.91%	0.50%	0.78%	0.75%	0.18%	0.63%	0.82%	1.10%	1.01%	0.53%	0.57%	0.79%	0.32%	0.98%	1.05%	0.72%	0.56%	0.74%	0.95%	0.84%	0.44%	0.77%	0.71%	1.34%	0.56%	0.28%	1.26%	0.00%	0.36%	0.86%	0.00%	5.00%	0.00%	0.00%	0.00%	0.53%									
14	Грудинин Павел Николаевич	19907	174	217	279	282	190	303	261	159	250	263	199	263	153	253	218	265	309	117	125	281	190	201	204	248	267	243	201	281	54	224	144	187	145	44	186	149	305	139	51	177	270	122	257	170	191	137	217	320	162	202	165	226	139	64	164	132	221	122	242	221	225	152	185	161	178	159	185	216	192	273	156	315	256	217	329	229	237	373	205	276	246	241	165	251	219	157	109	10	225	161	274	201	97	74	152	135	176	94	183	14	12	46	69	1	8	8	13	7	95									
		19.44%	18.22%	19.71%	21.04%	18.86%	19.23%	20.90%	21.95%	19.51%	20.10%	19.06%	20.60%	19.63%	20.79%	18.33%	17.40%	19.34%	20.34%	19.31%	18.57%	19.21%	19.55%	19.98%	19.37%	19.09%	19.28%	18.90%	20.34%	13.06%	14.84%	21.68%	21.69%	17.53%	18.45%	22.80%	24.12%	17.84%	21.49%	20.35%	16.78%	23.41%	19.12%	18.43%	20.14%	22.08%	21.83%	21.51%	19.78%	21.35%	18.18%	21.72%	19.43%	19.23%	17.53%	16.62%	21.35%	21.50%	19.44%	20.78%	18.36%	25.29%	18.20%	16.91%	23.60%	21.21%	15.99%	17.02%	19.47%	22.20%	18.64%	18.88%	24.53%	22.31%	17.85%	17.89%	20.47%	19.95%	22.36%	22.32%	21.60%	18.88%	20.72%	18.78%	14.54%	24.04%	21.49%	16.54%	15.29%	5.26%	18.00%	22.52%	20.40%	21.16%	20.42%	16.16%	19.41%	13.69%	18.18%	17.50%	16.99%	2.52%	19.67%	16.67%	19.88%	1.92%	20.00%	21.05%	21.67%	26.92%	25.27%									
15	Жириновский Владимир Вольфович	7614	71	87	103	101	59	96	60	68	86	94	64	93	46	76	86	82	79	33	62	88	52	45	63	71	84	87	80	111	29	75	43	80	91	18	56	80	115	63	19	51	95	64	99	50	63	39	96	108	74	80	59	90	78	35	80	60	94	45	113	54	104	65	67	55	104	83	79	74	98	92	47	79	99	86	130	75	61	99	55	85	79	85	96	69	62	61	52	23	112	60	115	93	33	49	80	99	68	51	110	149	5	23	31	6	5	3	5	1	29									
		7.43%	7.43%	7.90%	7.77%	6.76%	5.97%	6.62%	5.05%	8.34%	6.91%	6.81%	6.63%	6.94%	6.25%	5.51%	6.86%	5.99%	5.20%	5.45%	9.21%	6.02%	5.35%	4.47%	5.98%	5.47%	6.06%	6.77%	8.10%	5.16%	7.97%	7.26%	6.48%	7.50%	11.58%	9.33%	7.26%	9.58%	8.10%	9.22%	6.25%	6.75%	6.73%	9.67%	7.76%	6.49%	7.20%	6.12%	8.75%	7.20%	8.31%	8.60%	6.95%	7.66%	9.84%	9.09%	10.42%	9.77%	8.27%	7.67%	8.57%	6.18%	8.41%	7.23%	8.55%	7.25%	9.34%	8.89%	8.32%	7.61%	9.51%	6.36%	7.39%	5.59%	6.90%	7.09%	8.09%	6.53%	5.75%	5.92%	5.80%	5.81%	6.66%	6.63%	8.46%	6.61%	6.08%	6.43%	7.29%	12.11%	8.96%	8.39%	8.56%	9.79%	6.95%	10.70%	10.22%	10.04%	7.02%	9.50%	10.21%	26.80%	8.20%	8.33%	8.93%	11.54%	12.50%	7.89%	8.33%	3.85%	7.71%									
16	Путин Владимир Владимирович	69301	656	746	886	1007	686	954	797	539	822	947	656	917	496	971	870	944	1039	423	442	980	621	695	704	900	953	900	643	1680	258	672	442	739	514	119	498	558	927	450	209	478	947	436	845	497	571	412	719	989	603	600	579	796	535	272	487	387	775	385	889	561	839	633	505	514	793	642	639	652	698	1002	408	942	1006	822	1069	787	720	1097	634	1036	796	885	824	667	679	684	513	139	862	468	893	614	322	317	522	703	666	366	734	350	39	197	224	43	22	24	38	18	231									
		67.66%	68.69%	67.76%	66.82%	67.36%	69.43%	65.79%	67.03%	66.13%	66.08%	68.62%	67.91%	68.43%	67.39%	70.36%	69.43%	68.91%	68.40%	69.80%	65.68%	66.99%	63.89%	69.09%	66.86%	69.28%	68.81%	69.98%	65.08%	78.07%	70.88%	65.05%	66.57%	69.26%	65.39%	61.66%	64.59%	66.83%	65.33%	65.89%	68.75%	63.23%	67.07%	65.86%	66.22%	64.55%	65.26%	64.68%	65.54%	65.98%	67.68%	64.52%	68.20%	67.74%	67.47%	70.65%	63.41%	63.03%	68.16%	65.59%	67.45%	64.19%	67.88%	70.41%	64.41%	67.72%	71.25%	68.74%	67.26%	67.01%	67.77%	69.29%	64.15%	66.71%	70.15%	67.77%	66.52%	68.55%	67.92%	65.65%	66.81%	70.86%	67.06%	68.98%	72.60%	63.89%	66.63%	72.08%	71.95%	73.16%	68.96%	65.45%	66.49%	64.63%	67.79%	69.21%	66.67%	71.30%	68.80%	68.16%	68.15%	62.95%	63.93%	71.38%	64.55%	82.69%	55.00%	63.16%	63.33%	69.23%	61.44%									
17	Собчак Ксения Анатольевна	1781	20	13	20	35	18	35	18	21	28	27	17	17	14	20	17	29	31	8	6	40	50	24	23	29	25	18	19	36	8	24	11	22	12	4	6	16	25	13	7	14	32	8	25	19	23	18	28	32	15	17	11	27	11	4	9	13	11	9	25	14	19	12	7	7	6	19	16	9	15	22	3	25	20	31	23	21	12	46	19	17	12	25	16	18	17	20	8	2	14	10	18	11	3	5	6	13	10	3	12	15	2	3	5	0	2	0	0	0	11									
		1.74%	2.09%	1.18%	1.51%	2.34%	1.82%	2.41%	1.51%	2.58%	2.25%	1.96%	1.76%	1.27%	1.90%	1.45%	1.36%	2.12%	2.04%	1.32%	0.89%	2.73%	5.14%	2.39%	2.18%	2.23%	1.81%	1.40%	1.92%	1.67%	2.20%	2.32%	1.66%	2.06%	1.53%	2.07%	0.78%	1.92%	1.76%	1.90%	2.30%	1.85%	2.27%	1.21%	1.96%	2.47%	2.63%	2.83%	2.55%	2.13%	1.68%	1.83%	1.30%	2.30%	1.39%	1.04%	1.17%	2.12%	0.97%	1.53%	1.90%	1.60%	1.54%	1.33%	0.89%	0.92%	0.54%	2.03%	1.68%	0.92%	1.46%	1.52%	0.47%	1.77%	1.39%	2.56%	1.43%	1.83%	1.13%	2.75%	2.00%	1.16%	1.01%	1.95%	1.41%	1.72%	1.67%	2.11%	1.12%	1.05%	1.12%	1.40%	1.34%	1.16%	0.63%	1.09%	0.77%	1.32%	1.03%	0.56%	1.11%	2.70%	3.28%	1.09%	1.44%	0.00%	5.00%	0.00%	0.00%	0.00%	2.93%									
18	Сурайкин Максим Александрович	591	5	5	4	10	6	16	9	3	11	8	3	7	5	8	10	7	10	3	8	10	1	11	9	9	7	8	2	6	1	4	4	1	6	1	5	4	6	4	1	5	9	8	4	1	5	2	7	10	6	2	5	5	5	2	4	4	11	4	10	4	11	7	1	3	4	7	9	2	7	12	4	11	5	3	19	4	3	10	11	5	10	5	6	7	4	3	8	0	7	1	10	5	4	1	3	5	6	4	6	1	1	0	1	0	1	0	2	0	1									
		0.58%	0.52%	0.45%	0.30%	0.67%	0.61%	1.10%	0.76%	0.37%	0.88%	0.58%	0.31%	0.52%	0.68%	0.58%	0.80%	0.51%	0.66%	0.50%	1.19%	0.68%	0.10%	1.09%	0.85%	0.69%	0.51%	0.62%	0.20%	0.28%	0.27%	0.39%	0.60%	0.09%	0.76%	0.52%	0.65%	0.48%	0.42%	0.59%	0.33%	0.66%	0.64%	1.21%	0.31%	0.13%	0.57%	0.31%	0.64%	0.67%	0.67%	0.22%	0.59%	0.43%	0.63%	0.52%	0.52%	0.65%	0.97%	0.68%	0.76%	0.46%	0.89%	0.78%	0.13%	0.40%	0.36%	0.75%	0.95%	0.21%	0.68%	0.83%	0.63%	0.78%	0.35%	0.25%	1.18%	0.35%	0.28%	0.60%	1.16%	0.34%	0.84%	0.39%	0.53%	0.67%	0.39%	0.32%	1.12%	0.00%	0.56%	0.14%	0.74%	0.53%	0.84%	0.22%	0.38%	0.51%	0.62%	0.74%	0.56%	0.18%	1.64%	0.00%	0.29%	0.00%	2.50%	0.00%	3.33%	0.00%	0.27%									
19	Титов Борис Юрьевич	717	5	6	10	18	9	12	13	4	11	11	6	12	9	14	14	12	12	3	4	12	5	8	7	14	15	4	12	13	2	9	5	6	0	1	1	8	6	0	3	6	10	7	12	8	6	3	6	14	5	7	7	5	2	4	3	3	5	8	13	4	6	6	2	2	7	5	5	2	1	10	6	10	9	19	7	6	5	10	6	9	8	15	4	9	11	4	3	2	8	3	8	7	3	2	2	6	4	3	8	6	0	2	2	2	0	2	2	0	4									
		0.70%	0.52%	0.54%	0.75%	1.20%	0.91%	0.83%	1.09%	0.49%	0.88%	0.80%	0.62%	0.90%	1.22%	1.01%	1.12%	0.88%	0.79%	0.50%	0.59%	0.82%	0.51%	0.80%	0.66%	1.08%	1.08%	0.31%	1.21%	0.60%	0.55%	0.87%	0.75%	0.56%	0.00%	0.52%	0.13%	0.96%	0.42%	0.00%	0.99%	0.79%	0.71%	1.06%	0.94%	1.04%	0.69%	0.47%	0.55%	0.93%	0.56%	0.75%	0.82%	0.43%	0.25%	1.04%	0.39%	0.49%	0.44%	1.36%	0.99%	0.46%	0.49%	0.67%	0.26%	0.26%	0.63%	0.54%	0.53%	0.21%	0.10%	0.69%	0.94%	0.71%	0.63%	1.57%	0.44%	0.52%	0.47%	0.60%	0.63%	0.62%	0.67%	1.17%	0.35%	0.86%	1.08%	0.42%	0.42%	1.05%	0.64%	0.42%	0.60%	0.74%	0.63%	0.44%	0.26%	0.61%	0.41%	0.56%	0.74%	1.08%	0.00%	0.72%	0.58%	3.85%	0.00%	5.26%	3.33%	0.00%	1.06%									
20	Явлинский Григорий Алексеевич	814	8	15	9	12	11	13	8	10	15	10	12	10	2	16	14	11	21	8	6	19	12	9	18	7	11	9	14	5	1	8	3	7	5	2	9	4	16	4	6	9	17	6	15	8	5	11	6	7	11	4	13	7	5	0	6	4	6	6	7	4	15	9	1	3	4	4	5	5	9	13	4	10	13	12	12	5	3	19	7	9	11	8	9	7	7	7	7	1	1	3	7	5	3	5	2	6	8	7	4	1	2	0	3	0	0	0	0	0	1									
		0.79%	0.84%	1.36%	0.68%	0.80%	1.11%	0.90%	0.67%	1.23%	1.21%	0.72%	1.24%	0.75%	0.27%	1.16%	1.12%	0.80%	1.38%	1.32%	0.89%	1.30%	1.23%	0.89%	1.71%	0.54%	0.79%	0.70%	1.42%	0.23%	0.27%	0.77%	0.45%	0.66%	0.64%	1.04%	1.17%	0.48%	1.13%	0.59%	1.97%	1.19%	1.20%	0.91%	1.18%	1.04%	0.57%	1.73%	0.55%	0.47%	1.23%	0.43%	1.53%	0.60%	0.63%	0.00%	0.78%	0.65%	0.53%	1.02%	0.53%	0.46%	1.21%	1.00%	0.13%	0.40%	0.36%	0.43%	0.53%	0.51%	0.87%	0.90%	0.63%	0.71%	0.91%	0.99%	0.75%	0.44%	0.28%	1.14%	0.74%	0.62%	0.93%	0.62%	0.79%	0.67%	0.69%	0.74%	0.98%	0.53%	0.08%	0.42%	0.52%	0.53%	0.63%	1.09%	0.26%	0.61%	0.83%	1.30%	0.37%	0.18%	3.28%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%									
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
