Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Радищевская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506					
1	"Число избирателей, внесенных в список"	11734	1358	1261	1239	603	60	711	296	326	412	338	169	556	121	282	120	154	356	136	563	1327	250	590	142	265	99					
2	Число полученных избирательных бюллетеней	10857	1253	1173	1146	554	52	670	279	295	374	307	150	512	105	260	105	140	332	122	552	1227	230	545	131	254	89					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8313	941	973	933	435	45	434	217	241	311	251	122	346	89	218	87	111	240	78	358	942	186	386	110	189	70					
5	"Число избирательных бюллетеней, выданных вне помещения"	958	70	66	59	48	6	82	31	25	36	25	8	85	10	19	17	6	56	19	108	79	20	36	9	30	8					
6	Число погашенных избирательных бюллетеней	1586	242	134	154	71	1	154	31	29	27	31	20	81	6	23	1	23	36	25	86	206	24	123	12	35	11					
7	Число избирательных бюллетеней в переносных ящиках	958	70	66	59	48	6	82	31	25	36	25	8	85	10	19	17	6	56	19	108	79	20	36	9	30	8					
8	Число бюллетеней в стационарных ящиках для голосования	8313	941	973	933	435	45	434	217	241	311	251	122	346	89	218	87	111	240	78	358	942	186	386	110	189	70					
9	Число недействительных избирательных бюллетеней	74	5	8	7	7	0	7	4	1	1	3	0	7	0	2	2	0	1	1	3	4	6	0	3	0	2					
10	Число действительных избирательных бюллетеней	9197	1006	1031	985	476	51	509	244	265	346	273	130	424	99	235	102	117	295	96	463	1017	200	422	116	219	76					
11	Число полученных открепительных  удостоверений	435	50	30	30	10	10	30	20	10	20	10	5	10	10	10	5	5	20	5	50	30	10	20	10	20	5					
12	Число выданных открепительных удостоверений	261	36	19	24	0	5	27	10	3	14	6	0	6	0	4	0	0	11	0	45	25	0	6	4	13	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	11	5	4	1	1	7	2	4	5	0	2	1	2	1	3	1	2	2	4	6	2	3	5	1	1					
14	Число неиспользованных открепительных удостоверений	174	14	11	6	10	5	3	10	7	6	4	5	4	10	6	5	5	9	5	5	5	10	14	6	7	2					
15	"Число открепительных удостоверений, выданных в ТИК"	6	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	243	38	37	33	8	2	13	6	5	6	8	2	10	2	6	5	4	9	2	9	27	4	1	1	4	1					
