Выборы Президента Российской Федерации									
									
Наименование Избирательной комиссии:    Островнинская									
									
Итоги голосования 									
									
		Сумма	УИК  361	УИК  362					
1	"Число избирателей, внесенных в список"	3561	1189	2372					
2	Число полученных избирательных бюллетеней	3479	1190	2289					
3	"Число избирательных бюллетеней, выданных  досрочно"	163	120	43					
4	"Число избирательных бюллетеней, выданных в день голосования"	1859	648	1211					
5	"Число избирательных бюллетеней, выданных вне помещения"	38	7	31					
6	Число погашенных избирательных бюллетеней	1419	415	1004					
7	Число избирательных бюллетеней в переносных ящиках	201	127	74					
8	Число бюллетеней в стационарных ящиках для голосования	1856	648	1208					
9	Число недействительных избирательных бюллетеней	5	1	4					
10	Число действительных избирательных бюллетеней	2052	774	1278					
11	Число полученных открепительных  удостоверений	123	40	83					
12	Число выданных открепительных удостоверений	48	10	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	11	1	10					
14	Число неиспользованных открепительных удостоверений	75	30	45					
15	"Число открепительных удостоверений, выданных в ТИК"	27	6	21					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0					
"Число голосов избирателей, поданных за каждый список"									
18	. Глазьев Сергей Юрьевич	49	21	28					
		2.38%	2.71%	2.18%					
19	. Малышкин Олег Александрович	41	20	21					
		1.99%	2.58%	1.64%					
20	. Миронов Сергей Михайлович	3	3	0					
		0.15%	0.39%	0.00%					
21	. Путин Владимир Владимирович	1793	672	1121					
		87.17%	86.71%	87.44%					
22	. Хакамада Ирина Муцуовна	56	28	28					
		2.72%	3.61%	2.18%					
23	. Харитонов Николай Михайлович	50	16	34					
		2.43%	2.06%	2.65%					
									
24	Против всех	60	14	46					
		2.92%	1.81%	3.59%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
