Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Краснозоренская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366					
1	"Число избирателей, внесенных в список"	6150	1399	514	365	512	67	429	228	171	322	274	290	363	366	150	241	255	204					
2	Число полученных избирательных бюллетеней	6200	1458	511	392	493	65	426	222	170	314	272	300	360	370	152	239	252	204					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4391	1107	341	319	378	38	267	167	128	263	166	166	267	314	86	124	143	117					
5	"Число избирательных бюллетеней, выданных вне помещения"	1319	158	154	40	85	21	81	53	42	48	91	112	76	51	50	78	100	79					
6	Число погашенных избирательных бюллетеней	490	193	16	33	30	6	78	2	0	3	15	22	17	5	16	37	9	8					
7	Число избирательных бюллетеней в переносных ящиках	1319	158	154	40	85	21	81	53	42	48	91	112	76	51	50	78	100	79					
8	Число бюллетеней в стационарных ящиках для голосования	4391	1107	341	319	378	38	267	167	128	263	166	166	267	314	86	124	143	117					
9	Число недействительных избирательных бюллетеней	35	3	6	0	9	0	1	2	2	4	0	0	0	5	1	1	0	1					
10	Число действительных избирательных бюллетеней	5675	1262	489	359	454	59	347	218	168	307	257	278	343	360	135	201	243	195					
11	Число полученных открепительных  удостоверений	80	16	8	6	8	1	5	3	2	4	4	4	4	4	2	3	3	3					
12	Число выданных открепительных удостоверений	19	11	0	0	1	0	0	0	2	0	0	2	0	0	1	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	8	0	0	2	1	0	1	0	1	0	2	0	0	0	1	1	1					
14	Число неиспользованных открепительных удостоверений	61	5	8	6	7	1	5	3	0	4	4	2	4	4	1	2	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	135	42	1	3	12	0	8	3	5	14	7	5	8	6	5	0	12	4					
		2.36%	3.32%	0.20%	0.84%	2.59%	0.00%	2.30%	1.36%	2.94%	4.50%	2.72%	1.80%	2.33%	1.64%	3.68%	0.00%	4.94%	2.04%					
19	. Малышкин Олег Александрович	127	16	10	4	13	0	10	10	4	7	18	15	0	5	3	6	1	5					
		2.22%	1.26%	2.02%	1.11%	2.81%	0.00%	2.87%	4.55%	2.35%	2.25%	7.00%	5.40%	0.00%	1.37%	2.21%	2.97%	0.41%	2.55%					
20	. Миронов Сергей Михайлович	50	18	0	2	4	1	2	4	0	4	3	2	2	1	0	3	2	2					
		0.88%	1.42%	0.00%	0.56%	0.86%	1.69%	0.57%	1.82%	0.00%	1.29%	1.17%	0.72%	0.58%	0.27%	0.00%	1.49%	0.82%	1.02%					
21	. Путин Владимир Владимирович	3464	732	283	237	194	43	168	146	95	183	150	170	255	279	86	156	158	129					
		60.67%	57.87%	57.17%	66.02%	41.90%	72.88%	48.28%	66.36%	55.88%	58.84%	58.37%	61.15%	74.34%	76.44%	63.24%	77.23%	65.02%	65.82%					
22	. Хакамада Ирина Муцуовна	111	37	6	6	5	0	14	4	6	4	3	7	1	3	4	5	4	2					
		1.94%	2.92%	1.21%	1.67%	1.08%	0.00%	4.02%	1.82%	3.53%	1.29%	1.17%	2.52%	0.29%	0.82%	2.94%	2.48%	1.65%	1.02%					
23	. Харитонов Николай Михайлович	1633	352	160	102	206	15	139	47	55	91	72	76	72	65	37	31	62	51					
		28.60%	27.83%	32.32%	28.41%	44.49%	25.42%	39.94%	21.36%	32.35%	29.26%	28.02%	27.34%	20.99%	17.81%	27.21%	15.35%	25.51%	26.02%					
																								
24	Против всех	155	65	29	5	20	0	6	4	3	4	4	3	5	1	0	0	4	2					
		2.71%	5.14%	5.86%	1.39%	4.32%	0.00%	1.72%	1.82%	1.76%	1.29%	1.56%	1.08%	1.46%	0.27%	0.00%	0.00%	1.65%	1.02%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
