Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Полысаевская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822									
		0.19%	0.08%	0.12%	0.12%	0.21%	0.17%	0.42%	0.10%	0.09%	0.18%	0.27%	0.12%	0.38%	0.10%	0.31%	0.37%	0.26%	0.00%	0.11%	0.23%	0.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	38	3	1	2	2	2	3	2	2	2	1	2	3	1	0	2	2	2	2	2	2									
		0.20%	0.25%	0.12%	0.23%	0.14%	0.17%	0.32%	0.21%	0.18%	0.18%	0.13%	0.23%	0.38%	0.10%	0.00%	0.37%	0.17%	0.26%	0.22%	0.23%	0.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	50	3	3	4	3	2	1	2	1	3	3	4	2	3	2	1	3	1	3	4	2									
		0.27%	0.25%	0.36%	0.47%	0.21%	0.17%	0.11%	0.21%	0.09%	0.28%	0.40%	0.46%	0.26%	0.29%	0.31%	0.19%	0.26%	0.13%	0.33%	0.46%	0.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13736	882	609	625	1028	842	686	709	828	792	543	632	568	742	474	393	850	554	665	626	688									
		72.90%	72.89%	73.20%	73.01%	73.01%	73.22%	72.82%	72.79%	72.76%	73.20%	72.98%	72.81%	72.82%	72.89%	72.70%	72.78%	72.77%	72.80%	72.92%	72.45%	73.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	1	0	0	1	2	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0									
		0.06%	0.08%	0.00%	0.00%	0.07%	0.17%	0.00%	0.00%	0.00%	0.09%	0.13%	0.00%	0.13%	0.10%	0.00%	0.19%	0.00%	0.13%	0.11%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	29	2	1	2	2	2	2	2	2	2	1	0	1	2	1	1	2	1	1	0	2									
		0.15%	0.17%	0.12%	0.23%	0.14%	0.17%	0.21%	0.21%	0.18%	0.18%	0.13%	0.00%	0.13%	0.20%	0.15%	0.19%	0.17%	0.13%	0.11%	0.00%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1828	125	81	82	129	108	94	93	112	104	71	72	81	108	75	53	106	75	84	87	88									
		9.70%	10.33%	9.74%	9.58%	9.16%	9.39%	9.98%	9.55%	9.84%	9.61%	9.54%	8.29%	10.38%	10.61%	11.50%	9.81%	9.08%	9.86%	9.21%	10.07%	9.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	1	0	1	1	0	0	0	0	1	1	2	0	1	1	1	1	0	1	0	0									
		0.06%	0.08%	0.00%	0.12%	0.07%	0.00%	0.00%	0.00%	0.00%	0.09%	0.13%	0.23%	0.00%	0.10%	0.15%	0.19%	0.09%	0.00%	0.11%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	1	2	0	1	2	3	1	0	2	0	1	1	2	1	1	0	1	1	0	0									
		0.11%	0.08%	0.24%	0.00%	0.07%	0.17%	0.32%	0.10%	0.00%	0.18%	0.00%	0.12%	0.13%	0.20%	0.15%	0.19%	0.00%	0.13%	0.11%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	2	2	1	1	2	2	2	1	2	1	1	0	1	1	1	1	1	1	3	2									
		0.15%	0.17%	0.24%	0.12%	0.07%	0.17%	0.21%	0.21%	0.09%	0.18%	0.13%	0.12%	0.00%	0.10%	0.15%	0.19%	0.09%	0.13%	0.11%	0.35%	0.21%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	1	0	1	1	2	2	1	0	0	2	0	2	1	0	2	1	1	1	1	0									
		0.10%	0.08%	0.00%	0.12%	0.07%	0.17%	0.21%	0.10%	0.00%	0.00%	0.27%	0.00%	0.26%	0.10%	0.00%	0.37%	0.09%	0.13%	0.11%	0.12%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2092	127	89	94	160	118	95	107	139	118	77	119	75	108	62	61	135	89	104	93	122									
		11.10%	10.50%	10.70%	10.98%	11.36%	10.26%	10.08%	10.99%	12.21%	10.91%	10.35%	13.71%	9.62%	10.61%	9.51%	11.30%	11.56%	11.70%	11.40%	10.76%	12.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	2	2	3	2	2	2	2	1	2	2	2	2	3	1	2	2	2	2	0	2									
		0.20%	0.17%	0.24%	0.35%	0.14%	0.17%	0.21%	0.21%	0.09%	0.18%	0.27%	0.23%	0.26%	0.29%	0.15%	0.37%	0.17%	0.26%	0.22%	0.00%	0.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	905	59	41	40	74	64	48	52	51	51	39	32	41	44	32	19	62	33	45	46	32									
		4.80%	4.88%	4.93%	4.67%	5.26%	5.57%	5.10%	5.34%	4.48%	4.71%	5.24%	3.69%	5.26%	4.32%	4.91%	3.52%	5.31%	4.34%	4.93%	5.32%	3.40%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
