Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Ромненская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536					
1	"Число избирателей, внесенных в список"	8791	234	382	117	314	99	96	278	210	1459	1337	224	322	542	273	142	971	677	392	130	367	76	44	105					
2	Число полученных избирательных бюллетеней	8737	231	388	115	312	101	97	282	217	1437	1347	226	322	546	269	146	895	673	396	132	373	77	46	109					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5914	149	262	81	266	60	82	205	164	879	779	154	248	342	206	122	700	424	289	90	255	60	37	60					
5	"Число избирательных бюллетеней, выданных вне помещения"	306	32	24	5	0	0	0	14	13	58	24	14	15	25	16	0	9	12	20	14	7	0	0	4					
6	Число погашенных избирательных бюллетеней	2517	50	102	29	46	41	15	63	40	500	544	58	59	179	47	24	186	237	87	28	111	17	9	45					
7	Число избирательных бюллетеней в переносных ящиках	306	32	24	5	0	0	0	14	13	58	24	14	15	25	16	0	9	12	20	14	7	0	0	4					
8	Число бюллетеней в стационарных ящиках для голосования	5914	149	262	81	266	60	82	205	164	879	779	154	248	342	206	122	700	424	289	90	255	60	37	60					
9	Число недействительных избирательных бюллетеней	69	3	3	0	4	0	0	1	1	2	12	1	2	12	1	1	6	7	4	2	2	0	0	5					
10	Число действительных избирательных бюллетеней	6151	178	283	86	262	60	82	218	176	935	791	167	261	355	221	121	703	429	305	102	260	60	37	59					
11	Число полученных открепительных  удостоверений	161	4	6	4	6	4	4	6	6	25	12	4	6	6	6	4	20	10	6	4	9	3	3	3					
12	Число выданных открепительных удостоверений	53	0	1	2	0	0	0	5	1	14	7	1	0	1	0	0	12	0	0	0	8	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	1	0	2	3	0	1	0	0	5	1	1	1	1	2	0	8	0	0	1	5	1	0	0					
14	Число неиспользованных открепительных удостоверений	108	4	5	2	6	4	4	1	5	11	5	3	6	5	6	4	8	10	6	4	1	2	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	238	0	8	3	7	4	0	5	4	69	52	2	9	19	1	3	14	8	16	2	5	2	1	4					
		3.83%	0.00%	2.80%	3.49%	2.63%	6.67%	0.00%	2.28%	2.26%	7.36%	6.48%	1.19%	3.42%	5.18%	0.45%	2.46%	1.97%	1.83%	5.18%	1.92%	1.91%	3.33%	2.70%	6.25%					
19	. Малышкин Олег Александрович	198	12	15	4	6	1	3	6	6	22	23	8	11	9	4	2	14	10	18	4	5	3	6	6					
		3.18%	6.63%	5.24%	4.65%	2.26%	1.67%	3.66%	2.74%	3.39%	2.35%	2.86%	4.76%	4.18%	2.45%	1.80%	1.64%	1.97%	2.29%	5.83%	3.85%	1.91%	5.00%	16.22%	9.38%					
20	. Миронов Сергей Михайлович	64	0	2	0	1	1	2	0	2	16	10	1	1	4	0	0	7	4	10	0	2	0	1	0					
		1.03%	0.00%	0.70%	0.00%	0.38%	1.67%	2.44%	0.00%	1.13%	1.71%	1.25%	0.60%	0.38%	1.09%	0.00%	0.00%	0.99%	0.92%	3.24%	0.00%	0.76%	0.00%	2.70%	0.00%					
21	. Путин Владимир Владимирович	3886	133	184	62	210	44	51	143	111	534	446	61	173	199	166	92	520	307	163	53	141	49	22	22					
		62.48%	73.48%	64.34%	72.09%	78.95%	73.33%	62.20%	65.30%	62.71%	56.99%	55.54%	36.31%	65.78%	54.22%	74.77%	75.41%	73.34%	70.41%	52.75%	50.96%	53.82%	81.67%	59.46%	34.38%					
22	. Хакамада Ирина Муцуовна	157	2	13	1	6	2	4	3	2	26	17	8	8	11	6	1	18	7	7	0	14	1	0	0					
		2.52%	1.10%	4.55%	1.16%	2.26%	3.33%	4.88%	1.37%	1.13%	2.77%	2.12%	4.76%	3.04%	3.00%	2.70%	0.82%	2.54%	1.61%	2.27%	0.00%	5.34%	1.67%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1528	28	56	16	29	8	22	60	51	250	234	84	58	107	42	22	121	84	88	43	90	4	6	25					
		24.57%	15.47%	19.58%	18.60%	10.90%	13.33%	26.83%	27.40%	28.81%	26.68%	29.14%	50.00%	22.05%	29.16%	18.92%	18.03%	17.07%	19.27%	28.48%	41.35%	34.35%	6.67%	16.22%	39.06%					
																														
24	Против всех	80	3	5	0	3	0	0	1	0	18	9	3	1	6	2	1	9	9	3	0	3	1	1	2					
		1.29%	1.66%	1.75%	0.00%	1.13%	0.00%	0.00%	0.46%	0.00%	1.92%	1.12%	1.79%	0.38%	1.63%	0.90%	0.82%	1.27%	2.06%	0.97%	0.00%	1.15%	1.67%	2.70%	3.12%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
