Выборы Президента Российской Федерации																																																												
																																																												
Наименование Избирательной комиссии:    Рубцовская городская																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
1	"Число избирателей, внесенных в список"	126262	2414	2928	2946	2929	2689	2407	2483	2874	2942	2672	2403	2977	2713	2309	2461	2265	1972	1909	2266	2526	2600	2789	2445	2236	2821	2888	2569	2607	2637	2387	2315	2379	2396	2638	2639	2879	2903	2901	3077	2739	2016	2208	2700	3040	2088	2065	2707	1527	2581	1327	6	30	37					
2	Число полученных избирательных бюллетеней	115600	2100	2700	2700	2700	2400	2200	2300	2600	2700	2400	2200	2700	2400	2100	2300	2100	1800	1700	2100	2300	2400	2600	2200	2100	2600	2600	2400	2400	2400	2000	2100	2200	2200	2400	2400	2600	2600	2600	2800	2500	1900	2000	2500	2800	1900	1900	2500	1400	2300	1200	200	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	66090	1564	1648	1504	1574	1302	1413	1355	1467	1565	1471	1408	1731	1598	1405	1137	1371	964	1084	1187	1487	1224	1408	1448	1411	1634	1533	1319	1384	1507	953	1389	1423	1336	1444	1387	1591	1621	1633	1752	1133	836	751	871	1344	850	845	1251	716	1054	800	0	0	7					
5	"Число избирательных бюллетеней, выданных вне помещения"	1821	9	27	47	23	15	21	42	36	25	21	29	23	23	17	22	24	26	57	28	25	27	25	49	33	57	33	34	40	24	225	27	34	40	24	29	16	25	23	23	26	14	24	46	28	20	13	40	34	38	147	6	30	27					
6	Число погашенных избирательных бюллетеней	47689	527	1025	1149	1103	1083	766	903	1097	1110	908	763	946	779	678	1141	705	810	559	885	788	1149	1167	703	656	909	1034	1047	976	869	822	684	743	824	932	984	993	954	944	1025	1341	1050	1225	1583	1428	1030	1042	1209	650	1208	253	194	170	166					
7	Число избирательных бюллетеней в переносных ящиках	1817	9	27	47	23	15	21	41	36	25	21	29	23	23	17	22	24	26	57	28	25	27	25	49	33	56	33	34	40	24	223	27	34	40	24	29	16	25	23	23	26	14	24	46	28	20	13	40	34	38	147	6	30	27					
8	Число бюллетеней в стационарных ящиках для голосования	65915	1561	1648	1499	1574	1299	1411	1351	1467	1563	1471	1408	1731	1596	1389	1136	1363	964	1084	1187	1486	1224	1408	1442	1410	1634	1533	1317	1383	1507	951	1386	1423	1336	1443	1371	1591	1587	1633	1752	1132	832	751	825	1339	848	845	1249	716	1052	800	0	0	7					
9	Число недействительных избирательных бюллетеней	532	3	6	19	18	12	11	11	5	11	7	12	13	4	13	6	4	6	5	4	11	10	16	22	11	15	21	10	15	11	16	8	11	10	7	13	10	19	9	9	12	14	4	3	14	7	8	16	7	6	17	0	0	0					
10	Число действительных избирательных бюллетеней	67200	1567	1669	1527	1579	1302	1421	1381	1498	1577	1485	1425	1741	1615	1393	1152	1383	984	1136	1211	1500	1241	1417	1469	1432	1675	1545	1341	1408	1520	1158	1405	1446	1366	1460	1387	1597	1593	1647	1766	1146	832	771	868	1353	861	850	1273	743	1084	930	6	30	34					
11	Число полученных открепительных  удостоверений	526	10	10	10	10	10	10	10	10	10	10	10	10	16	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	0	0	0					
12	Число выданных открепительных удостоверений	269	9	9	3	4	1	10	6	5	2	4	6	6	11	7	9	5	2	5	6	4	3	1	6	10	4	0	3	2	10	5	10	4	2	10	2	10	8	9	8	0	5	0	2	3	5	5	2	4	4	18	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	143	0	3	2	3	2	4	4	3	0	1	5	2	7	8	0	1	3	4	4	5	3	7	0	7	5	5	2	2	3	5	5	4	4	2	1	4	1	3	4	3	3	0	2	0	1	0	0	1	0	0	4	1	0					
14	Число неиспользованных открепительных удостоверений	257	1	1	7	6	9	0	4	5	8	6	4	4	5	3	1	5	8	5	4	6	7	9	4	10	6	10	7	8	0	5	0	6	8	0	8	0	2	1	2	10	5	10	8	7	5	5	8	6	6	2	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	3	1	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	2997	93	75	70	64	69	71	75	50	67	82	54	70	65	58	38	64	42	55	61	71	61	69	62	86	88	69	59	61	75	43	57	79	78	83	52	71	73	62	91	47	26	35	34	63	22	23	41	28	45	18	0	2	0					
		4.42%	5.92%	4.48%	4.53%	4.01%	5.25%	4.96%	5.39%	3.33%	4.22%	5.50%	3.76%	3.99%	4.01%	4.13%	3.28%	4.61%	4.24%	4.82%	5.02%	4.70%	4.88%	4.82%	4.16%	5.96%	5.21%	4.41%	4.37%	4.29%	4.90%	3.66%	4.03%	5.42%	5.67%	5.66%	3.71%	4.42%	4.53%	3.74%	5.13%	4.06%	3.07%	4.52%	3.90%	4.61%	2.53%	2.68%	3.18%	3.73%	4.13%	1.90%	0.00%	6.67%	0.00%					
19	. Малышкин Олег Александрович	1771	36	38	56	55	40	29	35	44	40	26	26	32	34	16	27	31	22	19	37	22	32	32	38	21	42	44	31	31	45	33	33	30	28	27	33	34	46	59	45	50	29	35	38	49	37	34	60	30	46	12	0	0	2					
		2.61%	2.29%	2.27%	3.62%	3.44%	3.04%	2.03%	2.51%	2.93%	2.52%	1.74%	1.81%	1.82%	2.10%	1.14%	2.33%	2.24%	2.22%	1.67%	3.05%	1.46%	2.56%	2.23%	2.55%	1.46%	2.49%	2.81%	2.29%	2.18%	2.94%	2.81%	2.34%	2.06%	2.03%	1.84%	2.36%	2.12%	2.85%	3.56%	2.54%	4.32%	3.43%	4.52%	4.36%	3.58%	4.26%	3.96%	4.65%	4.00%	4.22%	1.27%	0.00%	0.00%	5.88%					
20	. Миронов Сергей Михайлович	392	6	5	8	12	10	12	7	10	9	9	6	7	9	10	6	13	5	10	6	5	9	15	13	5	6	7	10	9	3	7	10	12	9	11	3	10	7	13	10	3	4	4	2	8	14	4	6	2	5	6	0	0	0					
		0.58%	0.38%	0.30%	0.52%	0.75%	0.76%	0.84%	0.50%	0.67%	0.57%	0.60%	0.42%	0.40%	0.56%	0.71%	0.52%	0.94%	0.51%	0.88%	0.49%	0.33%	0.72%	1.05%	0.87%	0.35%	0.36%	0.45%	0.74%	0.63%	0.20%	0.60%	0.71%	0.82%	0.65%	0.75%	0.21%	0.62%	0.43%	0.79%	0.56%	0.26%	0.47%	0.52%	0.23%	0.59%	1.61%	0.47%	0.47%	0.27%	0.46%	0.63%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	45886	1079	1198	1074	1055	849	880	934	1006	1143	1017	1008	1240	1089	944	825	900	676	724	799	1032	821	973	965	928	1075	1003	931	935	1046	775	927	902	859	990	917	1095	1091	1111	1225	795	620	532	645	965	597	601	923	505	801	812	5	17	27					
