Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Эртильская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941					
1	"Число избирателей, внесенных в список"	23780	391	478	1434	552	437	281	156	300	86	713	112	388	86	157	108	696	134	738	1016	133	355	519	236	195	1003	490	295	166	2007	1580	1279	794	1000	719	433	452	1095	863	699	755	449					
2	Число полученных избирательных бюллетеней	23730	400	470	1430	560	440	280	150	300	90	710	100	370	80	150	110	710	130	740	1000	130	350	520	230	190	1000	500	290	160	2000	1570	1250	750	950	710	430	500	1080	900	800	740	460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12781	195	273	915	277	219	174	109	166	56	361	71	281	80	131	74	402	65	322	552	102	147	272	109	122	397	313	160	93	1018	828	679	384	505	329	226	196	560	507	394	369	348					
5	"Число избирательных бюллетеней, выданных вне помещения"	3649	111	90	106	170	73	46	27	41	18	166	14	69	0	14	15	126	46	241	132	23	127	80	77	33	416	113	76	33	90	94	100	51	71	76	66	148	56	53	174	148	39					
6	Число погашенных избирательных бюллетеней	7300	94	107	409	113	148	60	14	93	16	183	15	20	0	5	21	182	19	177	316	5	76	168	44	35	187	74	54	34	892	648	471	315	374	305	138	156	464	340	232	223	73					
7	Число избирательных бюллетеней в переносных ящиках	3649	111	90	106	170	73	46	27	41	18	166	14	69	0	14	15	126	46	241	132	23	127	80	77	33	416	113	76	33	90	94	100	51	71	76	66	148	56	53	174	148	39					
8	Число бюллетеней в стационарных ящиках для голосования	12781	195	273	915	277	219	174	109	166	56	361	71	281	80	131	74	402	65	322	552	102	147	272	109	122	397	313	160	93	1018	828	679	384	505	329	226	196	560	507	394	369	348					
9	Число недействительных избирательных бюллетеней	122	1	4	10	4	1	2	0	2	0	5	1	1	0	0	1	4	0	1	6	0	1	4	0	0	3	9	4	0	11	11	10	4	2	6	0	4	5	0	2	0	3					
10	Число действительных избирательных бюллетеней	16308	305	359	1011	443	291	218	136	205	74	522	84	349	80	145	88	524	111	562	678	125	273	348	186	155	810	417	232	126	1097	911	769	431	574	399	292	340	611	560	566	517	384					
11	Число полученных открепительных  удостоверений	225	8	9	6	8	4	3	2	4	2	4	2	4	2	2	2	5	2	6	7	2	4	4	3	2	6	4	4	3	11	11	11	13	11	6	6	6	11	4	11	6	4					
12	Число выданных открепительных удостоверений	68	3	1	1	5	0	0	1	0	0	2	0	3	0	1	0	0	0	2	1	1	0	3	0	0	3	3	0	0	1	7	11	4	5	0	1	0	1	4	0	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	53	2	3	1	1	2	0	0	1	1	2	0	0	0	1	0	1	5	6	2	0	0	0	2	0	1	2	1	1	1	2	3	2	2	2	1	0	1	1	2	1	0					
14	Число неиспользованных открепительных удостоверений	157	5	8	5	3	4	3	1	4	2	2	2	1	2	1	2	5	2	4	6	1	4	1	3	2	3	1	4	3	10	4	0	9	6	6	5	6	10	0	11	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
