Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Чистопольская городская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854					
1	"Число избирателей, внесенных в список"	48371	1030	1490	1203	1175	1090	690	56	1042	1128	1025	1011	1058	70	590	210	1045	1383	1259	1193	863	1075	1058	1164	1102	984	1012	860	1048	934	1025	936	1099	921	1214	1056	1233	1085	34	1228	1150	930	885	1035	1242	1178	1045	190	905	1057	541	534					
2	Число полученных избирательных бюллетеней	49920	1070	1580	1230	1200	1130	700	60	1060	1140	1040	1070	1080	70	660	210	1080	1420	1280	1200	870	1070	1060	1220	1140	990	1030	850	1100	910	1070	970	1210	990	1250	1110	1240	1100	50	1320	1180	990	950	1080	1270	1220	1040	200	1030	1080	510	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38278	867	1338	1129	898	1018	541	56	644	921	889	756	901	53	389	210	619	1059	1030	953	654	823	801	982	826	727	768	779	705	749	910	695	828	562	926	671	1042	942	34	921	947	749	740	830	924	911	885	190	743	864	429	450					
5	"Число избирательных бюллетеней, выданных вне помещения"	2308	33	25	16	45	27	59	0	56	27	21	73	61	0	32	0	96	40	54	27	66	59	65	32	52	58	64	67	60	45	67	61	75	116	34	31	58	61	0	139	43	58	28	47	35	30	24	0	43	48	19	31					
6	Число погашенных избирательных бюллетеней	9334	170	217	85	257	85	100	4	360	192	130	241	118	17	239	0	365	321	196	220	150	188	194	206	262	205	198	4	335	116	93	214	307	312	290	408	140	97	16	260	190	183	182	203	311	279	131	10	244	168	62	59					
7	Число избирательных бюллетеней в переносных ящиках	2308	33	25	16	45	27	59	0	56	27	21	73	61	0	32	0	96	40	54	27	66	59	65	32	52	58	64	67	60	45	67	61	75	116	34	31	58	61	0	139	43	58	28	47	35	30	24	0	43	48	19	31					
8	Число бюллетеней в стационарных ящиках для голосования	38274	867	1338	1129	898	1018	541	56	644	921	889	756	901	53	389	210	619	1059	1030	953	654	823	801	982	826	727	768	779	705	749	910	695	827	562	926	671	1042	942	34	921	947	749	740	830	924	911	885	190	740	864	429	450					
9	Число недействительных избирательных бюллетеней	353	0	4	3	0	0	1	0	2	2	0	2	9	0	5	0	6	9	7	14	3	0	0	0	2	9	15	1	17	7	0	3	11	11	127	0	0	0	0	5	0	23	1	5	8	0	5	1	15	0	15	5					
10	Число действительных избирательных бюллетеней	40229	900	1359	1142	943	1045	599	56	698	946	910	827	953	53	416	210	709	1090	1077	966	717	882	866	1014	876	776	817	845	748	787	977	753	891	667	833	702	1100	1003	34	1055	990	784	767	872	951	941	904	189	768	912	433	476					
11	Число полученных открепительных  удостоверений	999	24	25	25	25	20	25	0	20	20	25	15	20	0	15	0	15	25	20	25	15	25	25	15	25	25	25	25	25	20	25	25	20	25	25	25	15	25	0	20	25	15	20	25	20	25	20	0	15	20	15	25					
12	Число выданных открепительных удостоверений	692	19	20	23	16	13	6	0	16	8	17	15	15	0	13	0	11	21	14	5	11	13	11	15	20	12	16	14	24	15	19	14	16	17	25	11	15	25	0	20	21	8	9	16	20	13	16	0	10	18	9	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	517	4	1	4	4	3	0	45	3	0	11	3	11	0	10	96	5	4	2	3	0	0	3	10	1	2	5	5	5	13	4	2	0	2	4	0	0	6	24	4	4	2	2	6	6	5	0	162	1	0	30	0					
14	Число неиспользованных открепительных удостоверений	307	5	5	2	9	7	19	0	4	12	8	0	5	0	2	0	4	4	6	20	4	12	14	0	5	13	9	11	1	5	6	11	4	8	0	14	0	0	0	0	4	7	11	9	0	12	4	0	5	2	6	18					
