Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Гудермесская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №420	УИК №421					
1	"Число избирателей, внесенных в список"	65297	2018	2089	1211	2236	1560	1797	1182	1130	976	1117	1476	2613	1687	2196	1045	1326	2072	2335	2363	1733	847	944	1474	1551	720	569	1628	1501	1739	1558	2450	1653	1518	2126	1090	3044	432	719	1957	763	1805	1047					
2	Число полученных избирательных бюллетеней	65198	2015	2071	1205	2233	1557	1790	1182	1125	972	1115	1473	2608	1681	2194	1040	1323	2072	2330	2363	1733	845	937	1474	1551	720	569	1628	1501	1739	1558	2450	1653	1518	2123	1089	3038	432	719	1957	763	1805	1047					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64477	1997	2059	1201	2212	1532	1763	1173	1115	967	1113	1464	2565	1675	2154	1038	1309	2049	2303	2316	1702	836	927	1471	1539	716	559	1615	1486	1717	1543	2401	1650	1499	2088	1071	3010	430	712	1919	758	1790	1033					
5	"Число избирательных бюллетеней, выданных вне помещения"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	721	18	12	4	21	25	27	9	10	5	2	9	43	6	40	2	14	23	27	47	31	9	10	3	12	4	10	13	15	22	15	49	3	19	35	18	28	2	7	38	5	15	14					
7	Число избирательных бюллетеней в переносных ящиках	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64476	1997	2059	1201	2212	1532	1763	1173	1115	967	1113	1464	2565	1675	2154	1038	1308	2049	2303	2316	1702	836	927	1471	1539	716	559	1615	1486	1717	1543	2401	1650	1499	2088	1071	3010	430	712	1919	758	1790	1033					
9	Число недействительных избирательных бюллетеней	172	0	9	0	23	3	0	0	0	7	0	5	0	0	5	0	2	25	7	17	0	0	1	0	0	6	0	0	0	0	0	0	4	0	30	0	9	0	0	17	2	0	0					
10	Число действительных избирательных бюллетеней	64304	1997	2050	1201	2189	1529	1763	1173	1115	960	1113	1459	2565	1675	2149	1038	1306	2024	2296	2299	1702	836	926	1471	1539	710	559	1615	1486	1717	1543	2401	1646	1499	2058	1071	3001	430	712	1902	756	1790	1033					
11	Число полученных открепительных  удостоверений	600	15	15	14	14	15	14	14	14	14	14	14	15	14	14	14	14	14	16	16	14	14	14	14	14	14	14	14	14	14	14	16	14	15	14	15	14	14	14	14	14	14	14					
12	Число выданных открепительных удостоверений	19	0	0	0	0	0	0	0	0	1	0	0	1	0	14	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	581	15	15	14	14	15	14	14	14	13	14	14	14	14	0	14	13	14	15	16	14	14	14	14	14	14	14	14	14	14	14	16	14	15	14	15	14	14	14	14	13	14	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
