Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Барышская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в список"	24103	731	845	1542	1238	1757	804	758	1552	1621	857	333	273	377	261	71	783	278	521	247	247	632	131	470	296	281	130	1364	182	112	594	90	103	410	259	118	419	215	87	168	166	287	836	95	362	106	800	294					
2	Число полученных избирательных бюллетеней	23183	703	815	1489	1181	1684	769	723	1534	1612	820	326	258	365	248	67	749	261	500	238	234	609	125	449	280	266	126	1306	176	107	570	85	96	391	248	112	398	204	82	160	159	273	795	95	345	101	765	284					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14107	409	553	758	605	929	523	366	785	837	517	207	164	256	164	67	537	193	311	179	185	436	93	308	188	155	84	680	127	85	408	67	70	248	186	77	253	149	52	122	136	182	498	48	261	98	391	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	1405	30	21	60	68	27	10	34	80	56	187	26	15	25	33	0	58	9	52	9	15	25	16	21	10	28	16	36	16	0	11	3	14	54	29	9	45	21	13	22	8	24	40	14	0	0	90	25					
6	Число погашенных избирательных бюллетеней	7671	264	241	671	508	728	236	323	669	719	116	93	79	84	51	0	154	59	137	50	34	148	16	120	82	83	26	590	33	22	151	15	12	89	33	26	100	34	17	16	15	67	257	33	84	3	284	99					
7	Число избирательных бюллетеней в переносных ящиках	1405	30	21	60	68	27	10	34	80	56	187	26	15	25	33	0	58	9	52	9	15	25	16	21	10	28	16	36	16	0	11	3	14	54	29	9	45	21	13	22	8	24	40	14	0	0	90	25					
8	Число бюллетеней в стационарных ящиках для голосования	14105	409	553	758	605	929	523	366	785	837	517	207	164	256	164	67	537	193	311	179	185	434	93	308	188	155	84	680	127	85	408	67	70	248	186	77	253	149	52	122	136	182	498	48	261	98	391	160					
9	Число недействительных избирательных бюллетеней	154	2	7	6	7	15	6	5	13	14	2	1	2	0	0	1	12	3	3	0	3	0	0	0	3	4	0	15	2	1	0	0	0	0	0	0	2	0	0	1	7	1	0	2	7	0	3	4					
10	Число действительных избирательных бюллетеней	15356	437	567	812	666	941	527	395	852	879	702	232	177	281	197	66	583	199	360	188	197	459	109	329	195	179	100	701	141	84	419	70	84	302	215	86	296	170	65	143	137	205	538	60	254	98	478	181					
11	Число полученных открепительных  удостоверений	457	8	7	20	15	15	10	10	59	58	8	10	5	10	5	5	5	5	15	5	5	10	5	10	5	5	5	10	5	5	10	5	5	8	8	5	10	5	5	5	5	8	10	5	8	5	2	8					
12	Число выданных открепительных удостоверений	201	8	7	20	7	3	0	3	45	56	5	5	3	2	0	0	2	0	3	2	0	4	0	1	0	0	0	5	1	0	1	0	1	0	0	0	5	0	0	1	0	2	2	4	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	3	5	3	5	0	2	1	2	5	4	0	2	1	2	0	2	2	2	0	1	0	1	2	2	0	0	2	0	0	1	0	2	3	0	0	6	1	0	3	0	1	7	0	0	0	6	0					
14	Число неиспользованных открепительных удостоверений	256	0	0	0	8	12	10	7	14	2	3	5	2	8	5	5	3	5	12	3	5	6	5	9	5	5	5	5	4	5	9	5	4	8	8	5	5	5	5	4	5	6	8	1	7	5	0	8					
