Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Бескудниковский район 																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №3048					
1	"Число избирателей, внесенных в список"	48210	2858	2573	2628	2571	2608	2705	2515	2743	2734	2820	2697	2808	2699	2686	2734	2662	2028	2975	166					
2	Число полученных избирательных бюллетеней	48900	2800	2600	2600	2600	2700	2700	2500	2800	2700	2800	2700	2800	2700	2700	2700	2700	2800	2700	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25571	1557	1389	1382	1374	1178	1381	1516	1423	1358	1584	1365	1564	1358	1362	1600	1373	1159	1482	166					
5	"Число избирательных бюллетеней, выданных вне помещения"	1286	61	51	38	49	280	91	73	44	44	44	52	20	97	97	44	88	47	66	0					
6	Число погашенных избирательных бюллетеней	22043	1182	1160	1180	1177	1242	1228	911	1333	1298	1172	1283	1216	1245	1241	1056	1239	1594	1152	134					
7	Число избирательных бюллетеней в переносных ящиках	1286	61	51	38	49	280	91	73	44	44	44	52	20	97	97	44	88	47	66	0					
8	Число бюллетеней в стационарных ящиках для голосования	25473	1556	1387	1382	1293	1178	1381	1513	1420	1357	1584	1365	1564	1358	1359	1600	1373	1155	1482	166					
9	Число недействительных избирательных бюллетеней	294	5	23	21	17	32	8	11	19	8	8	14	50	9	17	11	15	11	15	0					
10	Число действительных избирательных бюллетеней	26465	1612	1415	1399	1325	1426	1464	1575	1445	1393	1620	1403	1534	1446	1439	1633	1446	1191	1533	166					
11	Число полученных открепительных  удостоверений	900	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	616	38	32	34	37	22	47	30	34	31	45	34	35	26	41	40	28	30	32	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	341	37	15	18	16	22	18	16	17	15	14	13	19	29	15	14	17	14	8	24					
14	Число неиспользованных открепительных удостоверений	284	12	18	16	13	28	3	20	16	19	5	16	15	24	9	10	22	20	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	21	1	1	5	0	0	1	0	0	0	2	0	1	1	0	1	4	3	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	1465	20	57	79	80	72	81	101	95	90	108	70	109	77	82	92	78	72	94	8					
		5.47%	1.24%	3.96%	5.56%	5.96%	4.94%	5.50%	6.37%	6.49%	6.42%	6.63%	4.94%	6.88%	5.29%	5.63%	5.60%	5.34%	5.99%	6.07%	4.82%					
19	. Малышкин Олег Александрович	340	10	19	21	20	18	20	15	20	23	32	26	10	20	17	17	13	18	18	3					
		1.27%	0.62%	1.32%	1.48%	1.49%	1.23%	1.36%	0.95%	1.37%	1.64%	1.97%	1.83%	0.63%	1.37%	1.17%	1.03%	0.89%	1.50%	1.16%	1.81%					
20	. Миронов Сергей Михайлович	161	16	8	6	8	13	8	7	7	8	19	4	12	6	3	8	7	5	14	2					
		0.60%	0.99%	0.56%	0.42%	0.60%	0.89%	0.54%	0.44%	0.48%	0.57%	1.17%	0.28%	0.76%	0.41%	0.21%	0.49%	0.48%	0.42%	0.90%	1.20%					
21	. Путин Владимир Владимирович	19139	1088	1057	960	958	1102	1064	1196	1055	1016	1123	1048	1082	1045	1064	1212	1048	833	1073	115					
		71.52%	67.29%	73.50%	67.61%	71.39%	75.58%	72.28%	75.41%	72.06%	72.52%	68.98%	73.96%	68.31%	71.82%	73.08%	73.72%	71.73%	69.30%	69.32%	69.28%					
22	. Хакамада Ирина Муцуовна	1957	177	100	133	92	75	108	81	87	87	130	93	131	107	100	113	103	88	146	6					
		7.31%	10.95%	6.95%	9.37%	6.86%	5.14%	7.34%	5.11%	5.94%	6.21%	7.99%	6.56%	8.27%	7.35%	6.87%	6.87%	7.05%	7.32%	9.43%	3.61%					
23	. Харитонов Николай Михайлович	1906	174	84	119	98	84	114	93	104	103	115	91	120	127	83	94	103	76	100	24					
		7.12%	10.76%	5.84%	8.38%	7.30%	5.76%	7.74%	5.86%	7.10%	7.35%	7.06%	6.42%	7.58%	8.73%	5.70%	5.72%	7.05%	6.32%	6.46%	14.46%					
																										
24	Против всех	1497	127	90	81	69	62	69	82	77	66	93	71	70	64	90	97	94	99	88	8					
		5.59%	7.85%	6.26%	5.70%	5.14%	4.25%	4.69%	5.17%	5.26%	4.71%	5.71%	5.01%	4.42%	4.40%	6.18%	5.90%	6.43%	8.24%	5.68%	4.82%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
