Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Азнакаевская городская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №1806					
1	"Число избирателей, внесенных в список"	27296	1237	1340	1577	1395	1594	1888	2010	1643	1906	1825	1647	1841	1951	1966	1665	1811					
2	Число полученных избирательных бюллетеней	26970	1051	1317	1541	1421	1607	1963	2011	1569	1896	1839	1637	1833	1990	1977	1515	1803					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20419	926	949	1133	1046	1182	1475	1405	1300	1396	1439	1242	1407	1415	1468	1203	1433					
5	"Число избирательных бюллетеней, выданных вне помещения"	664	34	74	27	40	57	63	75	5	26	23	20	21	63	20	103	13					
6	Число погашенных избирательных бюллетеней	5887	91	294	381	335	368	425	531	264	474	377	375	405	512	489	209	357					
7	Число избирательных бюллетеней в переносных ящиках	664	34	74	27	40	57	63	75	5	26	23	20	21	63	20	103	13					
8	Число бюллетеней в стационарных ящиках для голосования	20416	926	949	1133	1046	1182	1475	1405	1300	1396	1439	1242	1407	1415	1465	1203	1433					
9	Число недействительных избирательных бюллетеней	397	9	8	14	21	14	176	24	11	22	8	7	10	29	19	12	13					
10	Число действительных избирательных бюллетеней	20683	951	1015	1146	1065	1225	1362	1456	1294	1400	1454	1255	1418	1449	1466	1294	1433					
11	Число полученных открепительных  удостоверений	594	35	26	40	35	35	65	30	32	32	32	45	45	31	40	40	31					
12	Число выданных открепительных удостоверений	456	26	12	31	23	30	65	26	27	26	30	21	25	20	39	27	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	9	10	5	8	7	11	10	7	4	8	6	3	3	12	8	10					
14	Число неиспользованных открепительных удостоверений	138	9	14	9	12	5	0	4	5	6	2	24	20	11	1	13	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	1	0	1	0	2	0	0	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	719	26	20	30	42	8	51	45	49	87	64	43	33	65	42	43	71					
		3.41%	2.71%	1.96%	2.59%	3.87%	0.65%	3.32%	3.04%	3.75%	6.12%	4.38%	3.41%	2.31%	4.40%	2.83%	3.29%	4.91%					
19	. Малышкин Олег Александрович	270	9	11	22	15	16	20	10	19	28	25	16	14	15	13	17	20					
		1.28%	0.94%	1.08%	1.90%	1.38%	1.29%	1.30%	0.68%	1.46%	1.97%	1.71%	1.27%	0.98%	1.01%	0.88%	1.30%	1.38%					
20	. Миронов Сергей Михайлович	260	13	9	13	17	29	17	10	16	18	16	11	14	15	26	16	20					
		1.23%	1.35%	0.88%	1.12%	1.57%	2.34%	1.11%	0.68%	1.23%	1.27%	1.09%	0.87%	0.98%	1.01%	1.75%	1.23%	1.38%					
21	. Путин Владимир Владимирович	14414	705	661	718	716	920	1106	976	949	901	1034	926	1024	939	950	967	922					
		68.38%	73.44%	64.61%	61.90%	65.93%	74.25%	71.91%	65.95%	72.72%	63.36%	70.73%	73.38%	71.71%	63.53%	63.97%	74.04%	63.76%					
22	. Хакамада Ирина Муцуовна	1218	70	75	101	60	60	50	106	66	91	69	57	70	86	90	69	98					
		5.78%	7.29%	7.33%	8.71%	5.52%	4.84%	3.25%	7.16%	5.06%	6.40%	4.72%	4.52%	4.90%	5.82%	6.06%	5.28%	6.78%					
23	. Харитонов Николай Михайлович	3184	99	211	222	185	157	74	271	162	217	204	157	219	267	298	180	261					
		15.10%	10.31%	20.63%	19.14%	17.03%	12.67%	4.81%	18.31%	12.41%	15.26%	13.95%	12.44%	15.34%	18.06%	20.07%	13.78%	18.05%					
																							
24	Против всех	618	29	28	40	30	35	44	38	33	58	42	45	44	62	47	2	41					
		2.93%	3.02%	2.74%	3.45%	2.76%	2.82%	2.86%	2.57%	2.53%	4.08%	2.87%	3.57%	3.08%	4.19%	3.16%	0.15%	2.84%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
