Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Гаринская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345					
1	"Число избирателей, внесенных в список"	3694	1208	386	531	109	272	75	45	97	110	634	42	69	116					
2	Число полученных избирательных бюллетеней	3700	1220	390	510	110	265	80	50	105	105	630	45	70	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2490	839	223	318	76	228	67	15	87	88	358	36	54	101					
5	"Число избирательных бюллетеней, выданных вне помещения"	349	66	54	49	20	21	3	27	0	0	101	0	8	0					
6	Число погашенных избирательных бюллетеней	861	315	113	143	14	16	10	8	18	17	171	9	8	19					
7	Число избирательных бюллетеней в переносных ящиках	349	66	54	49	20	21	3	27	0	0	101	0	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	2469	839	223	318	76	207	67	15	87	88	358	36	54	101					
9	Число недействительных избирательных бюллетеней	24	7	4	7	0	3	0	0	0	0	3	0	0	0					
10	Число действительных избирательных бюллетеней	2794	898	273	360	96	225	70	42	87	88	456	36	62	101					
11	Число полученных открепительных  удостоверений	149	44	20	20	5	5	5	5	5	5	20	5	5	5					
12	Число выданных открепительных удостоверений	21	9	0	4	1	1	0	0	0	0	4	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	5	0	2	0	10	0	0	0	0	3	1	0	1					
14	Число неиспользованных открепительных удостоверений	128	35	20	16	4	4	5	5	5	5	16	5	3	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	51	30	5	2	0	6	1	1	1	1	4	0	0	0					
		1.81%	3.31%	1.81%	0.54%	0.00%	2.63%	1.43%	2.38%	1.15%	1.14%	0.87%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	52	26	2	7	1	3	0	1	2	1	9	0	0	0					
		1.85%	2.87%	0.72%	1.91%	1.04%	1.32%	0.00%	2.38%	2.30%	1.14%	1.96%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	12	4	1	3	0	1	1	0	0	0	1	0	0	1					
		0.43%	0.44%	0.36%	0.82%	0.00%	0.44%	1.43%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.99%					
21	. Путин Владимир Владимирович	2345	722	218	293	86	193	55	37	78	82	393	33	56	99					
		83.22%	79.78%	78.70%	79.84%	89.58%	84.65%	78.57%	88.10%	89.66%	93.18%	85.62%	91.67%	90.32%	98.02%					
22	. Хакамада Ирина Муцуовна	59	18	4	12	1	7	2	0	1	0	12	1	1	0					
		2.09%	1.99%	1.44%	3.27%	1.04%	3.07%	2.86%	0.00%	1.15%	0.00%	2.61%	2.78%	1.61%	0.00%					
23	. Харитонов Николай Михайлович	214	78	35	32	7	11	10	0	3	4	29	1	3	1					
		7.59%	8.62%	12.64%	8.72%	7.29%	4.82%	14.29%	0.00%	3.45%	4.55%	6.32%	2.78%	4.84%	0.99%					
																				
24	Против всех	61	20	8	11	1	4	1	3	2	0	8	1	2	0					
		2.16%	2.21%	2.89%	3.00%	1.04%	1.75%	1.43%	7.14%	2.30%	0.00%	1.74%	2.78%	3.23%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
