Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Теучежская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244					
1	"Число избирателей, внесенных в список"	13421	1219	1251	242	207	98	192	583	1133	2474	382	217	1212	224	644	562	142	177	368	1463	436	195					
2	Число полученных избирательных бюллетеней	13451	1202	1236	238	208	100	199	580	1159	2463	384	214	1197	220	647	575	145	190	384	1462	455	193					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12507	1132	1192	212	199	96	174	515	1048	2370	357	205	1182	203	629	539	134	172	363	1201	405	179					
5	"Число избирательных бюллетеней, выданных вне помещения"	379	40	44	17	4	0	2	42	56	32	9	0	6	13	14	5	7	0	3	58	27	0					
6	Число погашенных избирательных бюллетеней	565	30	0	9	5	4	23	23	55	61	18	9	9	4	4	31	4	18	18	203	23	14					
7	Число избирательных бюллетеней в переносных ящиках	379	40	44	17	4	0	2	42	56	32	9	0	6	13	14	5	7	0	3	58	27	0					
8	Число бюллетеней в стационарных ящиках для голосования	12502	1132	1192	212	199	96	174	515	1048	2370	357	205	1182	203	629	534	134	172	363	1201	405	179					
9	Число недействительных избирательных бюллетеней	45	0	0	0	0	0	0	2	0	11	2	6	2	1	4	6	5	1	0	2	3	0					
10	Число действительных избирательных бюллетеней	12836	1172	1236	229	203	96	176	555	1104	2391	364	199	1186	215	639	533	136	171	366	1257	429	179					
11	Число полученных открепительных  удостоверений	100	10	10	5	3	3	3	5	5	5	5	5	5	4	4	4	4	5	3	5	4	3					
12	Число выданных открепительных удостоверений	20	4	10	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	0	3	0	0	0	0	1	0	5	0	1	0	0	0	4	0	1	1	1	0	0					
14	Число неиспользованных открепительных удостоверений	80	6	0	5	3	3	2	5	5	5	5	5	5	3	4	0	4	5	3	5	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	61	5	1	3	1	0	2	3	3	10	0	3	0	1	4	17	3	1	2	1	0	1					
		0.47%	0.43%	0.08%	1.31%	0.49%	0.00%	1.14%	0.54%	0.27%	0.42%	0.00%	1.46%	0.00%	0.46%	0.62%	3.15%	2.13%	0.58%	0.55%	0.08%	0.00%	0.56%					
19	. Малышкин Олег Александрович	24	2	2	1	1	0	2	0	2	0	0	0	0	0	0	5	0	0	0	0	3	6					
		0.19%	0.17%	0.16%	0.44%	0.49%	0.00%	1.14%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.69%	3.35%					
20	. Миронов Сергей Михайлович	12	2	1	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0					
		0.09%	0.17%	0.08%	0.44%	0.49%	0.00%	0.00%	0.00%	0.18%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%					
21	. Путин Владимир Владимирович	11733	1150	1219	194	183	85	152	520	1051	2334	331	175	981	185	609	393	111	140	361	1023	387	149					
		91.09%	98.12%	98.62%	84.72%	90.15%	88.54%	86.36%	93.36%	95.20%	97.17%	90.44%	85.37%	82.58%	85.65%	94.71%	72.91%	78.72%	81.40%	98.63%	81.25%	89.58%	83.24%					
22	. Хакамада Ирина Муцуовна	28	3	1	3	1	0	3	3	1	4	0	2	0	0	0	3	1	0	0	1	1	1					
		0.22%	0.26%	0.08%	1.31%	0.49%	0.00%	1.70%	0.54%	0.09%	0.17%	0.00%	0.98%	0.00%	0.00%	0.00%	0.56%	0.71%	0.00%	0.00%	0.08%	0.23%	0.56%					
23	. Харитонов Николай Михайлович	920	9	11	23	10	10	13	24	41	32	28	19	205	28	21	112	20	28	3	230	34	19					
		7.14%	0.77%	0.89%	10.04%	4.93%	10.42%	7.39%	4.31%	3.71%	1.33%	7.65%	9.27%	17.26%	12.96%	3.27%	20.78%	14.18%	16.28%	0.82%	18.27%	7.87%	10.61%					
																												
24	Против всех	58	1	1	4	6	1	4	5	4	8	5	0	0	1	5	3	1	2	0	2	2	3					
		0.45%	0.09%	0.08%	1.75%	2.96%	1.04%	2.27%	0.90%	0.36%	0.33%	1.37%	0.00%	0.00%	0.46%	0.78%	0.56%	0.71%	1.16%	0.00%	0.16%	0.46%	1.68%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
