Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Тындинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737					
1	"Число избирателей, внесенных в список"	11704	1453	409	356	1173	284	259	540	179	281	2281	714	356	1544	266	225	208	337	240	402	197					
2	Число полученных избирательных бюллетеней	11621	1480	400	347	1140	300	270	520	178	268	2220	710	360	1500	264	226	270	343	230	400	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	302	0	117	0	0	7	19	9	0	1	74	0	0	52	0	0	0	0	23	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7683	956	207	317	778	170	156	376	132	222	1245	445	311	872	191	187	204	293	132	319	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	182	5	3	0	16	4	5	2	0	4	71	23	0	31	3	7	4	3	0	0	1					
6	Число погашенных избирательных бюллетеней	3454	519	73	30	346	119	90	133	46	41	830	242	49	545	70	32	62	47	75	81	24					
7	Число избирательных бюллетеней в переносных ящиках	484	5	120	0	16	11	24	11	0	5	145	23	0	83	3	7	4	3	23	0	1					
8	Число бюллетеней в стационарных ящиках для голосования	7681	955	207	317	778	170	155	376	132	222	1245	445	311	872	191	187	204	293	132	319	170					
9	Число недействительных избирательных бюллетеней	57	10	2	3	6	4	0	3	0	2	5	3	0	10	1	1	3	0	2	2	0					
10	Число действительных избирательных бюллетеней	8108	950	325	314	788	177	179	384	132	225	1385	465	311	945	193	193	205	296	153	317	171					
11	Число полученных открепительных  удостоверений	248	30	5	5	30	5	6	15	5	9	30	10	10	35	5	5	5	15	5	10	8					
12	Число выданных открепительных удостоверений	124	10	2	1	20	1	5	13	0	5	9	3	7	22	1	3	1	12	0	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	2	6	3	1	0	3	0	0	4	13	3	1	7	0	3	0	1	0	1	2					
14	Число неиспользованных открепительных удостоверений	124	20	3	4	10	4	1	2	5	4	21	7	3	13	4	2	4	3	5	8	1					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	355	37	7	7	29	4	3	10	6	13	70	24	18	53	15	6	8	4	3	34	4					
		4.35%	3.85%	2.14%	2.21%	3.65%	2.21%	1.68%	2.58%	4.55%	5.73%	5.04%	5.13%	5.79%	5.55%	7.73%	3.09%	3.85%	1.35%	1.94%	10.66%	2.34%					
19	. Малышкин Олег Александрович	331	29	7	7	40	7	16	16	0	6	49	11	14	50	8	16	10	11	4	25	5					
		4.05%	3.02%	2.14%	2.21%	5.04%	3.87%	8.94%	4.13%	0.00%	2.64%	3.53%	2.35%	4.50%	5.24%	4.12%	8.25%	4.81%	3.72%	2.58%	7.84%	2.92%					
20	. Миронов Сергей Михайлович	71	12	5	4	4	1	0	2	2	3	7	2	3	11	6	0	4	2	0	1	2					
		0.87%	1.25%	1.53%	1.26%	0.50%	0.55%	0.00%	0.52%	1.52%	1.32%	0.50%	0.43%	0.96%	1.15%	3.09%	0.00%	1.92%	0.68%	0.00%	0.31%	1.17%					
21	. Путин Владимир Владимирович	6078	745	236	244	620	139	130	320	90	175	957	377	202	691	125	144	154	262	126	201	140					
		74.44%	77.60%	72.17%	76.97%	78.09%	76.80%	72.63%	82.69%	68.18%	77.09%	68.85%	80.56%	64.95%	72.36%	64.43%	74.23%	74.04%	88.51%	81.29%	63.01%	81.87%					
22	. Хакамада Ирина Муцуовна	209	9	5	15	28	8	5	1	3	2	52	13	13	18	9	4	4	5	1	12	2					
		2.56%	0.94%	1.53%	4.73%	3.53%	4.42%	2.79%	0.26%	2.27%	0.88%	3.74%	2.78%	4.18%	1.88%	4.64%	2.06%	1.92%	1.69%	0.65%	3.76%	1.17%					
23	. Харитонов Николай Михайлович	869	84	56	27	56	16	17	27	30	23	210	32	55	89	24	22	23	11	18	32	17					
		10.64%	8.75%	17.13%	8.52%	7.05%	8.84%	9.50%	6.98%	22.73%	10.13%	15.11%	6.84%	17.68%	9.32%	12.37%	11.34%	11.06%	3.72%	11.61%	10.03%	9.94%					
																											
24	Против всех	195	34	9	10	11	2	8	8	1	3	40	6	6	33	6	1	2	1	1	12	1					
		2.39%	3.54%	2.75%	3.15%	1.39%	1.10%	4.47%	2.07%	0.76%	1.32%	2.88%	1.28%	1.93%	3.46%	3.09%	0.52%	0.96%	0.34%	0.65%	3.76%	0.58%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
