Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Ершовская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574					
1	"Число избирателей, внесенных в список"	38202	1978	2679	1281	1116	2736	2284	2114	2791	2045	407	818	248	280	272	1045	317	483	579	132	880	306	173	255	405	255	61	559	637	110	898	245	142	114	344	367	360	93	606	747	415	518	117	279	77	339	892	478	655	656	428	327	540	390	334	111	375	109					
2	Число полученных избирательных бюллетеней	38862	2100	2720	1300	1150	2780	2320	2220	2880	2100	420	840	250	280	273	1040	328	493	575	137	905	305	172	260	390	260	57	555	675	110	875	230	136	110	357	370	350	93	600	776	412	517	117	277	77	325	905	490	660	650	440	340	540	385	337	110	380	108					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30465	1418	2018	507	924	1466	1672	1350	1920	1544	368	700	245	245	239	864	264	482	540	115	823	271	150	241	350	238	56	548	615	94	786	218	127	107	309	337	339	90	586	713	393	500	117	274	77	291	841	400	636	602	405	304	525	385	299	100	342	95					
5	"Число избирательных бюллетеней, выданных вне помещения"	1066	62	79	107	38	52	41	151	74	31	7	28	3	12	10	37	24	0	20	17	10	16	13	0	9	0	0	0	0	14	0	0	0	0	15	13	0	0	0	19	11	10	0	0	0	7	21	53	4	0	0	20	0	0	19	9	0	10					
6	Число погашенных избирательных бюллетеней	7331	620	623	686	188	1262	607	719	886	525	45	112	2	23	24	139	40	11	15	5	72	18	9	19	31	22	1	7	60	2	89	12	9	3	33	20	11	3	14	44	8	7	0	3	0	27	43	37	20	48	35	16	15	0	19	1	38	3					
7	Число избирательных бюллетеней в переносных ящиках	1066	62	79	107	38	52	41	151	74	31	7	28	3	12	10	37	24	0	20	17	10	16	13	0	9	0	0	0	0	14	0	0	0	0	15	13	0	0	0	19	11	10	0	0	0	7	21	53	4	0	0	20	0	0	19	9	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	30465	1418	2018	507	924	1466	1672	1350	1920	1544	368	700	245	245	239	864	264	482	540	115	823	271	150	241	350	238	56	548	615	94	786	218	127	107	309	337	339	90	586	713	393	500	117	274	77	291	841	400	636	602	405	304	525	385	299	100	342	95					
9	Число недействительных избирательных бюллетеней	136	3	8	3	0	10	7	4	49	2	1	0	0	1	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	8	3	0	2	0	0	0	2	1	0	2	0	0	3	1	0	0	1	0	4	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	31395	1477	2089	611	962	1508	1706	1497	1945	1573	374	728	248	256	245	901	288	482	560	132	828	287	163	241	359	238	56	548	615	108	774	210	124	107	322	350	339	90	584	731	404	508	117	274	74	297	862	453	639	602	401	324	525	385	318	109	342	105					
11	Число полученных открепительных  удостоверений	465	15	17	15	15	28	15	25	25	25	10	8	5	3	5	15	15	8	8	2	15	8	2	3	5	5	2	6	10	2	8	2	2	2	4	6	5	2	5	10	5	8	3	3	2	8	10	10	6	5	5	9	5	7	3	3	7	3					
12	Число выданных открепительных удостоверений	321	15	16	9	5	28	13	21	24	25	10	8	0	3	0	15	5	8	8	2	5	7	0	1	0	3	0	0	7	0	8	2	0	0	1	0	0	0	1	10	5	1	0	0	2	8	10	10	6	5	1	9	0	0	1	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	0	5	8	0	6	1	2	2	2	1	0	2	1	1	0	0	0	1	0	0	2	2	1	0	0	0	0	0	2	3	1	0	0	1	1	3	0	2	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	1	0	1	1					
14	Число неиспользованных открепительных удостоверений	144	0	1	6	10	0	2	4	1	0	0	0	5	0	5	0	10	0	0	0	10	1	2	2	5	2	2	6	3	2	0	0	2	2	3	6	5	2	4	0	0	7	3	3	0	0	0	0	0	0	4	0	5	7	2	3	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	35	1	1	1	1	3	2	0	3	8	0	2	0	0	0	1	1	0	1	1	2	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	379	24	27	22	27	53	20	15	40	15	6	1	8	2	1	17	2	5	0	0	4	0	2	1	3	1	0	0	0	0	4	0	1	1	0	0	2	0	10	2	0	1	0	0	0	1	19	15	8	8	3	3	0	0	2	1	2	0					
		1.20%	1.62%	1.29%	3.58%	2.81%	3.49%	1.17%	1.00%	2.01%	0.95%	1.60%	0.14%	3.23%	0.78%	0.40%	1.89%	0.69%	1.04%	0.00%	0.00%	0.48%	0.00%	1.23%	0.41%	0.84%	0.42%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.79%	0.93%	0.00%	0.00%	0.59%	0.00%	1.71%	0.27%	0.00%	0.20%	0.00%	0.00%	0.00%	0.34%	2.20%	3.31%	1.25%	1.33%	0.74%	0.93%	0.00%	0.00%	0.63%	0.92%	0.58%	0.00%					
19	. Малышкин Олег Александрович	427	22	37	17	30	47	23	12	59	15	16	1	7	8	4	15	0	5	0	0	6	0	0	2	4	0	0	0	0	1	7	0	1	0	1	3	4	0	5	1	0	1	0	0	2	1	16	10	20	12	5	0	1	0	1	2	2	1					
		1.35%	1.49%	1.76%	2.77%	3.12%	3.10%	1.34%	0.80%	2.96%	0.95%	4.27%	0.14%	2.82%	3.11%	1.61%	1.66%	0.00%	1.04%	0.00%	0.00%	0.72%	0.00%	0.00%	0.83%	1.11%	0.00%	0.00%	0.00%	0.00%	0.93%	0.89%	0.00%	0.79%	0.00%	0.31%	0.86%	1.18%	0.00%	0.85%	0.14%	0.00%	0.20%	0.00%	0.00%	2.60%	0.34%	1.86%	2.21%	3.12%	1.99%	1.23%	0.00%	0.19%	0.00%	0.31%	1.83%	0.58%	0.95%					
20	. Миронов Сергей Михайлович	83	3	6	6	4	9	4	4	15	1	3	0	1	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	5	0	2	0	2	0	1	0	2	0	0	0					
		0.26%	0.20%	0.29%	0.98%	0.42%	0.59%	0.23%	0.27%	0.75%	0.06%	0.80%	0.00%	0.40%	1.95%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.29%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.31%	0.00%	0.49%	0.00%	0.19%	0.00%	0.63%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	26161	1190	1715	362	680	1034	1313	1062	1358	1200	260	655	213	225	209	726	245	437	548	128	794	277	147	217	293	218	51	519	584	98	632	187	112	94	277	334	310	81	527	703	386	489	112	266	69	270	726	401	550	541	365	308	497	367	286	100	315	98					
		82.97%	80.41%	81.78%	58.96%	70.69%	68.12%	76.65%	70.75%	68.10%	76.19%	69.33%	89.97%	85.89%	87.55%	83.94%	80.58%	85.07%	90.66%	97.86%	96.97%	95.32%	96.52%	90.18%	90.04%	81.62%	91.60%	91.07%	94.71%	94.96%	90.74%	80.41%	85.78%	88.19%	87.85%	85.49%	95.43%	91.45%	90.00%	89.93%	96.04%	95.54%	95.88%	95.73%	97.08%	89.61%	90.60%	84.22%	88.52%	85.94%	89.87%	90.12%	95.06%	94.67%	95.32%	89.94%	91.74%	92.11%	93.33%					
22	. Хакамада Ирина Муцуовна	267	13	16	17	19	25	20	18	23	3	13	0	4	2	3	6	1	4	0	0	4	2	0	2	5	0	0	0	2	0	8	0	1	0	0	2	2	0	6	23	0	1	0	2	1	1	3	1	3	4	3	0	0	0	3	0	1	0					
		0.85%	0.88%	0.76%	2.77%	1.98%	1.65%	1.17%	1.20%	1.15%	0.19%	3.47%	0.00%	1.61%	0.78%	1.20%	0.67%	0.35%	0.83%	0.00%	0.00%	0.48%	0.70%	0.00%	0.83%	1.39%	0.00%	0.00%	0.00%	0.33%	0.00%	1.02%	0.00%	0.79%	0.00%	0.00%	0.57%	0.59%	0.00%	1.02%	3.14%	0.00%	0.20%	0.00%	0.73%	1.30%	0.34%	0.35%	0.22%	0.47%	0.66%	0.74%	0.00%	0.00%	0.00%	0.94%	0.00%	0.29%	0.00%					
23	. Харитонов Николай Михайлович	3780	210	261	169	185	290	323	371	401	337	61	68	15	14	23	120	40	28	12	4	20	6	14	19	51	19	5	29	27	9	123	21	8	12	43	10	18	8	25	2	18	14	5	6	2	22	83	20	53	37	16	13	24	18	19	6	19	4					
		11.99%	14.19%	12.45%	27.52%	19.23%	19.10%	18.86%	24.72%	20.11%	21.40%	16.27%	9.34%	6.05%	5.45%	9.24%	13.32%	13.89%	5.81%	2.14%	3.03%	2.40%	2.09%	8.59%	7.88%	14.21%	7.98%	8.93%	5.29%	4.39%	8.33%	15.65%	9.63%	6.30%	11.21%	13.27%	2.86%	5.31%	8.89%	4.27%	0.27%	4.46%	2.75%	4.27%	2.19%	2.60%	7.38%	9.63%	4.42%	8.28%	6.15%	3.95%	4.01%	4.57%	4.68%	5.97%	5.50%	5.56%	3.81%					
																																																																
24	Против всех	298	15	27	18	17	50	3	15	49	2	15	3	0	0	5	17	0	0	0	0	0	2	0	0	3	0	0	0	2	0	0	2	1	0	1	0	2	1	6	0	0	2	0	0	0	2	10	6	3	0	7	0	2	0	5	0	3	2					
		0.95%	1.01%	1.29%	2.93%	1.77%	3.29%	0.18%	1.00%	2.46%	0.13%	4.00%	0.41%	0.00%	0.00%	2.01%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.92%	0.79%	0.00%	0.31%	0.00%	0.59%	1.11%	1.02%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.67%	1.16%	1.32%	0.47%	0.00%	1.73%	0.00%	0.38%	0.00%	1.57%	0.00%	0.88%	1.90%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
