Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Иваново, Октябрьская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98					
1	"Число избирателей, внесенных в список"	76895	1500	1961	1708	1908	1881	1812	1905	2299	2303	2089	2055	2084	2145	2195	2201	1832	1943	2053	1960	2167	2047	2448	2551	2469	1547	1379	1639	2137	1690	1942	1940	1818	2119	2381	2165	2055	2077	1824	666					
2	Число полученных избирательных бюллетеней	76235	1446	1958	1722	1914	1790	1794	1887	2300	2309	2100	2045	2088	2142	2298	2154	1843	1933	2037	1967	2162	2038	2421	2556	2473	1549	1376	1635	2137	1678	1674	1954	1512	2110	2406	2159	2063	2079	1826	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	37928	955	983	769	1052	948	995	1037	1187	1316	1066	1113	1166	1098	1222	820	665	842	1077	910	937	772	1062	1032	987	592	570	771	1102	814	1164	1098	1135	1074	1214	1055	774	876	1012	666					
5	"Число избирательных бюллетеней, выданных вне помещения"	1214	35	38	16	30	81	30	27	33	40	39	18	49	20	14	78	20	17	61	13	37	24	45	22	52	52	34	26	31	29	26	19	11	32	22	25	22	19	27	0					
6	Число погашенных избирательных бюллетеней	37093	456	937	937	832	761	769	823	1080	953	995	914	873	1024	1062	1256	1158	1074	899	1044	1188	1242	1314	1502	1434	905	772	838	1004	835	484	837	366	1004	1170	1079	1267	1184	787	34					
7	Число избирательных бюллетеней в переносных ящиках	1214	35	38	16	30	81	30	27	33	40	39	18	49	20	14	78	20	17	61	13	37	24	45	22	52	52	34	26	31	29	26	19	11	32	22	25	22	19	27	0					
8	Число бюллетеней в стационарных ящиках для голосования	37905	955	983	769	1052	946	995	1037	1185	1316	1066	1112	1166	1096	1222	820	665	842	1077	910	937	771	1062	1031	986	591	570	769	1098	814	1164	1097	1135	1071	1214	1053	774	876	1012	666					
9	Число недействительных избирательных бюллетеней	209	4	10	1	8	8	9	3	11	10	2	3	6	6	7	5	3	7	3	8	1	3	4	3	3	2	6	4	8	6	5	9	8	4	4	6	5	8	1	5					
10	Число действительных избирательных бюллетеней	38910	986	1011	784	1074	1019	1016	1061	1207	1346	1103	1127	1209	1110	1229	893	682	852	1135	915	973	792	1103	1050	1035	641	598	791	1121	837	1185	1107	1138	1099	1232	1072	791	887	1038	661					
11	Число полученных открепительных  удостоверений	1045	91	24	24	24	24	24	24	25	24	25	24	24	25	48	50	25	25	16	24	25	24	24	29	24	24	24	24	24	24	24	24	47	24	24	24	24	24	14	0					
