Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    район Вешняки 																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №3080					
1	"Число избирателей, внесенных в список"	79994	2643	2166	2487	2518	2637	2019	2403	2472	2463	2475	2432	2626	2718	2309	2278	2453	2427	1908	1658	2491	2316	2570	2196	2121	1542	2423	2567	2693	1908	2640	2439	1844	1983	2146	1023					
2	Число полученных избирательных бюллетеней	76000	2500	2000	2300	2400	2400	1900	2200	2300	2400	2300	2300	2400	2500	2200	2100	2300	2200	2100	1600	2300	2200	2400	2000	2000	1500	2200	2400	2500	2300	2400	2400	1800	1800	2000	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45007	1446	1182	1340	1355	1337	1133	1238	1320	1435	1311	1276	1423	1348	1303	1180	1302	1299	1354	950	1445	1257	1472	1192	1278	1018	1331	1428	1458	1409	1442	1513	994	1107	1108	1023					
5	"Число избирательных бюллетеней, выданных вне помещения"	1354	33	35	44	51	45	21	47	51	21	39	25	11	38	19	45	56	209	34	50	39	36	27	26	24	13	45	43	38	35	32	29	48	21	24	0					
6	Число погашенных избирательных бюллетеней	29639	1021	783	916	994	1018	746	915	929	944	950	999	966	1114	878	875	942	692	712	600	816	907	901	782	698	469	824	929	1004	856	926	858	758	672	868	377					
7	Число избирательных бюллетеней в переносных ящиках	1354	33	35	44	51	45	21	47	51	21	39	25	11	38	19	45	56	209	34	50	39	36	27	26	24	13	45	43	38	35	32	29	48	21	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	44946	1446	1179	1336	1355	1337	1133	1238	1310	1435	1311	1269	1423	1348	1296	1179	1302	1299	1353	950	1445	1256	1472	1192	1278	1014	1331	1428	1455	1407	1435	1506	994	1103	1108	1023					
9	Число недействительных избирательных бюллетеней	321	13	6	5	9	13	8	14	8	13	9	6	0	9	10	6	7	7	17	10	13	6	7	14	8	1	14	14	9	18	11	0	13	9	8	6					
10	Число действительных избирательных бюллетеней	45979	1466	1208	1375	1397	1369	1146	1271	1353	1443	1341	1288	1434	1377	1305	1218	1351	1501	1370	990	1471	1286	1492	1204	1294	1026	1362	1457	1484	1424	1456	1535	1029	1115	1124	1017					
11	Число полученных открепительных  удостоверений	1800	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	150	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	955	22	28	16	25	28	32	28	26	37	22	25	23	27	22	19	27	32	35	23	27	34	27	32	29	68	19	24	40	31	24	38	27	17	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	756	17	10	12	25	18	6	20	8	28	7	17	13	23	26	9	25	29	34	26	21	30	34	22	78	25	16	12	7	32	38	13	14	12	14	35					
14	Число неиспользованных открепительных удостоверений	845	28	22	34	25	22	18	22	24	13	28	25	27	23	28	31	23	18	15	27	23	16	23	18	21	82	31	26	10	19	26	12	23	33	29	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	3	0	0	0	1	1	0	1	1	2	1	1	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	3182	125	80	74	106	86	76	79	89	115	92	91	89	102	85	85	98	105	81	70	118	105	78	62	92	84	88	104	101	115	106	122	96	78	46	59					
		6.87%	8.45%	6.59%	5.36%	7.54%	6.22%	6.59%	6.15%	6.54%	7.90%	6.81%	7.03%	6.21%	7.36%	6.46%	6.94%	7.22%	6.96%	5.84%	7.00%	7.95%	8.13%	5.20%	5.09%	7.07%	8.18%	6.40%	7.07%	6.76%	7.98%	7.23%	7.95%	9.21%	6.94%	4.06%	5.77%					
19	. Малышкин Олег Александрович	529	22	22	19	12	10	14	11	20	20	14	14	20	15	20	13	13	14	8	11	20	13	20	13	15	11	17	5	10	21	9	21	18	15	20	9					
