Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Граховская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524					
1	"Число избирателей, внесенных в список"	7837	2541	202	114	329	165	264	177	139	478	213	138	411	394	140	319	298	181	145	267	165	414	69	84	190					
2	Число полученных избирательных бюллетеней	7328	2225	201	116	300	164	256	176	137	450	215	139	405	365	132	292	280	186	140	258	162	380	72	86	191					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6189	1839	160	101	261	151	203	128	120	406	198	131	327	308	102	255	259	156	129	247	136	318	67	59	128					
5	"Число избирательных бюллетеней, выданных вне помещения"	688	80	34	10	35	10	41	42	15	34	11	6	72	57	18	33	20	7	6	9	13	49	1	23	62					
6	Число погашенных избирательных бюллетеней	451	306	7	5	4	3	12	6	2	10	6	2	6	0	12	4	1	23	5	2	13	13	4	4	1					
7	Число избирательных бюллетеней в переносных ящиках	688	80	34	10	35	10	41	42	15	34	11	6	72	57	18	33	20	7	6	9	13	49	1	23	62					
8	Число бюллетеней в стационарных ящиках для голосования	6189	1839	160	101	261	151	203	128	120	406	198	131	327	308	102	255	259	156	129	247	136	318	67	59	128					
9	Число недействительных избирательных бюллетеней	77	25	1	1	2	2	1	1	1	10	1	1	2	1	2	5	1	4	2	3	2	6	1	2	0					
10	Число действительных избирательных бюллетеней	6800	1894	193	110	294	159	243	169	134	430	208	136	397	364	118	283	278	159	133	253	147	361	67	80	190					
11	Число полученных открепительных  удостоверений	148	36	5	1	8	3	5	5	5	5	5	3	6	3	3	8	6	4	3	5	3	15	3	3	5					
12	Число выданных открепительных удостоверений	88	35	1	1	4	2	3	0	1	0	0	0	4	3	0	5	6	3	0	2	0	14	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	17	1	1	0	1	0	0	2	1	0	0	0	5	0	0	1	0	0	3	1	2	1	1	2					
14	Число неиспользованных открепительных удостоверений	60	1	4	0	4	1	2	5	4	5	5	3	2	0	3	3	0	1	3	3	3	1	1	1	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	128	52	0	0	0	6	3	5	0	9	5	1	2	0	0	9	16	2	1	2	1	13	0	0	1					
		1.86%	2.71%	0.00%	0.00%	0.00%	3.73%	1.23%	2.94%	0.00%	2.05%	2.39%	0.73%	0.50%	0.00%	0.00%	3.12%	5.73%	1.23%	0.74%	0.78%	0.67%	3.54%	0.00%	0.00%	0.53%					
19	. Малышкин Олег Александрович	175	45	7	0	6	8	7	7	4	10	3	5	11	11	1	4	16	2	3	5	7	8	3	0	2					
		2.54%	2.34%	3.61%	0.00%	2.03%	4.97%	2.87%	4.12%	2.96%	2.27%	1.44%	3.65%	2.76%	3.01%	0.83%	1.39%	5.73%	1.23%	2.22%	1.95%	4.70%	2.18%	4.41%	0.00%	1.05%					
20	. Миронов Сергей Михайлович	53	12	1	0	2	0	4	2	0	7	1	2	1	1	1	1	5	2	4	0	2	5	0	0	0					
		0.77%	0.63%	0.52%	0.00%	0.68%	0.00%	1.64%	1.18%	0.00%	1.59%	0.48%	1.46%	0.25%	0.27%	0.83%	0.35%	1.79%	1.23%	2.96%	0.00%	1.34%	1.36%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	5296	1487	155	101	240	131	194	119	91	275	167	106	340	299	92	221	166	140	119	181	120	266	53	69	164					
		77.01%	77.49%	79.90%	90.99%	81.08%	81.37%	79.51%	70.00%	67.41%	62.50%	79.90%	77.37%	85.21%	81.92%	76.67%	76.74%	59.50%	85.89%	88.15%	70.70%	80.54%	72.48%	77.94%	84.15%	86.32%					
22	. Хакамада Ирина Муцуовна	113	51	7	1	4	2	4	0	3	1	1	1	4	6	0	5	3	1	1	3	2	10	0	1	2					
		1.64%	2.66%	3.61%	0.90%	1.35%	1.24%	1.64%	0.00%	2.22%	0.23%	0.48%	0.73%	1.00%	1.64%	0.00%	1.74%	1.08%	0.61%	0.74%	1.17%	1.34%	2.72%	0.00%	1.22%	1.05%					
23	. Харитонов Николай Михайлович	925	221	16	7	36	11	24	35	34	109	29	20	35	46	22	32	67	12	5	60	13	52	11	10	18					
		13.45%	11.52%	8.25%	6.31%	12.16%	6.83%	9.84%	20.59%	25.19%	24.77%	13.88%	14.60%	8.77%	12.60%	18.33%	11.11%	24.01%	7.36%	3.70%	23.44%	8.72%	14.17%	16.18%	12.20%	9.47%					
																															
24	Против всех	110	26	7	1	6	1	7	1	2	19	2	1	4	1	2	11	5	0	0	2	2	7	0	0	3					
		1.60%	1.35%	3.61%	0.90%	2.03%	0.62%	2.87%	0.59%	1.48%	4.32%	0.96%	0.73%	1.00%	0.27%	1.67%	3.82%	1.79%	0.00%	0.00%	0.78%	1.34%	1.91%	0.00%	0.00%	1.58%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
