Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Венгеровская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список"	16804	195	1304	1156	900	228	265	95	636	127	332	520	277	177	525	399	226	315	474	100	198	473	347	560	745	175	263	368	142	123	350	246	97	148	489	192	432	144	1168	1729	164					
2	Число полученных избирательных бюллетеней	16787	193	1284	1142	903	225	267	94	641	126	330	521	276	175	530	400	230	318	468	98	197	482	344	562	751	175	267	362	141	121	351	244	95	146	490	193	432	143	1183	1721	166					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12220	151	773	698	631	171	224	74	487	104	274	421	224	148	374	243	189	250	394	90	189	317	290	353	588	150	217	283	109	99	259	191	82	136	355	175	369	112	815	1057	154					
5	"Число избирательных бюллетеней, выданных вне помещения"	972	6	119	55	71	17	19	3	24	0	0	0	8	0	48	60	15	20	0	4	0	103	12	70	42	0	8	16	8	0	23	10	7	0	46	0	0	0	73	85	0					
6	Число погашенных избирательных бюллетеней	3595	36	392	389	201	37	24	17	130	22	56	100	44	27	108	97	26	48	74	4	8	62	42	139	121	25	42	63	24	22	69	43	6	10	89	18	63	31	295	579	12					
7	Число избирательных бюллетеней в переносных ящиках	972	6	119	55	71	17	19	3	24	0	0	0	8	0	48	60	15	20	0	4	0	103	12	70	42	0	8	16	8	0	23	10	7	0	46	0	0	0	73	85	0					
8	Число бюллетеней в стационарных ящиках для голосования	12219	151	773	698	631	171	224	74	487	104	274	421	224	148	374	243	189	250	394	90	189	317	290	353	587	150	217	283	109	99	259	191	82	136	355	175	369	112	815	1057	154					
9	Число недействительных избирательных бюллетеней	141	1	11	11	11	1	5	2	6	2	0	6	3	3	2	1	1	3	9	0	0	3	2	1	9	0	2	7	2	4	2	2	1	0	5	1	2	0	6	11	3					
10	Число действительных избирательных бюллетеней	13050	156	881	742	691	187	238	75	505	102	274	415	229	145	420	302	203	267	385	94	189	417	300	422	620	150	223	292	115	95	280	199	88	136	396	174	367	112	882	1131	151					
11	Число полученных открепительных  удостоверений	455	10	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10	10	10	10	10	10	10	10	20	30	10					
12	Число выданных открепительных удостоверений	92	0	8	4	7	0	0	0	5	0	0	3	0	0	4	1	2	0	0	0	0	4	0	0	11	0	2	2	0	0	2	1	0	0	6	0	0	0	8	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	2	3	2	5	4	2	1	2	1	1	1	0	0	1	1	0	2	1	2	0	0	2	0	2	1	0	2	1	0	1	1	1	1	1	3	0	0	1	3	0					
14	Число неиспользованных открепительных удостоверений	363	10	12	16	3	10	10	10	5	10	10	7	10	10	6	9	8	10	10	10	10	6	10	10	4	10	8	8	10	10	8	9	10	10	4	10	10	10	12	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	103	0	11	9	5	0	0	1	8	0	3	3	1	0	2	4	0	0	3	0	0	3	6	1	1	0	3	2	0	0	4	0	0	1	6	4	1	0	7	14	0					
