Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Приокская поселковая										
										
Итоги голосования 										
										
		Сумма	УИК  2196	УИК  2197	УИК  2198					
1	"Число избирателей, внесенных в список"	5225	1602	1776	1847					
2	Число полученных избирательных бюллетеней	5100	1600	1700	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3165	976	1081	1108					
5	"Число избирательных бюллетеней, выданных вне помещения"	44	18	11	15					
6	Число погашенных избирательных бюллетеней	1891	606	608	677					
7	Число избирательных бюллетеней в переносных ящиках	43	18	10	15					
8	Число бюллетеней в стационарных ящиках для голосования	3160	976	1078	1106					
9	Число недействительных избирательных бюллетеней	21	4	9	8					
10	Число действительных избирательных бюллетеней	3182	990	1079	1113					
11	Число полученных открепительных  удостоверений	150	50	50	50					
12	Число выданных открепительных удостоверений	69	12	19	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	13	11	16					
14	Число неиспользованных открепительных удостоверений	81	38	31	12					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	186	62	70	54					
		5.81%	6.24%	6.43%	4.82%					
19	. Малышкин Олег Александрович	36	13	12	11					
		1.12%	1.31%	1.10%	0.98%					
20	. Миронов Сергей Михайлович	14	4	3	7					
		0.44%	0.40%	0.28%	0.62%					
21	. Путин Владимир Владимирович	2250	682	767	801					
		70.25%	68.61%	70.50%	71.45%					
22	. Хакамада Ирина Муцуовна	172	69	58	45					
		5.37%	6.94%	5.33%	4.01%					
23	. Харитонов Николай Михайлович	285	84	86	115					
		8.90%	8.45%	7.90%	10.26%					
										
24	Против всех	239	76	83	80					
		7.46%	7.65%	7.63%	7.14%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
