Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Дзержинская 																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096					
1	"Число избирателей, внесенных в список"	12279	654	746	761	729	397	559	1119	973	119	425	359	106	65	115	58	130	335	159	629	269	106	90	317	59	81	429	44	44	35	695	180	186	54	120	561	228	177	57	109					
2	Число полученных избирательных бюллетеней	12363	655	750	763	730	370	566	1125	978	124	430	362	108	66	116	60	134	336	162	633	271	107	93	320	62	82	435	46	46	37	705	180	183	56	123	567	229	182	60	111					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6937	317	379	400	391	195	292	550	436	85	247	254	65	52	85	53	126	196	115	289	146	89	69	166	50	62	277	33	41	33	455	101	119	38	69	298	157	99	51	57					
5	"Число избирательных бюллетеней, выданных вне помещения"	494	30	22	16	11	55	10	26	5	7	14	17	0	7	8	0	0	19	6	29	20	7	0	35	7	10	19	3	0	0	4	10	10	0	9	36	21	11	0	10					
6	Число погашенных избирательных бюллетеней	4932	308	349	347	328	120	264	549	537	32	169	91	43	7	23	7	8	121	41	315	105	11	24	119	5	10	139	10	5	4	246	69	54	18	45	233	51	72	9	44					
7	Число избирательных бюллетеней в переносных ящиках	494	30	22	16	11	55	10	26	5	7	14	17	0	7	8	0	0	19	6	29	20	7	0	35	7	10	19	3	0	0	4	10	10	0	9	36	21	11	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	6937	317	379	400	391	195	292	550	436	85	247	254	65	52	85	53	126	196	115	289	146	89	69	166	50	62	277	33	41	33	455	101	119	38	69	298	157	99	51	57					
9	Число недействительных избирательных бюллетеней	61	3	2	3	4	2	4	3	1	1	1	3	1	0	0	1	0	0	1	8	2	2	2	3	0	0	3	1	1	0	2	0	1	0	1	4	0	1	0	0					
10	Число действительных избирательных бюллетеней	7370	344	399	413	398	248	298	573	440	91	260	268	64	59	93	52	126	215	120	310	164	94	67	198	57	72	293	35	40	33	457	111	128	38	77	330	178	109	51	67					
11	Число полученных открепительных  удостоверений	195	10	10	10	10	10	10	10	10	3	5	6	3	3	3	2	3	5	3	8	3	3	2	5	2	3	8	2	2	2	8	3	3	2	2	9	4	4	2	2					
12	Число выданных открепительных удостоверений	27	3	3	2	0	0	5	3	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	2	2	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	168	7	7	8	10	10	5	7	8	2	5	6	3	3	3	2	0	4	3	8	3	3	2	5	2	3	6	2	2	2	8	3	3	2	2	8	3	4	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	866	65	64	68	48	45	52	96	96	8	8	15	4	0	5	5	8	26	11	14	10	4	9	15	8	1	38	0	6	3	53	16	6	3	2	25	6	15	2	6					
		11.65%	18.73%	15.96%	16.35%	11.94%	18.00%	17.22%	16.67%	21.77%	8.70%	3.07%	5.54%	6.15%	0.00%	5.38%	9.43%	6.35%	12.09%	9.09%	4.40%	6.02%	4.17%	13.04%	7.46%	14.04%	1.39%	12.84%	0.00%	14.63%	9.09%	11.55%	14.41%	4.65%	7.89%	2.56%	7.49%	3.37%	13.64%	3.92%	8.96%					
19	. Малышкин Олег Александрович	217	10	11	5	10	7	2	9	8	3	8	6	1	2	5	6	18	5	2	11	3	9	5	4	0	0	14	0	0	1	14	1	3	5	1	7	10	10	0	1					
		2.92%	2.88%	2.74%	1.20%	2.49%	2.80%	0.66%	1.56%	1.81%	3.26%	3.07%	2.21%	1.54%	3.39%	5.38%	11.32%	14.29%	2.33%	1.65%	3.46%	1.81%	9.38%	7.25%	1.99%	0.00%	0.00%	4.73%	0.00%	0.00%	3.03%	3.05%	0.90%	2.33%	13.16%	1.28%	2.10%	5.62%	9.09%	0.00%	1.49%					
20	. Миронов Сергей Михайлович	53	4	1	1	4	2	0	3	2	1	0	3	0	1	0	0	3	2	0	2	1	0	0	0	0	0	7	0	0	2	2	0	3	1	0	2	1	2	2	1					
		0.71%	1.15%	0.25%	0.24%	1.00%	0.80%	0.00%	0.52%	0.45%	1.09%	0.00%	1.11%	0.00%	1.69%	0.00%	0.00%	2.38%	0.93%	0.00%	0.63%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	2.36%	0.00%	0.00%	6.06%	0.44%	0.00%	2.33%	2.63%	0.00%	0.60%	0.56%	1.82%	3.92%	1.49%					
21	. Путин Владимир Владимирович	4407	181	224	221	244	147	176	320	230	53	205	172	27	43	67	26	84	166	88	169	82	60	31	110	20	67	141	17	26	19	262	65	67	24	56	228	133	58	46	52					
		59.31%	52.16%	55.86%	53.12%	60.70%	58.80%	58.28%	55.56%	52.15%	57.61%	78.54%	63.47%	41.54%	72.88%	72.04%	49.06%	66.67%	77.21%	72.73%	53.14%	49.40%	62.50%	44.93%	54.73%	35.09%	93.06%	47.64%	47.22%	63.41%	57.58%	57.08%	58.56%	51.94%	63.16%	71.79%	68.26%	74.72%	52.73%	90.20%	77.61%					
22	. Хакамада Ирина Муцуовна	120	7	6	12	6	6	6	6	5	0	4	4	0	1	1	7	2	3	3	8	4	2	0	2	0	0	2	2	0	0	10	0	1	1	1	4	3	0	0	1					
		1.61%	2.02%	1.50%	2.88%	1.49%	2.40%	1.99%	1.04%	1.13%	0.00%	1.53%	1.48%	0.00%	1.69%	1.08%	13.21%	1.59%	1.40%	2.48%	2.52%	2.41%	2.08%	0.00%	1.00%	0.00%	0.00%	0.68%	5.56%	0.00%	0.00%	2.18%	0.00%	0.78%	2.63%	1.28%	1.20%	1.69%	0.00%	0.00%	1.49%					
23	. Харитонов Николай Михайлович	1600	73	89	98	76	36	57	132	93	22	30	64	30	8	15	7	9	13	11	104	62	19	21	65	29	4	82	16	7	8	113	29	44	4	16	62	22	23	1	6					
		21.53%	21.04%	22.19%	23.56%	18.91%	14.40%	18.87%	22.92%	21.09%	23.91%	11.49%	23.62%	46.15%	13.56%	16.13%	13.21%	7.14%	6.05%	9.09%	32.70%	37.35%	19.79%	30.43%	32.34%	50.88%	5.56%	27.70%	44.44%	17.07%	24.24%	24.62%	26.13%	34.11%	10.53%	20.51%	18.56%	12.36%	20.91%	1.96%	8.96%					
																																														
24	Против всех	107	4	4	8	10	5	5	7	6	4	5	4	2	4	0	1	2	0	5	2	2	0	1	2	0	0	9	0	1	0	3	0	4	0	1	2	3	1	0	0					
		1.44%	1.15%	1.00%	1.92%	2.49%	2.00%	1.66%	1.22%	1.36%	4.35%	1.92%	1.48%	3.08%	6.78%	0.00%	1.89%	1.59%	0.00%	4.13%	0.63%	1.20%	0.00%	1.45%	1.00%	0.00%	0.00%	3.04%	0.00%	2.44%	0.00%	0.65%	0.00%	3.10%	0.00%	1.28%	0.60%	1.69%	0.91%	0.00%	0.00%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
