Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Нукутская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в список"	10640	448	78	128	172	330	319	105	606	368	671	141	102	635	96	69	690	315	542	194	530	239	118	517	131	124	1066	1056	610	240					
2	Число полученных избирательных бюллетеней	10748	450	90	145	171	332	318	118	616	368	689	143	100	644	97	71	701	322	543	195	535	235	122	523	133	126	1068	1056	596	241					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7321	325	70	121	141	268	224	97	382	222	522	113	84	436	82	63	521	223	340	166	381	182	84	299	84	83	649	648	360	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	491	35	8	7	11	8	25	8	38	23	20	0	8	31	5	0	8	12	31	9	21	10	18	46	9	9	37	19	25	10					
6	Число погашенных избирательных бюллетеней	2936	90	12	17	19	56	69	13	196	123	147	30	8	177	10	8	172	87	172	20	133	43	20	178	40	34	382	389	211	80					
7	Число избирательных бюллетеней в переносных ящиках	491	35	8	7	11	8	25	8	38	23	20	0	8	31	5	0	8	12	31	9	21	10	18	46	9	9	37	19	25	10					
8	Число бюллетеней в стационарных ящиках для голосования	7321	325	70	121	141	268	224	97	382	222	522	113	84	436	82	63	521	223	340	166	381	182	84	299	84	83	649	648	360	151					
9	Число недействительных избирательных бюллетеней	120	5	0	3	0	3	6	0	8	1	3	2	0	5	1	5	7	2	7	2	10	5	3	14	2	2	6	6	7	5					
10	Число действительных избирательных бюллетеней	7692	355	78	125	152	273	243	105	412	244	539	111	92	462	86	58	522	233	364	173	392	187	99	331	91	90	680	661	378	156					
11	Число полученных открепительных  удостоверений	250	12	2	4	4	8	14	3	8	16	4	4	3	15	3	2	16	7	13	5	12	6	3	12	3	3	24	24	14	6					
12	Число выданных открепительных удостоверений	30	1	0	2	0	0	1	0	0	0	4	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	5	7	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	1	0	0	0	0	2	1	0	1	3	0	0	1	2	0	1	1	2	0	0	1	0	1	0	0	6	3	1	0					
14	Число неиспользованных открепительных удостоверений	220	11	2	2	4	8	13	3	8	16	0	4	3	13	3	2	14	6	13	5	12	6	2	12	3	3	19	17	10	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	174	8	2	3	1	5	8	1	7	1	12	0	3	9	4	3	7	2	4	4	18	7	1	8	2	1	14	22	12	5					
		2.23%	2.22%	2.56%	2.34%	0.66%	1.81%	3.21%	0.95%	1.67%	0.41%	2.21%	0.00%	3.26%	1.93%	4.60%	4.76%	1.32%	0.85%	1.08%	2.29%	4.48%	3.65%	0.98%	2.32%	2.15%	1.09%	2.04%	3.30%	3.12%	3.11%					
19	. Малышкин Олег Александрович	207	15	0	3	5	3	4	0	20	3	6	9	0	18	9	2	1	17	0	1	10	5	16	8	2	6	11	15	13	5					
