Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Вичугская городская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210					
1	"Число избирателей, внесенных в список"	32713	1146	1169	1214	1100	2403	1932	1914	1466	2235	1183	1931	1139	1402	1165	1914	1211	2324	1174	1394	1592	1705					
2	Число полученных избирательных бюллетеней	30000	1100	1100	1100	1000	2100	1800	1800	1300	2000	1100	1750	1100	1300	1100	1800	1100	2100	1100	1250	1400	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14909	558	523	626	431	1017	880	982	591	1142	525	955	542	666	548	775	537	1034	465	579	731	802					
5	"Число избирательных бюллетеней, выданных вне помещения"	2260	73	74	70	144	230	132	53	155	87	85	128	79	117	99	111	112	156	126	74	65	90					
6	Число погашенных избирательных бюллетеней	12831	469	503	404	425	853	788	765	554	771	490	667	479	517	453	914	451	910	509	597	604	708					
7	Число избирательных бюллетеней в переносных ящиках	2260	73	74	70	144	230	132	53	155	87	85	128	79	117	99	111	112	156	126	74	65	90					
8	Число бюллетеней в стационарных ящиках для голосования	14908	558	523	626	431	1017	880	981	591	1142	525	955	542	666	548	775	537	1034	465	579	731	802					
9	Число недействительных избирательных бюллетеней	150	6	4	6	8	10	13	6	2	6	8	7	9	9	10	12	6	7	4	5	5	7					
10	Число действительных избирательных бюллетеней	17018	625	593	690	567	1237	999	1028	744	1223	602	1076	612	774	637	874	643	1183	587	648	791	885					
11	Число полученных открепительных  удостоверений	425	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	189	10	11	11	6	9	13	20	12	13	5	9	2	3	4	13	8	17	4	2	14	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	141	3	10	8	11	8	5	18	6	0	10	6	5	0	8	3	7	14	6	7	2	4					
14	Число неиспользованных открепительных удостоверений	236	10	9	9	14	11	7	5	8	7	15	11	18	17	16	7	12	3	16	18	6	17					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	654	19	29	29	22	56	39	40	27	46	15	35	23	26	15	41	18	41	27	25	44	37					
		3.81%	3.01%	4.86%	4.17%	3.83%	4.49%	3.85%	3.87%	3.62%	3.74%	2.46%	3.23%	3.70%	3.32%	2.32%	4.63%	2.77%	3.45%	4.57%	3.83%	5.53%	4.15%					
19	. Малышкин Олег Александрович	542	23	14	17	16	38	24	23	25	53	16	39	18	18	10	40	25	38	26	28	29	22					
		3.16%	3.65%	2.35%	2.44%	2.78%	3.05%	2.37%	2.22%	3.35%	4.31%	2.62%	3.60%	2.90%	2.30%	1.55%	4.51%	3.85%	3.19%	4.40%	4.29%	3.64%	2.47%					
20	. Миронов Сергей Михайлович	168	10	4	10	2	15	8	7	8	10	7	16	3	12	4	7	8	10	6	5	3	13					
		0.98%	1.58%	0.67%	1.44%	0.35%	1.20%	0.79%	0.68%	1.07%	0.81%	1.15%	1.48%	0.48%	1.53%	0.62%	0.79%	1.23%	0.84%	1.02%	0.77%	0.38%	1.46%					
21	. Путин Владимир Владимирович	12001	449	399	497	432	845	665	718	493	865	438	772	463	554	466	602	486	815	405	455	567	615					
		69.90%	71.16%	66.83%	71.41%	75.13%	67.76%	65.71%	69.44%	66.09%	70.38%	71.80%	71.28%	74.56%	70.75%	72.02%	67.95%	74.88%	68.49%	68.53%	69.68%	71.23%	68.95%					
22	. Хакамада Ирина Муцуовна	345	10	9	7	14	29	15	25	15	22	15	26	12	7	9	13	15	22	9	20	24	27					
		2.01%	1.58%	1.51%	1.01%	2.43%	2.33%	1.48%	2.42%	2.01%	1.79%	2.46%	2.40%	1.93%	0.89%	1.39%	1.47%	2.31%	1.85%	1.52%	3.06%	3.02%	3.03%					
23	. Харитонов Николай Михайлович	2832	97	123	105	72	225	211	177	150	177	88	159	86	145	115	148	80	217	103	93	107	154					
		16.50%	15.37%	20.60%	15.09%	12.52%	18.04%	20.85%	17.12%	20.11%	14.40%	14.43%	14.68%	13.85%	18.52%	17.77%	16.70%	12.33%	18.24%	17.43%	14.24%	13.44%	17.26%					
																												
24	Против всех	476	17	15	25	9	29	37	38	26	50	23	29	7	12	18	23	11	40	11	22	17	17					
		2.77%	2.69%	2.51%	3.59%	1.57%	2.33%	3.66%	3.68%	3.49%	4.07%	3.77%	2.68%	1.13%	1.53%	2.78%	2.60%	1.69%	3.36%	1.86%	3.37%	2.14%	1.91%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
