Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Первомайская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
1	"Число избирателей, внесенных в список"	36965	623	130	82	1244	313	202	2102	2028	192	273	180	804	110	349	94	2147	2992	1990	646	1977	567	359	1013	1205	100	1422	324	311	287	835	156	171	1456	2776	1185	346	298	1836	394	1201	1100	271	404	323	147					
2	Число полученных избирательных бюллетеней	34713	600	131	82	1150	310	200	2000	1950	197	270	179	780	106	330	95	1950	2850	1700	580	1950	520	330	950	1050	95	1300	300	280	260	800	175	165	1320	2700	1100	330	260	1800	370	1100	998	260	390	310	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21825	413	73	54	775	196	126	1283	1022	122	167	124	483	82	256	70	1193	1419	979	387	1090	277	210	687	739	63	872	192	169	125	546	91	136	910	1705	672	251	242	1200	265	770	657	210	209	194	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	1299	32	16	13	31	8	1	61	56	5	6	5	37	10	8	5	54	125	46	26	68	19	16	50	54	9	43	3	27	5	29	8	0	46	81	26	11	7	81	20	39	37	0	21	54	0					
6	Число погашенных избирательных бюллетеней	11589	155	42	15	344	106	73	656	872	70	97	50	260	14	66	20	703	1306	675	167	792	224	104	213	257	23	385	105	84	130	225	76	29	364	914	402	68	11	519	85	291	304	50	160	62	21					
7	Число избирательных бюллетеней в переносных ящиках	1299	32	16	13	31	8	1	61	56	5	6	5	37	10	8	5	54	125	46	26	68	19	16	50	54	9	43	3	27	5	29	8	0	46	81	26	11	7	81	20	39	37	0	21	54	0					
8	Число бюллетеней в стационарных ящиках для голосования	21764	413	73	54	774	196	126	1283	1022	122	167	123	483	82	256	70	1193	1418	979	387	1089	276	210	683	739	63	872	192	169	125	546	91	136	910	1703	672	251	242	1190	265	767	620	210	209	194	119					
9	Число недействительных избирательных бюллетеней	287	6	3	2	11	3	4	8	14	4	0	3	3	0	6	2	21	18	9	9	10	5	3	9	20	4	12	3	3	0	4	3	0	8	12	4	2	0	20	3	14	8	4	3	5	2					
10	Число действительных избирательных бюллетеней	22776	439	86	65	794	201	123	1336	1064	123	173	125	517	92	258	73	1226	1525	1016	404	1147	290	223	724	773	68	903	192	193	130	571	96	136	948	1772	694	260	249	1251	282	792	649	206	227	243	117					
11	Число полученных открепительных  удостоверений	492	10	4	4	15	4	4	25	20	4	4	4	15	4	10	4	30	25	25	15	20	10	6	15	15	4	25	6	4	4	12	6	4	15	25	15	6	4	20	10	12	12	4	4	4	4					
12	Число выданных открепительных удостоверений	137	1	0	1	6	2	0	5	8	0	1	0	1	0	4	1	15	18	6	7	7	5	0	5	6	0	12	1	1	0	4	0	0	1	7	2	0	0	2	0	6	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	262	1	0	0	0	1	1	6	3	1	2	3	0	1	0	1	31	16	8	11	13	15	1	9	7	1	7	3	4	3	5	2	1	32	8	1	2	9	7	7	8	18	0	4	9	0					
