Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Чернянская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076					
1	"Число избирателей, внесенных в список"	25934	1419	1440	1383	1550	1524	1290	1508	1328	747	555	279	192	166	113	541	255	262	704	1417	163	191	690	544	456	645	192	136	91	120	428	167	483	263	834	237	652	125	281	266	245	490	133	793	636					
2	Число полученных избирательных бюллетеней	25275	1400	1350	1350	1520	1510	1230	1440	1300	770	520	260	200	170	135	540	235	250	685	1415	175	200	660	510	450	625	200	145	100	135	410	170	460	255	785	220	635	130	280	255	230	470	135	750	610					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17215	1056	883	906	850	1029	726	872	875	412	310	166	145	134	77	353	179	196	529	949	155	154	532	427	322	435	132	110	81	98	252	96	404	197	484	169	425	105	150	214	177	423	115	516	395					
5	"Число избирательных бюллетеней, выданных вне помещения"	2487	46	92	73	85	58	67	45	62	116	108	60	21	14	24	59	23	22	77	212	6	18	41	38	72	88	31	17	9	14	101	59	12	22	167	51	140	18	92	22	20	0	11	121	53					
6	Число погашенных избирательных бюллетеней	5573	298	375	371	585	423	437	523	363	242	102	34	34	22	34	128	33	32	79	254	14	28	87	45	56	102	37	18	10	23	57	15	44	36	134	0	70	7	38	19	33	47	9	113	162					
7	Число избирательных бюллетеней в переносных ящиках	2487	46	92	73	85	58	67	45	62	116	108	60	21	14	24	59	23	22	77	212	6	18	41	38	72	88	31	17	9	14	101	59	12	22	167	51	140	18	92	22	20	0	11	121	53					
8	Число бюллетеней в стационарных ящиках для голосования	17215	1056	883	906	850	1029	726	872	875	412	310	166	145	134	77	353	179	196	529	949	155	154	532	427	322	435	132	110	81	98	252	96	404	197	484	169	425	105	150	214	177	423	115	516	395					
9	Число недействительных избирательных бюллетеней	236	27	4	12	11	10	9	14	9	7	9	1	0	3	2	5	4	2	2	17	0	5	3	6	7	8	2	0	0	0	3	1	7	3	8	0	3	0	1	1	6	19	0	4	1					
10	Число действительных избирательных бюллетеней	19466	1075	971	967	924	1077	784	903	928	521	409	225	166	145	99	407	198	216	604	1144	161	167	570	459	387	515	161	127	90	112	350	154	409	216	643	220	562	123	241	235	191	404	126	633	447					
11	Число полученных открепительных  удостоверений	189	10	10	10	10	10	13	10	10	5	3	2	2	2	2	3	2	2	3	10	2	2	3	3	2	3	2	2	2	2	3	2	2	2	3	2	3	2	4	2	2	3	2	5	10					
12	Число выданных открепительных удостоверений	77	10	7	7	4	5	3	3	1	0	2	2	2	0	2	1	2	0	2	6	0	2	0	2	1	1	0	0	0	1	0	0	1	1	1	0	1	0	3	0	0	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	6	13	3	2	8	7	5	0	0	1	4	2	4	0	1	1	2	0	2	0	0	4	3	0	2	0	1	0	0	0	0	1	1	2	1	0	0	0	1	0	2	1	3	1					
14	Число неиспользованных открепительных удостоверений	112	0	3	3	6	5	10	7	9	5	1	0	0	2	0	2	0	2	1	4	2	0	3	1	1	2	2	2	2	1	3	2	1	1	2	2	2	2	1	2	2	3	2	4	7					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	586	23	38	31	32	46	48	45	34	10	9	5	1	2	5	10	7	7	18	24	5	5	9	14	7	15	2	1	2	2	10	2	19	12	13	3	6	0	2	0	7	26	2	15	12					
		2.97%	2.09%	3.90%	3.17%	3.42%	4.23%	6.05%	4.91%	3.63%	1.89%	2.15%	2.21%	0.60%	1.35%	4.95%	2.43%	3.47%	3.21%	2.97%	2.07%	3.11%	2.91%	1.57%	3.01%	1.78%	2.87%	1.23%	0.79%	2.22%	1.79%	2.83%	1.29%	4.57%	5.48%	2.00%	1.36%	1.06%	0.00%	0.83%	0.00%	3.55%	6.15%	1.59%	2.35%	2.68%					
19	. Малышкин Олег Александрович	782	29	40	53	38	78	34	43	42	18	18	10	4	6	12	21	4	4	25	58	12	1	9	20	13	5	3	7	0	0	17	3	16	6	34	5	8	1	5	6	2	11	8	26	27					
		3.97%	2.63%	4.10%	5.41%	4.06%	7.18%	4.29%	4.69%	4.48%	3.41%	4.31%	4.42%	2.41%	4.05%	11.88%	5.10%	1.98%	1.83%	4.13%	5.00%	7.45%	0.58%	1.57%	4.30%	3.30%	0.96%	1.84%	5.51%	0.00%	0.00%	4.82%	1.94%	3.85%	2.74%	5.22%	2.27%	1.42%	0.81%	2.07%	2.54%	1.02%	2.60%	6.35%	4.08%	6.03%					
20	. Миронов Сергей Михайлович	163	9	13	0	6	4	6	8	16	2	2	4	1	1	2	4	2	3	1	10	1	3	3	6	4	2	0	1	2	0	11	2	4	0	5	1	6	1	1	1	0	0	0	10	5					
		0.83%	0.82%	1.33%	0.00%	0.64%	0.37%	0.76%	0.87%	1.71%	0.38%	0.48%	1.77%	0.60%	0.68%	1.98%	0.97%	0.99%	1.38%	0.17%	0.86%	0.62%	1.74%	0.52%	1.29%	1.02%	0.38%	0.00%	0.79%	2.22%	0.00%	3.12%	1.29%	0.96%	0.00%	0.77%	0.45%	1.06%	0.81%	0.41%	0.42%	0.00%	0.00%	0.00%	1.57%	1.12%					
21	. Путин Владимир Владимирович	11789	782	607	580	606	618	424	497	592	347	196	105	111	108	49	195	133	168	364	696	94	86	423	283	187	229	53	59	57	47	161	99	252	87	408	177	407	95	167	134	98	284	71	391	262					
		59.84%	70.96%	62.26%	59.24%	64.81%	56.85%	53.47%	54.20%	63.18%	65.72%	46.89%	46.46%	66.87%	72.97%	48.51%	47.33%	65.84%	77.06%	60.07%	59.95%	58.39%	50.00%	73.82%	60.86%	47.46%	43.79%	32.52%	46.46%	63.33%	41.96%	45.61%	63.87%	60.58%	39.73%	62.67%	80.45%	72.04%	77.24%	69.01%	56.78%	49.75%	67.14%	56.35%	61.38%	58.48%					
22	. Хакамада Ирина Муцуовна	376	21	26	27	15	24	17	25	17	11	15	7	3	1	2	10	5	2	12	21	1	1	6	15	8	3	2	1	0	3	5	0	11	3	9	5	9	1	5	2	3	4	3	5	10					
		1.91%	1.91%	2.67%	2.76%	1.60%	2.21%	2.14%	2.73%	1.81%	2.08%	3.59%	3.10%	1.81%	0.68%	1.98%	2.43%	2.48%	0.92%	1.98%	1.81%	0.62%	0.58%	1.05%	3.23%	2.03%	0.57%	1.23%	0.79%	0.00%	2.68%	1.42%	0.00%	2.64%	1.37%	1.38%	2.27%	1.59%	0.81%	2.07%	0.85%	1.52%	0.95%	2.38%	0.78%	2.23%					
23	. Харитонов Николай Михайлович	5144	169	203	243	184	239	209	236	208	111	164	93	45	24	24	165	41	30	165	288	42	70	111	109	166	245	101	57	29	54	137	47	97	96	167	26	111	24	54	84	79	74	41	177	105					
		26.11%	15.34%	20.82%	24.82%	19.68%	21.99%	26.36%	25.74%	22.20%	21.02%	39.23%	41.15%	27.11%	16.22%	23.76%	40.05%	20.30%	13.76%	27.23%	24.81%	26.09%	40.70%	19.37%	23.44%	42.13%	46.85%	61.96%	44.88%	32.22%	48.21%	38.81%	30.32%	23.32%	43.84%	25.65%	11.82%	19.65%	19.51%	22.31%	35.59%	40.10%	17.49%	32.54%	27.79%	23.44%					
																																																			
24	Против всех	626	42	44	33	43	68	46	49	19	22	5	1	1	3	5	2	6	2	19	47	6	1	9	12	2	16	0	1	0	6	9	1	10	12	7	3	15	1	7	8	2	5	1	9	26					
		3.18%	3.81%	4.51%	3.37%	4.60%	6.26%	5.80%	5.34%	2.03%	4.17%	1.20%	0.44%	0.60%	2.03%	4.95%	0.49%	2.97%	0.92%	3.14%	4.05%	3.73%	0.58%	1.57%	2.58%	0.51%	3.06%	0.00%	0.79%	0.00%	5.36%	2.55%	0.65%	2.40%	5.48%	1.08%	1.36%	2.65%	0.81%	2.89%	3.39%	1.02%	1.18%	0.79%	1.41%	5.80%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
