Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Чагодощенская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №793	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899					
1	"Число избирателей, внесенных в список"	12091	677	1100	743	1079	921	741	647	869	878	885	478	94	424	323	405	361	387	576	503					
2	Число полученных избирательных бюллетеней	11253	650	1000	700	1020	860	680	600	800	820	820	450	93	400	300	380	340	360	520	460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7002	417	587	485	547	501	380	339	478	457	464	319	53	258	236	252	252	272	403	302					
5	"Число избирательных бюллетеней, выданных вне помещения"	973	16	55	17	57	46	75	38	82	73	55	55	26	31	43	63	52	28	52	109					
6	Число погашенных избирательных бюллетеней	3278	217	358	198	416	313	225	223	240	290	301	76	14	111	21	65	36	60	65	49					
7	Число избирательных бюллетеней в переносных ящиках	973	16	55	17	57	46	75	38	82	73	55	55	26	31	43	63	52	28	52	109					
8	Число бюллетеней в стационарных ящиках для голосования	7002	417	587	485	547	501	380	339	478	457	464	319	53	258	236	252	252	272	403	302					
9	Число недействительных избирательных бюллетеней	80	4	3	4	8	8	4	0	7	5	4	2	1	4	6	2	2	4	8	4					
10	Число действительных избирательных бюллетеней	7895	429	639	498	596	539	451	377	553	525	515	372	78	285	273	313	302	296	447	407					
11	Число полученных открепительных  удостоверений	398	28	30	30	30	20	20	20	20	20	20	20	10	20	10	20	20	20	20	20					
12	Число выданных открепительных удостоверений	38	3	4	0	0	3	1	3	2	0	2	1	1	4	5	2	4	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	0	4	3	1	2	0	1	2	0	1	3	2	1	3	4	0	1	1	2					
14	Число неиспользованных открепительных удостоверений	360	25	26	30	30	17	19	17	18	20	18	19	9	16	5	18	16	20	17	20					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	175	8	6	13	16	6	7	12	12	17	21	7	0	9	15	6	3	2	8	7					
		2.19%	1.85%	0.93%	2.59%	2.65%	1.10%	1.54%	3.18%	2.14%	3.21%	4.05%	1.87%	0.00%	3.11%	5.38%	1.90%	0.99%	0.67%	1.76%	1.70%					
19	. Малышкин Олег Александрович	116	9	6	5	9	6	2	8	6	19	8	4	0	2	4	5	3	6	3	11					
		1.45%	2.08%	0.93%	1.00%	1.49%	1.10%	0.44%	2.12%	1.07%	3.58%	1.54%	1.07%	0.00%	0.69%	1.43%	1.59%	0.99%	2.00%	0.66%	2.68%					
20	. Миронов Сергей Михайлович	48	3	3	7	5	4	1	2	6	3	3	0	0	0	2	1	1	0	5	2					
		0.60%	0.69%	0.47%	1.39%	0.83%	0.73%	0.22%	0.53%	1.07%	0.57%	0.58%	0.00%	0.00%	0.00%	0.72%	0.32%	0.33%	0.00%	1.10%	0.49%					
21	. Путин Владимир Владимирович	5976	311	495	323	459	401	349	292	424	384	393	282	70	219	191	243	245	233	387	275					
		74.93%	71.82%	77.10%	64.34%	75.99%	73.31%	76.70%	77.45%	75.71%	72.45%	75.72%	75.40%	88.61%	75.78%	68.46%	77.14%	80.59%	77.67%	85.05%	66.91%					
22	. Хакамада Ирина Муцуовна	133	8	20	9	12	15	2	6	8	6	6	5	1	5	9	2	8	4	0	7					
		1.67%	1.85%	3.12%	1.79%	1.99%	2.74%	0.44%	1.59%	1.43%	1.13%	1.16%	1.34%	1.27%	1.73%	3.23%	0.63%	2.63%	1.33%	0.00%	1.70%					
23	. Харитонов Николай Михайлович	1309	84	93	122	83	98	84	48	87	87	76	69	7	48	51	52	37	47	37	99					
		16.41%	19.40%	14.49%	24.30%	13.74%	17.92%	18.46%	12.73%	15.54%	16.42%	14.64%	18.45%	8.86%	16.61%	18.28%	16.51%	12.17%	15.67%	8.13%	24.09%					
																										
24	Против всех	138	6	16	19	12	9	6	9	10	9	8	5	0	2	1	4	5	4	7	6					
		1.73%	1.39%	2.49%	3.78%	1.99%	1.65%	1.32%	2.39%	1.79%	1.70%	1.54%	1.34%	0.00%	0.69%	0.36%	1.27%	1.64%	1.33%	1.54%	1.46%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
