Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Гаврилово-Посадская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427					
1	"Число избирателей, внесенных в список"	15215	2353	2406	1188	357	436	330	111	524	185	210	257	244	306	188	200	729	253	392	421	286	905	2602	332					
2	Число полученных избирательных бюллетеней	14210	2135	2156	1098	367	423	314	119	480	202	201	248	230	326	196	199	663	240	379	400	284	855	2389	306					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8579	1234	1190	671	190	295	199	56	351	105	146	117	152	132	100	101	473	164	236	267	192	517	1476	215					
5	"Число избирательных бюллетеней, выданных вне помещения"	1697	67	203	53	128	40	40	26	51	47	30	108	73	126	55	59	132	33	67	61	55	29	181	33					
6	Число погашенных избирательных бюллетеней	3934	834	763	374	49	88	75	37	78	50	25	23	5	68	41	39	58	43	76	72	37	309	732	58					
7	Число избирательных бюллетеней в переносных ящиках	1697	67	203	53	128	40	40	26	51	47	30	108	73	126	55	59	132	33	67	61	55	29	181	33					
8	Число бюллетеней в стационарных ящиках для голосования	8579	1234	1190	671	190	295	199	56	351	105	146	117	152	132	100	101	473	164	236	267	192	517	1476	215					
9	Число недействительных избирательных бюллетеней	101	9	23	7	2	3	2	1	3	1	1	0	1	1	0	1	13	2	2	0	3	6	19	1					
10	Число действительных избирательных бюллетеней	10175	1292	1370	717	316	332	237	81	399	151	175	225	224	257	155	159	592	195	301	328	244	540	1638	247					
11	Число полученных открепительных  удостоверений	249	30	30	28	7	7	5	5	7	5	5	5	5	9	10	5	10	5	6	5	5	20	30	5					
12	Число выданных открепительных удостоверений	133	16	12	12	7	6	3	1	5	5	0	1	0	9	10	5	3	1	6	5	5	7	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	9	9	2	2	4	3	1	6	1	2	1	1	6	3	2	2	1	2	4	2	4	18	5					
