Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Костромская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214					
1	"Число избирателей, внесенных в список"	33503	1007	122	496	1033	1474	604	1813	2376	2377	555	155	478	150	840	1985	380	221	1824	1435	1011	696	1158	215	1069	370	860	262	301	1149	773	741	1491	176	1380	505	830	634	557					
2	Число полученных избирательных бюллетеней	33286	1020	124	480	1040	1490	600	1800	2370	2370	550	151	470	162	830	1940	370	220	1800	1420	1000	690	1150	210	1050	340	850	260	290	1150	770	740	1480	179	1390	520	830	630	550					
3	"Число избирательных бюллетеней, выданных  досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16994	561	38	129	491	672	273	971	1383	1237	278	112	223	79	451	969	136	108	955	782	487	272	634	109	690	213	417	105	157	657	274	410	768	79	643	291	375	308	257					
5	"Число избирательных бюллетеней, выданных вне помещения"	2183	92	43	133	47	151	69	70	31	11	61	6	42	12	76	177	63	41	58	59	7	66	55	32	27	34	51	46	63	39	118	11	76	17	84	14	88	80	33					
6	Число погашенных избирательных бюллетеней	14098	367	43	218	502	667	258	759	956	1122	211	33	205	71	303	794	171	71	787	579	506	352	461	69	333	93	382	109	70	454	367	319	636	83	663	215	367	242	260					
7	Число избирательных бюллетеней в переносных ящиках	2194	92	43	133	47	151	69	70	31	11	61	6	42	12	76	177	63	41	58	59	7	66	55	32	27	34	51	46	63	39	129	11	76	17	84	14	88	80	33					
8	Число бюллетеней в стационарных ящиках для голосования	16993	561	38	129	491	672	273	971	1383	1236	278	112	223	79	451	969	136	108	955	782	487	272	634	109	690	213	417	105	157	657	274	410	768	79	643	291	375	308	257					
9	Число недействительных избирательных бюллетеней	109	3	1	0	4	5	1	12	7	6	2	0	0	1	2	3	2	1	9	4	3	1	8	1	3	0	0	0	1	3	0	3	7	0	8	1	1	3	3					
10	Число действительных избирательных бюллетеней	19078	650	80	262	534	818	341	1029	1407	1241	337	118	265	90	525	1143	197	148	1004	837	491	337	681	140	714	247	468	151	219	693	403	418	837	96	719	304	462	385	287					
11	Число полученных открепительных  удостоверений	450	15	5	5	10	20	5	20	30	70	10	10	10	5	10	15	5	10	15	20	10	5	10	5	10	10	5	5	5	10	5	10	25	15	10	5	5	5	5					
12	Число выданных открепительных удостоверений	179	15	0	1	2	20	0	2	4	48	8	5	0	3	4	7	0	7	10	5	3	0	5	0	0	0	1	0	3	1	1	2	6	2	5	2	2	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	3	0	9	2	4	5	1	7	13	3	5	4	3	4	13	2	0	8	6	4	0	8	0	4	1	2	0	2	7	5	2	12	2	1	0	2	3	0					
14	Число неиспользованных открепительных удостоверений	271	0	5	4	8	0	5	18	26	22	2	5	10	2	6	8	5	3	5	15	7	5	5	5	10	10	4	5	2	9	4	8	19	13	5	3	3	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	511	17	2	1	12	23	5	34	70	55	9	3	12	2	11	30	2	0	34	25	17	6	18	0	5	6	15	3	4	15	9	14	19	2	10	6	10	3	2					
		2.66%	2.60%	2.47%	0.38%	2.23%	2.79%	1.46%	3.27%	4.95%	4.41%	2.65%	2.54%	4.53%	2.20%	2.09%	2.62%	1.01%	0.00%	3.36%	2.97%	3.44%	1.78%	2.61%	0.00%	0.70%	2.43%	3.21%	1.99%	1.82%	2.16%	2.23%	3.33%	2.25%	2.08%	1.38%	1.97%	2.16%	0.77%	0.69%					
19	. Малышкин Олег Александрович	395	8	6	5	16	24	6	22	27	16	12	1	1	0	12	13	1	2	32	21	11	14	17	3	21	7	13	2	4	8	5	8	12	1	12	4	12	9	7					
		2.06%	1.23%	7.41%	1.91%	2.97%	2.92%	1.75%	2.11%	1.91%	1.28%	3.54%	0.85%	0.38%	0.00%	2.28%	1.13%	0.50%	1.34%	3.16%	2.50%	2.23%	4.14%	2.47%	2.13%	2.93%	2.83%	2.78%	1.32%	1.82%	1.15%	1.24%	1.90%	1.42%	1.04%	1.65%	1.31%	2.59%	2.32%	2.41%					
20	. Миронов Сергей Михайлович	164	7	2	2	5	13	2	13	16	5	1	1	1	0	3	9	3	0	9	8	7	4	5	1	3	2	4	3	0	8	3	6	4	3	2	1	4	3	1					
		0.85%	1.07%	2.47%	0.76%	0.93%	1.58%	0.58%	1.25%	1.13%	0.40%	0.29%	0.85%	0.38%	0.00%	0.57%	0.79%	1.51%	0.00%	0.89%	0.95%	1.42%	1.18%	0.73%	0.71%	0.42%	0.81%	0.85%	1.99%	0.00%	1.15%	0.74%	1.43%	0.47%	3.12%	0.28%	0.33%	0.86%	0.77%	0.34%					
21	. Путин Владимир Владимирович	14358	485	50	212	415	626	290	747	918	960	277	78	204	79	411	833	139	130	765	625	340	262	523	74	583	199	344	117	182	517	291	260	664	68	558	230	362	325	215					
		74.83%	74.27%	61.73%	80.92%	77.14%	76.06%	84.80%	71.76%	64.92%	76.98%	81.71%	66.10%	76.98%	86.81%	77.99%	72.69%	69.85%	87.25%	75.52%	74.32%	68.83%	77.51%	75.91%	52.48%	81.31%	80.57%	73.50%	77.48%	82.73%	74.28%	72.21%	61.76%	78.67%	70.83%	76.75%	75.41%	78.19%	83.76%	74.14%					
22	. Хакамада Ирина Муцуовна	417	16	1	7	14	23	5	35	62	29	2	1	5	0	6	33	3	0	19	26	16	6	6	1	11	6	6	1	3	12	2	6	17	1	15	2	9	7	3					
		2.17%	2.45%	1.23%	2.67%	2.60%	2.79%	1.46%	3.36%	4.38%	2.33%	0.59%	0.85%	1.89%	0.00%	1.14%	2.88%	1.51%	0.00%	1.88%	3.09%	3.24%	1.78%	0.87%	0.71%	1.53%	2.43%	1.28%	0.66%	1.36%	1.72%	0.50%	1.43%	2.01%	1.04%	2.06%	0.66%	1.94%	1.80%	1.03%					
23	. Харитонов Николай Михайлович	2726	100	13	31	63	87	28	146	257	105	31	33	35	8	65	193	42	16	120	111	88	38	104	60	76	20	75	23	17	115	86	115	107	20	106	55	54	31	52					
		14.21%	15.31%	16.05%	11.83%	11.71%	10.57%	8.19%	14.02%	18.18%	8.42%	9.14%	27.97%	13.21%	8.79%	12.33%	16.84%	21.11%	10.74%	11.85%	13.20%	17.81%	11.24%	15.09%	42.55%	10.60%	8.10%	16.03%	15.23%	7.73%	16.52%	21.34%	27.32%	12.68%	20.83%	14.58%	18.03%	11.66%	7.99%	17.93%					
																																													
24	Против всех	507	17	6	4	9	22	5	32	57	71	5	1	7	1	17	32	7	0	25	21	12	7	8	1	15	7	11	2	9	18	7	9	14	1	16	6	11	7	7					
		2.64%	2.60%	7.41%	1.53%	1.67%	2.67%	1.46%	3.07%	4.03%	5.69%	1.47%	0.85%	2.64%	1.10%	3.23%	2.79%	3.52%	0.00%	2.47%	2.50%	2.43%	2.07%	1.16%	0.71%	2.09%	2.83%	2.35%	1.32%	4.09%	2.59%	1.74%	2.14%	1.66%	1.04%	2.20%	1.97%	2.38%	1.80%	2.41%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
