Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Краснотуранская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507					
1	"Число избирателей, внесенных в список"	12751	109	73	257	960	614	258	143	166	101	150	775	1635	1172	1933	971	38	240	381	479	126	270	176	590	87	673	222	152					
2	Число полученных избирательных бюллетеней	12761	110	74	253	968	617	262	148	166	104	154	781	1602	1140	1932	988	40	236	381	501	126	276	185	580	90	670	224	153					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6881	75	56	116	594	410	124	96	121	80	94	414	661	452	879	531	24	128	229	356	73	161	120	417	70	347	146	107					
5	"Число избирательных бюллетеней, выданных вне помещения"	659	9	2	9	37	30	14	0	0	4	11	35	87	75	78	45	7	30	21	39	0	24	11	41	6	18	11	15					
6	Число погашенных избирательных бюллетеней	5221	26	16	128	337	177	124	52	45	20	49	332	854	613	975	412	9	78	131	106	53	91	54	122	14	305	67	31					
7	Число избирательных бюллетеней в переносных ящиках	659	9	2	9	37	30	14	0	0	4	11	35	87	75	78	45	7	30	21	39	0	24	11	41	6	18	11	15					
8	Число бюллетеней в стационарных ящиках для голосования	6881	75	56	116	594	410	124	96	121	80	94	414	661	452	879	531	24	128	229	356	73	161	120	417	70	347	146	107					
9	Число недействительных избирательных бюллетеней	39	0	1	0	1	4	2	0	0	0	1	7	4	2	5	0	0	0	5	2	0	0	0	1	3	1	0	0					
10	Число действительных избирательных бюллетеней	7501	84	57	125	630	436	136	96	121	84	104	442	744	525	952	576	31	158	245	393	73	185	131	457	73	364	157	122					
11	Число полученных открепительных  удостоверений	190	5	4	5	12	9	6	5	5	4	4	9	15	13	16	12	3	5	6	7	4	6	5	8	4	9	5	4					
12	Число выданных открепительных удостоверений	41	0	0	2	2	3	0	2	0	0	0	7	3	3	2	7	3	0	0	0	0	1	1	1	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	0	0	0	1	3	1	0	0	0	0	0	5	2	3	1	3	0	0	0	0	0	0	1	2	1	2	0					
14	Число неиспользованных открепительных удостоверений	149	5	4	3	10	6	6	3	5	4	4	2	12	10	14	5	0	5	6	7	4	5	4	7	0	9	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	863	3	3	14	105	30	17	15	3	8	7	62	106	98	170	40	1	16	12	26	1	24	12	30	1	32	11	16					
		11.45%	3.57%	5.17%	11.20%	16.64%	6.82%	12.32%	15.62%	2.48%	9.52%	6.67%	13.81%	14.17%	18.60%	17.76%	6.94%	3.23%	10.13%	4.80%	6.58%	1.37%	12.97%	9.16%	6.55%	1.32%	8.77%	7.01%	13.11%					
19	. Малышкин Олег Александрович	245	10	0	5	5	14	4	5	4	3	2	8	20	9	19	19	1	6	8	33	2	6	6	19	0	13	6	18					
		3.25%	11.90%	0.00%	4.00%	0.79%	3.18%	2.90%	5.21%	3.31%	3.57%	1.90%	1.78%	2.67%	1.71%	1.99%	3.30%	3.23%	3.80%	3.20%	8.35%	2.74%	3.24%	4.58%	4.15%	0.00%	3.56%	3.82%	14.75%					
20	. Миронов Сергей Михайлович	44	1	0	2	4	3	0	1	0	0	3	2	7	1	4	3	0	1	1	3	0	0	1	4	2	0	1	0					
		0.58%	1.19%	0.00%	1.60%	0.63%	0.68%	0.00%	1.04%	0.00%	0.00%	2.86%	0.45%	0.94%	0.19%	0.42%	0.52%	0.00%	0.63%	0.40%	0.76%	0.00%	0.00%	0.76%	0.87%	2.63%	0.00%	0.64%	0.00%					
21	. Путин Владимир Владимирович	4294	55	46	80	266	293	62	64	104	43	76	294	432	270	510	317	25	111	157	189	54	111	36	259	49	241	101	49					
		56.95%	65.48%	79.31%	64.00%	42.16%	66.59%	44.93%	66.67%	85.95%	51.19%	72.38%	65.48%	57.75%	51.23%	53.29%	55.03%	80.65%	70.25%	62.80%	47.85%	73.97%	60.00%	27.48%	56.55%	64.47%	66.03%	64.33%	40.16%					
22	. Хакамада Ирина Муцуовна	183	0	1	0	20	2	1	7	5	1	3	4	29	17	41	11	0	5	1	9	2	2	4	9	1	6	2	0					
		2.43%	0.00%	1.72%	0.00%	3.17%	0.45%	0.72%	7.29%	4.13%	1.19%	2.86%	0.89%	3.88%	3.23%	4.28%	1.91%	0.00%	3.16%	0.40%	2.28%	2.74%	1.08%	3.05%	1.97%	1.32%	1.64%	1.27%	0.00%					
23	. Харитонов Николай Михайлович	1728	13	7	24	221	88	51	2	5	29	10	67	135	120	174	169	4	17	64	131	14	36	67	123	18	67	34	38					
