Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Колыванская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
1	"Число избирателей, внесенных в список"	19565	2421	1903	1452	2220	412	279	762	192	967	403	514	323	1523	294	93	997	124	128	595	151	157	472	46	35	337	189	345	265	51	656	279	47	75	89	36	325	62	63	283					
2	Число полученных избирательных бюллетеней	17575	2125	1660	1245	1925	355	240	685	190	880	365	470	290	1390	270	95	890	130	135	535	160	160	430	50	40	300	190	315	235	50	585	245	50	75	90	40	295	65	70	255					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11002	1147	855	760	911	240	147	404	113	535	283	371	224	904	168	55	581	95	85	392	108	121	293	46	33	202	117	222	180	45	434	159	42	68	78	30	240	51	44	219					
5	"Число избирательных бюллетеней, выданных вне помещения"	895	89	75	62	126	15	12	32	2	28	6	19	12	37	17	0	99	9	16	28	0	5	12	0	2	21	20	16	14	0	57	30	0	0	3	0	27	4	0	0					
6	Число погашенных избирательных бюллетеней	5678	889	730	423	888	100	81	249	75	317	76	80	54	449	85	40	210	26	34	115	52	34	125	4	5	77	53	77	41	5	94	56	8	7	9	10	28	10	26	36					
7	Число избирательных бюллетеней в переносных ящиках	895	89	75	62	126	15	12	32	2	28	6	19	12	37	17	0	99	9	16	28	0	5	12	0	2	21	20	16	14	0	57	30	0	0	3	0	27	4	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	11001	1147	855	760	911	240	147	404	113	535	283	371	224	904	168	55	581	95	85	392	108	121	293	46	33	202	117	222	180	45	434	159	42	68	78	30	240	50	44	219					
9	Число недействительных избирательных бюллетеней	178	9	12	10	11	3	2	8	1	14	13	5	9	11	3	0	14	0	1	2	6	2	3	1	0	5	2	1	7	0	8	6	0	0	1	0	0	4	2	2					
10	Число действительных избирательных бюллетеней	11718	1227	918	812	1026	252	157	428	114	549	276	385	227	930	182	55	666	104	100	418	102	124	302	45	35	218	135	237	187	45	483	183	42	68	80	30	267	50	42	217					
11	Число полученных открепительных  удостоверений	285	20	15	15	20	5	5	10	3	10	5	9	7	10	5	3	10	3	3	10	5	5	10	3	3	5	5	10	10	3	10	5	5	3	5	4	10	3	3	10					
