Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Шарьинская городская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672					
1	"Число избирателей, внесенных в список"	31985	1888	2844	2954	2514	1766	1334	427	1310	993	1549	2006	2568	2049	1373	2098	1608	1505	1199					
2	Число полученных избирательных бюллетеней	31780	1880	2850	2950	2510	1760	1320	420	1300	980	1550	2000	2470	2060	1350	2090	1590	1500	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12938	631	1130	1305	1113	732	423	161	472	362	593	949	1197	995	524	812	640	478	421					
5	"Число избирательных бюллетеней, выданных вне помещения"	711	25	30	56	37	28	30	67	59	14	36	19	117	18	13	30	31	76	25					
6	Число погашенных избирательных бюллетеней	18131	1224	1690	1589	1360	1000	867	192	769	604	921	1032	1156	1047	813	1248	919	946	754					
7	Число избирательных бюллетеней в переносных ящиках	711	25	30	56	37	28	30	67	59	14	36	19	117	18	13	30	31	76	25					
8	Число бюллетеней в стационарных ящиках для голосования	12930	631	1129	1305	1113	732	423	161	472	362	593	949	1197	994	524	808	638	478	421					
9	Число недействительных избирательных бюллетеней	70	5	11	0	14	0	1	0	1	6	6	0	4	2	3	8	6	1	2					
10	Число действительных избирательных бюллетеней	13571	651	1148	1361	1136	760	452	228	530	370	623	968	1310	1010	534	830	663	553	444					
11	Число полученных открепительных  удостоверений	460	20	35	35	35	20	20	10	25	15	25	35	50	25	20	30	20	20	20					
12	Число выданных открепительных удостоверений	96	1	3	11	11	5	1	0	5	2	1	7	13	6	5	13	2	6	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	9	4	11	8	1	5	2	8	1	2	2	21	6	12	8	10	1	5					
14	Число неиспользованных открепительных удостоверений	364	19	32	24	24	15	19	10	20	13	24	28	37	19	15	17	18	14	16					
15	"Число открепительных удостоверений, выданных в ТИК"	12	0	1	0	0	1	0	0	0	1	2	2	0	1	0	0	2	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	426	10	32	55	44	12	6	1	13	16	17	36	57	36	16	25	19	17	14					
		3.12%	1.52%	2.76%	4.04%	3.83%	1.58%	1.32%	0.44%	2.45%	4.26%	2.70%	3.72%	4.34%	3.56%	2.98%	2.98%	2.84%	3.07%	3.14%					
19	. Малышкин Олег Александрович	288	17	27	27	25	18	11	4	13	7	13	19	10	28	10	20	18	13	8					
		2.11%	2.59%	2.33%	1.98%	2.17%	2.37%	2.43%	1.75%	2.45%	1.86%	2.07%	1.96%	0.76%	2.77%	1.86%	2.39%	2.69%	2.35%	1.79%					
20	. Миронов Сергей Михайлович	120	5	7	11	13	2	1	3	7	6	10	12	14	7	6	6	1	5	4					
		0.88%	0.76%	0.60%	0.81%	1.13%	0.26%	0.22%	1.32%	1.32%	1.60%	1.59%	1.24%	1.07%	0.69%	1.12%	0.72%	0.15%	0.90%	0.90%					
21	. Путин Владимир Владимирович	8888	435	744	871	731	510	304	162	374	250	388	589	789	662	371	592	438	364	314					
		65.16%	66.31%	64.19%	64.00%	63.57%	67.11%	67.11%	71.05%	70.43%	66.49%	61.69%	60.85%	60.05%	65.42%	69.09%	70.64%	65.47%	65.70%	70.40%					
22	. Хакамада Ирина Муцуовна	357	14	36	36	31	21	11	4	8	11	12	32	39	25	17	19	17	14	10					
		2.62%	2.13%	3.11%	2.65%	2.70%	2.76%	2.43%	1.75%	1.51%	2.93%	1.91%	3.31%	2.97%	2.47%	3.17%	2.27%	2.54%	2.53%	2.24%					
23	. Харитонов Николай Михайлович	3171	163	273	322	265	177	112	51	102	75	172	250	357	232	95	143	163	131	88					
		23.25%	24.85%	23.55%	23.66%	23.04%	23.29%	24.72%	22.37%	19.21%	19.95%	27.34%	25.83%	27.17%	22.92%	17.69%	17.06%	24.36%	23.65%	19.73%					
																									
24	Против всех	321	7	29	39	27	20	7	3	13	5	11	30	44	20	19	25	7	9	6					
		2.35%	1.07%	2.50%	2.87%	2.35%	2.63%	1.55%	1.32%	2.45%	1.33%	1.75%	3.10%	3.35%	1.98%	3.54%	2.98%	1.05%	1.62%	1.35%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
