Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Петровская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384					
23	. Харитонов Николай Михайлович	3346	318	137	194	94	140	82	71	34	48	65	30	71	38	43	30	45	58	48	103	41	49	146	19	78	207	90	204	170	114	89	50	123	133	47	59	78					
		26.42%	21.06%	21.82%	22.00%	27.41%	19.64%	25.15%	26.69%	10.37%	22.12%	22.26%	30.00%	27.52%	19.29%	13.44%	47.62%	18.15%	19.27%	19.75%	30.03%	38.68%	18.77%	24.70%	19.39%	31.71%	45.39%	45.69%	33.94%	24.85%	46.34%	27.90%	26.32%	32.20%	42.49%	39.17%	79.73%	38.61%					
																																											
24	Против всех	213	42	20	7	3	15	7	3	4	1	6	2	5	2	11	0	3	8	3	5	1	4	14	1	5	6	0	15	7	2	1	1	2	5	0	0	2					
		1.68%	2.78%	3.18%	0.79%	0.87%	2.10%	2.15%	1.13%	1.22%	0.46%	2.05%	2.00%	1.94%	1.02%	3.44%	0.00%	1.21%	2.66%	1.23%	1.46%	0.94%	1.53%	2.37%	1.02%	2.03%	1.32%	0.00%	2.50%	1.02%	0.81%	0.31%	0.53%	0.52%	1.60%	0.00%	0.00%	0.99%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
