Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Приозерская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в список"	44666	1174	1187	1309	1562	1395	1224	1405	1537	1575	1360	1172	1353	1556	590	530	881	995	219	1670	1640	171	688	242	1004	1289	2695	1107	152	1225	1130	1040	1925	1527	1221	385	1479	951	1395	706					
2	Число полученных избирательных бюллетеней	45085	1200	1250	1320	1510	1300	1180	1340	1520	1520	1350	1130	1300	1520	680	520	900	990	230	1670	1680	175	690	230	1060	1300	2980	1190	160	1280	1150	1010	1960	1570	1200	370	1470	950	1450	780					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25024	606	634	819	850	771	678	739	799	886	761	654	621	553	385	280	529	462	146	883	965	110	397	84	613	728	1724	748	104	782	592	577	1094	803	601	188	903	660	798	497					
5	"Число избирательных бюллетеней, выданных вне помещения"	2369	30	125	55	56	122	21	54	28	26	19	47	83	118	89	45	13	51	27	203	97	13	105	33	64	33	50	26	4	165	66	42	41	50	32	51	95	80	62	48					
6	Число погашенных избирательных бюллетеней	17692	564	491	446	604	407	481	547	693	608	570	429	596	849	206	195	358	477	57	584	618	52	188	113	383	539	1206	416	52	333	492	391	825	717	567	131	472	210	590	235					
7	Число избирательных бюллетеней в переносных ящиках	2369	30	125	55	56	122	21	54	28	26	19	47	83	118	89	45	13	51	27	203	97	13	105	33	64	33	50	26	4	165	66	42	41	50	32	51	95	80	62	48					
8	Число бюллетеней в стационарных ящиках для голосования	25014	606	632	819	848	771	678	739	799	886	761	654	621	551	385	280	529	462	146	879	965	110	397	84	613	728	1724	748	104	782	592	577	1094	803	601	188	903	660	798	497					
9	Число недействительных избирательных бюллетеней	242	7	7	3	5	4	3	6	9	5	5	6	6	11	8	5	5	4	2	4	6	4	6	3	7	6	12	9	1	18	13	6	12	8	5	1	8	7	4	1					
10	Число действительных избирательных бюллетеней	27141	629	750	871	899	889	696	787	818	907	775	695	698	658	466	320	537	509	171	1078	1056	119	496	114	670	755	1762	765	107	929	645	613	1123	845	628	238	990	733	856	544					
11	Число полученных открепительных  удостоверений	732	20	20	25	30	37	10	30	22	15	15	25	15	10	35	10	12	7	10	15	30	5	13	5	22	20	55	15	2	20	25	28	25	10	15	5	20	15	20	19					
12	Число выданных открепительных удостоверений	565	17	16	17	24	29	5	24	19	10	9	16	10	8	33	6	8	3	8	11	24	0	8	0	22	18	53	13	0	19	18	19	19	7	11	3	20	12	16	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	400	9	10	20	18	11	6	6	9	10	5	6	10	5	4	8	3	12	3	25	16	5	5	3	11	9	26	6	8	9	5	2	11	38	10	15	11	11	15	4					
14	Число неиспользованных открепительных удостоверений	167	3	4	8	6	8	5	6	3	5	6	9	5	2	2	4	4	4	2	4	6	5	5	5	0	2	2	2	2	1	7	9	6	3	4	2	0	3	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	783	23	11	39	32	35	38	32	50	30	33	28	28	14	12	7	18	16	4	13	18	9	5	0	19	28	40	6	1	11	18	20	33	18	23	18	12	17	19	5					
		2.86%	3.62%	1.45%	4.46%	3.54%	3.92%	5.44%	4.04%	6.05%	3.29%	4.23%	3.99%	3.98%	2.09%	2.53%	2.15%	3.32%	3.12%	2.31%	1.20%	1.69%	7.32%	1.00%	0.00%	2.81%	3.68%	2.25%	0.78%	0.93%	1.16%	2.74%	3.23%	2.91%	2.11%	3.63%	7.53%	1.20%	2.30%	2.21%	0.92%					
19	. Малышкин Олег Александрович	376	13	10	14	15	9	10	7	14	10	14	9	9	8	6	2	10	4	2	11	17	1	7	4	8	17	26	10	2	19	21	5	9	11	6	7	7	10	3	9					
		1.37%	2.04%	1.32%	1.60%	1.66%	1.01%	1.43%	0.88%	1.69%	1.10%	1.79%	1.28%	1.28%	1.20%	1.27%	0.62%	1.85%	0.78%	1.16%	1.02%	1.60%	0.81%	1.39%	3.42%	1.18%	2.23%	1.47%	1.29%	1.85%	2.01%	3.19%	0.81%	0.79%	1.29%	0.95%	2.93%	0.70%	1.35%	0.35%	1.65%					
20	. Миронов Сергей Михайлович	317	13	10	20	15	15	9	10	9	12	11	5	7	7	8	4	5	3	0	7	9	1	0	0	12	12	16	6	0	4	17	6	18	7	10	2	7	3	15	2					
		1.16%	2.04%	1.32%	2.29%	1.66%	1.68%	1.29%	1.26%	1.09%	1.32%	1.41%	0.71%	0.99%	1.05%	1.69%	1.23%	0.92%	0.58%	0.00%	0.65%	0.85%	0.81%	0.00%	0.00%	1.77%	1.58%	0.90%	0.78%	0.00%	0.42%	2.58%	0.97%	1.59%	0.82%	1.58%	0.84%	0.70%	0.41%	1.74%	0.37%					
21	. Путин Владимир Владимирович	21470	471	599	647	658	649	483	564	627	694	562	500	553	512	336	266	423	416	126	908	873	91	419	88	534	566	1466	667	86	809	502	486	882	662	493	181	861	640	701	469					
		78.41%	74.06%	79.13%	74.03%	72.79%	72.68%	69.10%	71.12%	75.82%	76.10%	72.05%	71.33%	78.55%	76.53%	70.89%	81.85%	78.04%	81.09%	72.83%	83.92%	82.20%	73.98%	83.47%	75.21%	78.88%	74.38%	82.64%	86.18%	79.63%	85.43%	76.29%	78.51%	77.71%	77.61%	77.88%	75.73%	86.27%	86.49%	81.51%	86.06%					
22	. Хакамада Ирина Муцуовна	714	18	27	18	20	17	24	39	19	31	41	38	21	20	15	3	11	8	2	24	19	4	8	5	22	29	38	12	2	11	13	12	41	27	15	7	11	11	21	10					
		2.61%	2.83%	3.57%	2.06%	2.21%	1.90%	3.43%	4.92%	2.30%	3.40%	5.26%	5.42%	2.98%	2.99%	3.16%	0.92%	2.03%	1.56%	1.16%	2.22%	1.79%	3.25%	1.59%	4.27%	3.25%	3.81%	2.14%	1.55%	1.85%	1.16%	1.98%	1.94%	3.61%	3.17%	2.37%	2.93%	1.10%	1.49%	2.44%	1.83%					
23	. Харитонов Николай Михайлович	2768	78	64	104	126	136	112	109	69	100	88	89	62	85	67	31	56	54	31	109	96	12	42	14	56	71	126	57	12	57	61	60	112	93	69	23	73	39	80	45					
		10.11%	12.26%	8.45%	11.90%	13.94%	15.23%	16.02%	13.75%	8.34%	10.96%	11.28%	12.70%	8.81%	12.71%	14.14%	9.54%	10.33%	10.53%	17.92%	10.07%	9.04%	9.76%	8.37%	11.97%	8.27%	9.33%	7.10%	7.36%	11.11%	6.02%	9.27%	9.69%	9.87%	10.90%	10.90%	9.62%	7.31%	5.27%	9.30%	8.26%					
																																														
24	Против всех	713	13	29	29	33	28	20	26	30	30	26	26	18	12	22	7	14	8	6	6	24	1	15	3	19	32	50	7	4	18	13	24	28	27	12	0	19	13	17	4					
		2.60%	2.04%	3.83%	3.32%	3.65%	3.14%	2.86%	3.28%	3.63%	3.29%	3.33%	3.71%	2.56%	1.79%	4.64%	2.15%	2.58%	1.56%	3.47%	0.55%	2.26%	0.81%	2.99%	2.56%	2.81%	4.20%	2.82%	0.90%	3.70%	1.90%	1.98%	3.88%	2.47%	3.17%	1.90%	0.00%	1.90%	1.76%	1.98%	0.73%					
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
