Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Троицкая																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653					
1	"Число избирателей, внесенных в список"	23220	1100	1045	1969	1544	1714	915	676	146	127	1345	212	181	131	467	623	198	256	405	118	556	395	482	185	529	126	643	182	539	719	175	151	1204	396	117	1435	358	1140	565	74	77					
2	Число полученных избирательных бюллетеней	22688	1020	949	1868	1467	1713	908	677	139	130	1337	209	179	126	479	633	196	265	407	114	549	392	488	188	527	132	641	180	547	716	174	151	1216	387	114	1316	358	1064	565	94	73					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14156	593	579	1246	842	972	474	306	81	104	805	137	149	58	254	423	153	136	276	81	387	232	341	127	349	106	456	137	358	500	128	118	793	269	85	852	195	597	337	61	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	1521	103	91	100	95	65	40	50	29	9	99	26	0	36	15	30	10	32	21	3	11	20	32	21	39	15	31	8	17	39	16	12	72	17	9	110	24	123	38	13	0					
6	Число погашенных избирательных бюллетеней	7011	324	279	522	530	676	394	321	29	17	433	46	30	32	210	180	33	97	110	30	151	140	115	40	139	11	154	35	172	177	30	21	351	101	20	354	139	344	190	20	14					
7	Число избирательных бюллетеней в переносных ящиках	1519	101	91	100	95	65	40	50	29	9	99	26	0	36	15	30	10	32	21	3	11	20	32	21	39	15	31	8	17	39	16	12	72	17	9	110	24	123	38	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	14138	593	579	1238	841	967	474	306	81	104	805	137	149	58	254	423	153	136	276	81	387	232	341	127	349	106	455	137	358	500	127	118	793	269	85	852	195	597	335	61	59					
9	Число недействительных избирательных бюллетеней	160	4	10	8	13	6	5	6	2	0	7	3	0	0	5	1	0	3	2	1	2	6	3	2	4	0	3	0	8	8	1	2	5	5	1	12	2	13	5	2	0					
10	Число действительных избирательных бюллетеней	15497	690	660	1330	923	1026	509	350	108	113	897	160	149	94	264	452	163	165	295	83	396	246	370	146	384	121	483	145	367	531	142	128	860	281	93	950	217	707	368	72	59					
11	Число полученных открепительных  удостоверений	274	10	15	20	20	20	12	5	3	3	15	3	3	3	5	5	3	3	5	3	5	3	9	3	5	3	5	3	5	8	3	3	15	3	3	15	3	15	5	2	2					
12	Число выданных открепительных удостоверений	84	4	8	18	8	5	1	1	0	0	2	0	0	0	5	5	0	0	3	0	0	0	9	1	0	0	0	0	2	2	1	0	2	0	0	3	3	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	6	1	3	3	3	1	1	2	6	1	3	0	2	1	0	0	1	1	5	1	1	0	1	3	0	1	1	1	3	2	2	4	2	2	4	1	0	0	0	1					
14	Число неиспользованных открепительных удостоверений	190	6	7	2	12	15	11	4	3	3	13	3	3	3	0	0	3	3	2	3	5	3	0	2	5	3	5	3	3	6	2	3	13	3	3	12	0	15	5	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	470	24	15	42	33	51	18	17	3	2	28	6	7	1	1	19	3	7	9	0	4	7	13	3	3	2	6	1	16	19	3	5	26	6	1	20	9	17	19	2	2					
		3.00%	3.46%	2.24%	3.14%	3.53%	4.94%	3.50%	4.78%	2.73%	1.77%	3.10%	3.68%	4.70%	1.06%	0.37%	4.19%	1.84%	4.17%	3.03%	0.00%	1.01%	2.78%	3.49%	2.03%	0.77%	1.65%	1.23%	0.69%	4.27%	3.53%	2.10%	3.85%	3.01%	2.10%	1.06%	2.08%	4.11%	2.36%	5.09%	2.70%	3.39%					
