Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Торопецкая																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316					
1	"Число избирателей, внесенных в список"	19265	395	200	794	703	727	775	742	804	392	785	805	868	860	793	895	375	740	323	473	406	206	196	494	350	170	151	156	263	101	396	153	706	161	252	302	94	449	83	105	728	568	90	236					
2	Число полученных избирательных бюллетеней	18267	370	198	750	650	700	750	700	750	370	750	750	800	800	750	850	350	700	300	450	350	200	197	450	330	171	154	157	250	103	380	155	680	162	240	280	93	450	84	106	670	550	87	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8697	202	124	373	281	318	363	310	382	262	352	341	449	363	256	404	171	331	160	337	70	89	70	188	122	92	76	93	132	54	184	60	378	72	93	131	56	176	53	76	242	241	46	124					
5	"Число избирательных бюллетеней, выданных вне помещения"	3250	44	58	70	67	40	38	55	33	29	57	26	44	18	113	48	44	64	97	9	197	66	76	165	165	57	51	57	81	44	133	71	57	55	143	118	23	147	24	22	249	230	28	37					
6	Число погашенных избирательных бюллетеней	6320	124	16	307	302	342	349	335	335	79	341	383	307	419	381	398	135	305	43	104	83	45	51	97	43	22	27	7	37	5	63	24	245	35	4	31	14	127	7	8	179	79	13	69					
7	Число избирательных бюллетеней в переносных ящиках	3250	44	58	70	67	40	38	55	33	29	57	26	44	18	113	48	44	64	97	9	197	66	76	165	165	57	51	57	81	44	133	71	57	55	143	118	23	147	24	22	249	230	28	37					
8	Число бюллетеней в стационарных ящиках для голосования	8697	202	124	373	281	318	363	310	382	262	352	341	449	363	256	404	171	331	160	337	70	89	70	188	122	92	76	93	132	54	184	60	378	72	93	131	56	176	53	76	242	241	46	124					
9	Число недействительных избирательных бюллетеней	39	0	1	4	2	1	5	0	2	0	0	3	0	2	1	1	3	2	2	1	0	1	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1					
10	Число действительных избирательных бюллетеней	11908	246	181	439	346	357	396	365	413	291	409	364	493	379	368	451	212	393	255	345	267	154	146	351	287	148	127	150	213	98	316	131	434	127	236	249	79	322	77	98	491	470	74	160					
