Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Сорокинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598					
1	"Число избирателей, внесенных в список"	8258	1310	1076	801	1070	458	59	341	84	191	645	127	72	200	75	244	184	339	87	469	115	241	70					
2	Число полученных избирательных бюллетеней	8472	1350	1115	845	1115	470	63	345	88	189	645	124	75	201	75	260	186	338	87	479	115	238	69					
3	"Число избирательных бюллетеней, выданных  досрочно"	150	0	31	80	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6311	920	754	567	804	373	55	283	77	153	482	107	68	152	64	217	149	238	81	397	99	215	56					
5	"Число избирательных бюллетеней, выданных вне помещения"	1018	150	117	100	92	68	3	51	7	32	67	17	3	38	11	27	26	91	0	69	13	23	13					
6	Число погашенных избирательных бюллетеней	993	280	213	98	219	29	5	11	4	4	57	0	4	11	0	16	11	9	6	13	3	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1168	150	148	180	92	68	3	51	7	32	106	17	3	38	11	27	26	91	0	69	13	23	13					
8	Число бюллетеней в стационарных ящиках для голосования	6311	920	754	567	804	373	55	283	77	153	482	107	68	152	64	217	149	238	81	397	99	215	56					
9	Число недействительных избирательных бюллетеней	88	12	8	30	12	2	0	4	0	0	4	0	0	1	0	0	6	4	0	4	1	0	0					
10	Число действительных избирательных бюллетеней	7391	1058	894	717	884	439	58	330	84	185	584	124	71	189	75	244	169	325	81	462	111	238	69					
11	Число полученных открепительных  удостоверений	195	36	25	17	22	11	7	8	2	4	20	2	2	4	2	6	3	6	2	8	2	4	2					
12	Число выданных открепительных удостоверений	156	32	24	13	19	11	7	5	2	0	20	0	1	1	2	4	1	4	2	6	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	11	11	0	5	2	3	3	2	2	6	4	8	3	6	5	4	5	2	3	2	3	3					
14	Число неиспользованных открепительных удостоверений	39	4	1	4	3	0	0	3	0	4	0	2	1	3	0	2	2	2	0	2	2	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	113	25	22	7	18	6	5	4	0	7	5	1	0	0	0	1	3	5	0	2	0	2	0					
		1.51%	2.34%	2.44%	0.94%	2.01%	1.36%	8.62%	1.20%	0.00%	3.78%	0.85%	0.81%	0.00%	0.00%	0.00%	0.41%	1.71%	1.52%	0.00%	0.43%	0.00%	0.84%	0.00%					
19	. Малышкин Олег Александрович	354	54	51	5	63	24	0	14	3	8	21	11	3	5	8	13	25	6	5	22	1	8	4					
		4.73%	5.05%	5.65%	0.67%	7.03%	5.44%	0.00%	4.19%	3.57%	4.32%	3.57%	8.87%	4.23%	2.63%	10.67%	5.33%	14.29%	1.82%	6.17%	4.72%	0.89%	3.36%	5.80%					
20	. Миронов Сергей Михайлович	42	4	9	4	4	0	0	3	0	1	2	0	1	0	3	3	2	0	0	2	0	3	1					
		0.56%	0.37%	1.00%	0.54%	0.45%	0.00%	0.00%	0.90%	0.00%	0.54%	0.34%	0.00%	1.41%	0.00%	4.00%	1.23%	1.14%	0.00%	0.00%	0.43%	0.00%	1.26%	1.45%					
21	. Путин Владимир Владимирович	5786	788	664	645	693	325	36	240	68	136	467	95	64	171	53	167	109	287	60	381	92	189	56					
		77.36%	73.64%	73.61%	86.35%	77.34%	73.70%	62.07%	71.86%	80.95%	73.51%	79.42%	76.61%	90.14%	90.00%	70.67%	68.44%	62.29%	87.23%	74.07%	81.76%	82.14%	79.41%	81.16%					
22	. Хакамада Ирина Муцуовна	107	27	16	10	20	8	2	4	1	2	4	0	0	0	0	3	1	2	0	2	1	3	1					
		1.43%	2.52%	1.77%	1.34%	2.23%	1.81%	3.45%	1.20%	1.19%	1.08%	0.68%	0.00%	0.00%	0.00%	0.00%	1.23%	0.57%	0.61%	0.00%	0.43%	0.89%	1.26%	1.45%					
23	. Харитонов Николай Михайлович	845	124	107	43	53	69	15	56	12	27	74	17	3	13	10	54	29	20	16	52	17	27	7					
		11.30%	11.59%	11.86%	5.76%	5.92%	15.65%	25.86%	16.77%	14.29%	14.59%	12.59%	13.71%	4.23%	6.84%	13.33%	22.13%	16.57%	6.08%	19.75%	11.16%	15.18%	11.34%	10.14%					
																													
24	Против всех	144	36	25	3	33	7	0	9	0	4	11	0	0	0	1	3	0	5	0	1	0	6	0					
		1.93%	3.36%	2.77%	0.40%	3.68%	1.59%	0.00%	2.69%	0.00%	2.16%	1.87%	0.00%	0.00%	0.00%	1.33%	1.23%	0.00%	1.52%	0.00%	0.21%	0.00%	2.52%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
