Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Кунашакская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096					
1	"Число избирателей, внесенных в список"	23044	2470	2060	341	370	341	407	1377	272	185	114	1481	281	429	271	277	1263	889	606	886	254	113	302	455	871	387	478	433	499	570	53	131	168	153	237	160	145	1345	218	161	371	173	296	309	255	187					
2	Число полученных избирательных бюллетеней	22235	2459	2037	334	344	341	382	1249	267	184	102	1326	284	420	263	256	1102	851	586	849	254	111	307	443	863	383	467	420	494	570	52	129	163	147	248	158	138	1363	206	155	352	155	281	304	241	195					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15099	1545	1277	262	259	276	297	813	173	142	94	781	206	312	170	202	743	605	432	563	182	75	189	305	568	269	302	271	307	389	35	114	130	125	159	130	123	852	146	117	267	138	207	225	184	138					
5	"Число избирательных бюллетеней, выданных вне помещения"	996	71	41	13	20	12	24	40	11	5	0	74	19	20	32	2	45	75	45	49	20	0	29	31	14	34	22	17	62	38	8	4	3	0	10	8	13	36	13	9	9	1	2	10	0	5					
6	Число погашенных избирательных бюллетеней	6140	843	719	59	65	53	61	396	83	37	8	471	59	88	61	52	314	171	109	237	52	36	89	107	281	80	143	132	125	143	9	11	30	22	79	20	2	475	47	29	76	16	72	69	57	52					
7	Число избирательных бюллетеней в переносных ящиках	996	71	41	13	20	12	24	40	11	5	0	74	19	20	32	2	45	75	45	49	20	0	29	31	14	34	22	17	62	38	8	4	3	0	10	8	13	36	13	9	9	1	2	10	0	5					
8	Число бюллетеней в стационарных ящиках для голосования	15058	1545	1236	262	259	276	297	813	173	142	94	781	206	312	170	202	743	605	432	563	182	75	189	305	568	269	302	271	307	389	35	114	130	125	159	130	123	852	146	117	267	138	207	225	184	138					
9	Число недействительных избирательных бюллетеней	287	21	11	7	6	3	12	16	1	0	1	11	1	6	3	4	11	9	19	5	2	0	8	3	15	10	8	9	13	6	1	2	4	1	7	1	3	17	2	2	6	0	1	11	4	4					
10	Число действительных избирательных бюллетеней	15767	1595	1266	268	273	285	309	837	183	147	93	844	224	326	199	200	777	671	458	607	200	75	210	333	567	293	316	279	356	421	42	116	129	124	162	137	133	871	157	124	270	139	208	224	180	139					
11	Число полученных открепительных  удостоверений	218	35	25	2	2	2	2	20	4	2	2	15	2	2	2	2	10	10	5	5	2	2	2	2	5	2	2	2	5	5	2	2	2	2	2	2	2	10	2	2	2	2	2	2	2	2					
12	Число выданных открепительных удостоверений	134	35	11	2	1	2	1	20	2	0	0	12	0	0	2	0	8	10	3	3	0	0	0	0	5	0	0	0	1	4	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	134	8	8	1	1	4	1	7	1	1	0	3	0	2	4	1	4	5	3	10	5	3	3	6	2	3	1	1	3	6	4	1	1	1	0	1	3	12	2	1	7	0	1	2	1	0					
14	Число неиспользованных открепительных удостоверений	84	0	14	0	1	0	1	0	2	2	2	3	2	2	0	2	2	0	2	2	2	2	2	2	0	2	2	2	4	1	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	32	2	6	1	0	2	1	3	0	2	0	0	0	0	0	0	4	1	0	1	1	0	0	1	1	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	399	59	43	6	2	2	11	19	9	0	4	13	5	5	5	6	18	32	10	13	3	1	2	2	17	7	8	1	3	3	1	0	2	1	6	1	2	16	4	3	5	4	2	7	30	6					
		2.49%	3.65%	3.37%	2.18%	0.72%	0.69%	3.43%	2.23%	4.89%	0.00%	4.26%	1.52%	2.22%	1.51%	2.48%	2.94%	2.28%	4.71%	2.10%	2.12%	1.49%	1.33%	0.92%	0.60%	2.92%	2.31%	2.47%	0.35%	0.81%	0.70%	2.33%	0.00%	1.50%	0.80%	3.55%	0.72%	1.47%	1.80%	2.52%	2.38%	1.81%	2.88%	0.96%	2.98%	16.30%	4.20%					
19	. Малышкин Олег Александрович	225	11	9	4	2	4	2	20	8	3	2	5	8	8	7	5	5	20	9	14	3	0	1	0	5	2	8	2	3	2	0	0	1	0	3	4	5	10	0	4	7	3	6	5	2	3					
		1.40%	0.68%	0.70%	1.45%	0.72%	1.39%	0.62%	2.34%	4.35%	2.04%	2.13%	0.58%	3.56%	2.41%	3.47%	2.45%	0.63%	2.94%	1.89%	2.29%	1.49%	0.00%	0.46%	0.00%	0.86%	0.66%	2.47%	0.69%	0.81%	0.47%	0.00%	0.00%	0.75%	0.00%	1.78%	2.90%	3.68%	1.13%	0.00%	3.17%	2.54%	2.16%	2.87%	2.13%	1.09%	2.10%					
20	. Миронов Сергей Михайлович	78	6	8	0	1	3	2	4	0	1	1	2	0	2	3	1	2	3	1	5	4	0	1	0	2	1	1	1	3	1	1	0	1	0	1	0	0	0	3	0	5	0	3	4	0	1					
		0.49%	0.37%	0.63%	0.00%	0.36%	1.04%	0.62%	0.47%	0.00%	0.68%	1.06%	0.23%	0.00%	0.60%	1.49%	0.49%	0.25%	0.44%	0.21%	0.82%	1.98%	0.00%	0.46%	0.00%	0.34%	0.33%	0.31%	0.35%	0.81%	0.23%	2.33%	0.00%	0.75%	0.00%	0.59%	0.00%	0.00%	0.00%	1.89%	0.00%	1.81%	0.00%	1.44%	1.70%	0.00%	0.70%					
21	. Путин Владимир Владимирович	10857	1165	966	226	165	216	153	544	132	117	65	665	166	215	124	162	635	434	334	480	162	66	157	272	344	208	146	131	226	215	40	77	82	74	118	101	66	519	122	82	156	69	133	168	77	82					
		67.63%	72.09%	75.65%	82.18%	59.14%	75.00%	47.66%	63.77%	71.74%	79.59%	69.15%	77.78%	73.78%	64.76%	61.39%	79.41%	80.58%	63.82%	70.02%	78.43%	80.20%	88.00%	72.02%	80.95%	59.11%	68.65%	45.06%	45.49%	61.25%	50.35%	93.02%	65.25%	61.65%	59.20%	69.82%	73.19%	48.53%	58.45%	76.73%	65.08%	56.52%	49.64%	63.64%	71.49%	41.85%	57.34%					
22	. Хакамада Ирина Муцуовна	360	66	32	9	3	6	12	17	6	4	3	9	1	6	4	3	18	17	5	8	1	1	4	2	19	4	12	6	6	8	0	2	0	0	7	0	0	21	5	3	13	2	4	2	3	6					
		2.24%	4.08%	2.51%	3.27%	1.08%	2.08%	3.74%	1.99%	3.26%	2.72%	3.19%	1.05%	0.44%	1.81%	1.98%	1.47%	2.28%	2.50%	1.05%	1.31%	0.50%	1.33%	1.83%	0.60%	3.26%	1.32%	3.70%	2.08%	1.63%	1.87%	0.00%	1.69%	0.00%	0.00%	4.14%	0.00%	0.00%	2.36%	3.14%	2.38%	4.71%	1.44%	1.91%	0.85%	1.63%	4.20%					
23	. Харитонов Николай Михайлович	3661	259	190	21	99	52	127	217	27	20	16	140	43	83	55	23	91	154	94	81	27	7	43	55	168	65	132	137	114	185	0	34	40	49	27	30	60	300	22	31	83	60	58	36	66	40					
		22.80%	16.03%	14.88%	7.64%	35.48%	18.06%	39.56%	25.44%	14.67%	13.61%	17.02%	16.37%	19.11%	25.00%	27.23%	11.27%	11.55%	22.65%	19.71%	13.24%	13.37%	9.33%	19.72%	16.37%	28.87%	21.45%	40.74%	47.57%	30.89%	43.33%	0.00%	28.81%	30.08%	39.20%	15.98%	21.74%	44.12%	33.78%	13.84%	24.60%	30.07%	43.17%	27.75%	15.32%	35.87%	27.97%					
																																																				
24	Против всех	187	29	18	2	1	2	2	16	1	2	2	10	1	7	1	0	8	11	5	6	0	0	2	2	12	6	9	1	1	7	0	3	3	0	0	1	0	5	1	1	1	1	2	2	2	1					
		1.16%	1.79%	1.41%	0.73%	0.36%	0.69%	0.62%	1.88%	0.54%	1.36%	2.13%	1.17%	0.44%	2.11%	0.50%	0.00%	1.02%	1.62%	1.05%	0.98%	0.00%	0.00%	0.92%	0.60%	2.06%	1.98%	2.78%	0.35%	0.27%	1.64%	0.00%	2.54%	2.26%	0.00%	0.00%	0.72%	0.00%	0.56%	0.63%	0.79%	0.36%	0.72%	0.96%	0.85%	1.09%	0.70%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
