Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Колпашевский район																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №745	УИК №746	УИК №747	УИК №748					
1	"Число избирателей, внесенных в список"	36047	1795	748	1112	1241	1251	1040	1224	1230	896	984	574	962	988	1216	951	1320	1039	729	802	957	710	870	1103	1092	472	159	1220	991	174	135	49	452	702	212	143	500	621	133	400	702	316	1404	49	234	154	87	175	666	237	152	178	243	101	152					
2	Число полученных избирательных бюллетеней	33393	1612	672	1052	1121	1123	948	1110	1119	817	893	542	931	889	1094	861	1202	941	653	710	865	643	796	1082	1048	440	166	1175	917	176	144	60	418	672	195	172	456	553	140	369	633	298	1273	55	246	159	93	177	611	226	153	178	244	120	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21655	1148	420	601	729	617	551	800	700	519	551	351	532	499	699	487	719	517	394	440	557	468	492	698	654	230	123	723	477	90	114	49	284	450	148	117	302	489	100	268	515	225	965	42	186	132	76	142	425	180	113	143	153	101	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	2211	39	29	74	29	50	46	63	60	60	49	23	39	42	66	49	45	59	54	32	36	69	52	75	58	98	13	88	84	41	8	0	23	52	35	17	57	41	17	58	47	64	66	0	21	0	0	26	82	16	6	23	30	0	0					
6	Число погашенных избирательных бюллетеней	9527	425	223	377	363	456	351	247	359	238	293	168	360	348	329	325	438	365	205	238	272	106	252	309	336	112	30	364	356	45	22	11	111	170	12	38	97	23	23	43	71	9	242	13	39	27	17	9	104	30	34	12	61	19	0					
7	Число избирательных бюллетеней в переносных ящиках	2211	39	29	74	29	50	46	63	60	60	49	23	39	42	66	49	45	59	54	32	36	69	52	75	58	98	13	88	84	41	8	0	23	52	35	17	57	41	17	58	47	64	66	0	21	0	0	26	82	16	6	23	30	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21653	1147	420	601	729	617	551	800	700	519	551	351	532	499	698	487	719	517	394	440	557	468	492	698	654	230	123	723	477	90	114	49	284	450	148	117	302	489	100	268	515	225	965	42	186	132	76	142	425	180	113	143	153	101	150					
9	Число недействительных избирательных бюллетеней	158	2	2	5	5	4	4	1	4	3	5	1	3	7	1	1	5	3	5	3	5	2	2	2	2	5	3	11	10	2	1	1	0	3	1	1	3	5	0	3	3	0	8	0	3	2	0	0	3	5	0	5	2	1	0					
10	Число действительных избирательных бюллетеней	23706	1184	447	670	753	663	593	862	756	576	595	373	568	534	763	535	759	573	443	469	588	535	542	771	710	323	133	800	551	129	121	48	307	499	182	133	356	525	117	323	559	289	1023	42	204	130	76	168	504	191	119	161	181	100	150					
11	Число полученных открепительных  удостоверений	885	25	15	15	20	15	15	20	20	15	15	15	15	15	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	39	25	50	15	15	15	15	15	15	15	15	15	15	15	15	24	15	15	15	15	0	0					
12	Число выданных открепительных удостоверений	496	22	10	11	16	6	8	16	15	2	6	5	6	3	15	6	7	2	1	8	4	10	10	10	9	0	0	14	6	10	3	9	13	39	23	48	5	14	0	2	9	14	15	0	11	4	0	0	23	10	1	7	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	356	15	2	8	10	4	6	5	5	6	3	1	8	1	5	9	12	0	1	5	5	4	3	6	5	5	4	3	3	6	4	3	6	4	4	6	3	4	1	3	6	1	31	1	2	1	1	2	8	3	5	6	3	88	10					
14	Число неиспользованных открепительных удостоверений	389	3	5	4	4	9	7	4	5	13	9	10	9	12	2	9	8	13	14	7	11	5	5	5	6	15	15	1	9	5	12	6	2	0	2	2	10	1	15	13	6	1	0	15	4	11	15	15	1	5	14	8	7	0	0					
