Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Ломоносовская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663					
1	"Число избирателей, внесенных в список"	53008	1577	1293	1794	2404	261	2263	744	2015	1206	2108	1190	250	179	2829	1032	552	2791	398	2121	2016	2031	1403	2659	1444	1478	1375	572	133	2199	966	1971	2135	2802	1202	221	346	137	911					
2	Число полученных избирательных бюллетеней	52200	1400	1200	1800	2000	300	2300	700	2200	1200	2000	1200	250	150	2800	900	600	2900	350	2000	1900	2000	1400	2700	1500	1500	1300	500	150	2300	950	2000	2000	2900	1200	200	350	100	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29314	863	727	942	1617	159	1311	308	1187	626	1102	655	155	144	1426	580	422	1481	280	1094	1175	1144	837	1302	680	675	753	311	82	1300	445	1004	1035	1424	748	149	215	45	911					
5	"Число избирательных бюллетеней, выданных вне помещения"	1956	88	41	66	90	0	47	115	76	3	14	107	0	0	122	15	0	158	0	23	6	13	28	61	54	224	71	24	0	141	104	33	64	76	32	6	2	52	0					
6	Число погашенных избирательных бюллетеней	20930	449	432	792	293	141	942	277	937	571	884	438	95	6	1252	305	178	1261	70	883	719	843	535	1337	766	601	476	165	68	859	401	963	901	1400	420	45	133	3	89					
7	Число избирательных бюллетеней в переносных ящиках	1956	88	41	66	90	0	47	115	76	3	14	107	0	0	122	15	0	158	0	23	6	13	28	61	54	224	71	24	0	141	104	33	64	76	32	6	2	52	0					
8	Число бюллетеней в стационарных ящиках для голосования	29306	863	723	942	1617	159	1311	308	1187	626	1102	655	155	144	1426	580	422	1481	280	1094	1175	1141	837	1302	680	675	753	311	82	1300	445	1004	1035	1424	747	149	215	45	911					
9	Число недействительных избирательных бюллетеней	302	7	4	6	11	0	16	8	10	7	10	7	2	0	14	10	4	26	3	7	8	16	9	13	9	12	9	4	1	23	10	0	6	11	9	0	5	0	5					
10	Число действительных избирательных бюллетеней	30960	944	760	1002	1696	159	1342	415	1253	622	1106	755	153	144	1534	585	418	1613	277	1110	1173	1138	856	1350	725	887	815	331	81	1418	539	1037	1093	1489	770	155	212	97	906					
11	Число полученных открепительных  удостоверений	1044	18	21	25	55	5	50	15	45	20	20	26	10	5	51	9	98	45	15	25	20	25	25	35	25	23	24	10	5	55	25	35	35	70	40	10	19	1	4					
12	Число выданных открепительных удостоверений	1021	18	21	17	55	5	50	15	45	20	20	26	7	3	51	9	98	45	15	25	17	25	25	35	25	23	24	10	5	55	25	34	34	70	40	10	19	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	444	10	16	21	14	7	7	2	11	13	16	8	1	0	24	29	8	20	12	19	6	4	10	8	8	25	20	4	3	9	15	11	14	21	2	12	12	6	16					
14	Число неиспользованных открепительных удостоверений	23	0	0	8	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	854	33	32	34	31	4	35	9	51	34	22	15	5	5	51	15	10	41	4	31	38	32	30	43	23	2	34	7	2	31	14	15	35	43	21	6	9	0	7					
		2.73%	3.47%	4.19%	3.37%	1.82%	2.52%	2.58%	2.13%	4.04%	5.41%	1.97%	1.97%	3.23%	3.47%	3.29%	2.52%	2.37%	2.50%	1.43%	2.78%	3.22%	2.77%	3.47%	3.15%	3.13%	0.22%	4.13%	2.09%	2.44%	2.15%	2.55%	1.45%	3.18%	2.87%	2.70%	3.87%	4.15%	0.00%	0.77%					
19	. Малышкин Олег Александрович	423	21	13	19	34	6	10	11	11	5	9	14	5	9	10	13	6	19	6	13	12	11	13	13	10	7	8	7	2	20	5	8	12	13	15	3	3	4	23					
		1.35%	2.21%	1.70%	1.88%	1.99%	3.77%	0.74%	2.60%	0.87%	0.79%	0.81%	1.84%	3.23%	6.25%	0.65%	2.18%	1.42%	1.16%	2.14%	1.16%	1.02%	0.95%	1.50%	0.95%	1.36%	0.78%	0.97%	2.09%	2.44%	1.39%	0.91%	0.77%	1.09%	0.87%	1.93%	1.94%	1.38%	4.12%	2.52%					
20	. Миронов Сергей Михайлович	314	7	16	13	7	2	13	5	12	8	19	10	1	1	10	8	8	8	4	11	12	11	8	19	8	3	10	3	0	9	5	6	20	20	6	1	1	1	8					
		1.00%	0.74%	2.09%	1.29%	0.41%	1.26%	0.96%	1.18%	0.95%	1.27%	1.70%	1.31%	0.65%	0.69%	0.65%	1.34%	1.90%	0.49%	1.43%	0.98%	1.02%	0.95%	0.92%	1.39%	1.09%	0.33%	1.21%	0.90%	0.00%	0.62%	0.91%	0.58%	1.82%	1.33%	0.77%	0.65%	0.46%	1.03%	0.88%					
21	. Путин Владимир Владимирович	24417	706	541	731	1366	131	1049	325	925	442	878	608	122	94	1176	462	340	1296	235	870	949	889	722	1056	553	751	630	275	54	1187	431	824	859	1154	646	126	168	76	770					
		78.10%	74.24%	70.81%	72.52%	80.02%	82.39%	77.25%	76.83%	73.24%	70.27%	78.67%	79.79%	78.71%	65.28%	75.97%	77.65%	80.57%	79.07%	83.93%	77.89%	80.36%	77.04%	83.47%	77.48%	75.34%	83.54%	76.46%	82.09%	65.85%	82.37%	78.51%	79.46%	78.16%	76.93%	82.93%	81.29%	77.42%	78.35%	84.52%					
22	. Хакамада Ирина Муцуовна	955	34	24	42	54	0	45	16	51	35	42	22	2	4	65	28	8	31	7	52	42	41	20	34	16	10	13	5	0	34	9	28	42	63	18	1	4	3	10					
		3.05%	3.58%	3.14%	4.17%	3.16%	0.00%	3.31%	3.78%	4.04%	5.56%	3.76%	2.89%	1.29%	2.78%	4.20%	4.71%	1.90%	1.89%	2.50%	4.66%	3.56%	3.55%	2.31%	2.49%	2.18%	1.11%	1.58%	1.49%	0.00%	2.36%	1.64%	2.70%	3.82%	4.20%	2.31%	0.65%	1.84%	3.09%	1.10%					
23	. Харитонов Николай Михайлович	2937	110	104	119	123	10	135	39	153	76	105	61	12	17	177	38	22	178	3	92	85	106	41	140	101	97	97	30	21	96	65	144	90	150	49	14	21	12	4					
		9.39%	11.57%	13.61%	11.81%	7.21%	6.29%	9.94%	9.22%	12.11%	12.08%	9.41%	8.01%	7.74%	11.81%	11.43%	6.39%	5.21%	10.86%	1.07%	8.24%	7.20%	9.19%	4.74%	10.27%	13.76%	10.79%	11.77%	8.96%	25.61%	6.66%	11.84%	13.89%	8.19%	10.00%	6.29%	9.03%	9.68%	12.37%	0.44%					
																																													
24	Против всех	1060	33	30	44	81	6	55	10	50	22	31	25	6	14	45	21	24	40	18	41	35	48	22	45	14	17	23	4	2	41	10	12	35	46	15	4	6	1	84					
		3.39%	3.47%	3.93%	4.37%	4.75%	3.77%	4.05%	2.36%	3.96%	3.50%	2.78%	3.28%	3.87%	9.72%	2.91%	3.53%	5.69%	2.44%	6.43%	3.67%	2.96%	4.16%	2.54%	3.30%	1.91%	1.89%	2.79%	1.19%	2.44%	2.85%	1.82%	1.16%	3.18%	3.07%	1.93%	2.58%	2.76%	1.03%	9.22%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
