Выборы Президента Российской Федерации																																																											
																																																											
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203					
1	"Число избирателей, внесенных в список"	64859	721	1280	812	1404	998	767	712	1073	1726	1557	632	765	1045	1015	1890	1501	1096	1462	149	67	76	1495	1837	1290	1301	1010	1323	1426	1598	1171	1443	2124	2057	1847	784	350	1444	1483	1437	1136	1461	1014	1645	1305	1677	2002	1373	1921	2053	730	1446	928					
2	Число полученных избирательных бюллетеней	64865	729	1272	835	1393	1017	755	658	1046	1711	1531	680	962	836	1024	1865	1520	1130	1460	149	67	82	1608	1906	1363	1307	943	1347	1557	1550	1170	1554	2130	2051	1790	764	360	1256	1499	1353	1100	1200	1019	1640	1361	1723	2000	1434	2024	2035	724	1375	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40613	394	741	540	918	743	657	374	698	1148	866	310	413	669	475	1510	852	663	836	149	67	76	900	1070	644	963	525	871	649	872	626	766	1196	1566	1130	254	323	838	786	1013	696	882	569	986	651	902	1607	1139	1313	1665	546	763	803					
5	"Число избирательных бюллетеней, выданных вне помещения"	3697	28	53	47	157	39	40	126	110	58	74	88	83	50	65	180	88	79	43	0	0	0	159	86	50	90	29	34	71	41	70	54	62	77	73	161	27	135	79	66	60	124	113	132	45	97	31	33	91	18	29	129	23					
6	Число погашенных избирательных бюллетеней	20555	307	478	248	318	235	58	158	238	505	591	282	466	117	484	175	580	388	581	0	0	6	549	750	669	254	389	442	837	637	474	734	872	408	587	349	10	283	634	274	344	194	337	522	665	724	362	262	620	352	149	483	174					
7	Число избирательных бюллетеней в переносных ящиках	3697	28	53	47	157	39	40	126	110	58	74	88	83	50	65	180	88	79	43	0	0	0	159	86	50	90	29	34	71	41	70	54	62	77	73	161	27	135	79	66	60	124	113	132	45	97	31	33	91	18	29	129	23					
8	Число бюллетеней в стационарных ящиках для голосования	40597	394	741	540	918	743	656	374	697	1148	866	310	413	668	475	1510	851	663	836	149	67	76	900	1070	644	959	525	871	649	872	626	766	1195	1566	1130	254	323	838	786	1013	696	882	569	986	651	897	1605	1139	1313	1665	546	763	803					
9	Число недействительных избирательных бюллетеней	556	1	5	1	5	4	0	2	6	1	12	1	1	5	2	207	2	2	0	0	0	0	2	4	2	6	5	5	8	2	31	3	7	2	9	2	18	7	2	1	4	3	0	4	3	0	8	26	39	3	0	9	84					
10	Число действительных избирательных бюллетеней	43738	421	789	586	1070	778	696	498	801	1205	928	397	495	713	538	1483	937	740	879	149	67	76	1057	1152	692	1043	549	900	712	911	665	817	1250	1641	1194	413	332	966	863	1078	752	1003	682	1114	693	994	1628	1146	1365	1680	575	883	742					
