Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Эрзинская													
													
Итоги голосования 													
													
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181					
1	"Число избирателей, внесенных в список"	4454	631	1599	589	408	1085	142					
2	Число полученных избирательных бюллетеней	3950	559	1424	535	379	923	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	612	133	32	129	71	179	68					
4	"Число избирательных бюллетеней, выданных в день голосования"	2613	349	952	346	284	620	62					
5	"Число избирательных бюллетеней, выданных вне помещения"	176	15	78	21	18	44	0					
6	Число погашенных избирательных бюллетеней	549	62	362	39	6	80	0					
7	Число избирательных бюллетеней в переносных ящиках	788	148	110	150	89	223	68					
8	Число бюллетеней в стационарных ящиках для голосования	2613	349	952	346	284	620	62					
9	Число недействительных избирательных бюллетеней	20	0	13	4	0	3	0					
10	Число действительных избирательных бюллетеней	3381	497	1049	492	373	840	130					
11	Число полученных открепительных  удостоверений	100	20	25	13	12	20	10					
12	Число выданных открепительных удостоверений	44	1	24	5	2	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	0	12	0	0	3	0					
14	Число неиспользованных открепительных удостоверений	56	19	1	8	10	8	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	9	0	4	1	0	3	1					
		0.26%	0.00%	0.38%	0.20%	0.00%	0.36%	0.77%					
19	. Малышкин Олег Александрович	12	0	2	4	2	3	1					
		0.35%	0.00%	0.19%	0.81%	0.54%	0.36%	0.77%					
20	. Миронов Сергей Михайлович	12	2	5	2	0	2	1					
		0.35%	0.40%	0.47%	0.40%	0.00%	0.24%	0.77%					
21	. Путин Владимир Владимирович	3240	483	986	472	367	807	125					
		95.27%	97.18%	92.84%	95.16%	98.39%	95.73%	96.15%					
22	. Хакамада Ирина Муцуовна	24	3	10	4	1	4	2					
		0.71%	0.60%	0.94%	0.81%	0.27%	0.47%	1.54%					
23	. Харитонов Николай Михайлович	73	8	38	9	1	17	0					
		2.15%	1.61%	3.58%	1.81%	0.27%	2.02%	0.00%					
													
24	Против всех	11	1	4	0	2	4	0					
		0.32%	0.20%	0.38%	0.00%	0.54%	0.47%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
