Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Облученская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в список"	23898	846	581	1261	1463	1116	689	931	929	1489	574	128	197	336	96	700	1554	1390	353	1717	2149	992	241	453	1012	363	1142	913	283					
2	Число полученных избирательных бюллетеней	24540	760	650	1300	1520	1120	750	970	950	1560	540	130	190	340	100	750	1610	1420	360	1750	2200	1010	250	510	1030	370	1150	970	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	95	0	29	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	38	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14111	411	339	658	972	707	334	409	425	1097	408	101	162	236	57	378	734	889	144	1028	1301	614	144	251	713	279	706	423	191					
5	"Число избирательных бюллетеней, выданных вне помещения"	1770	132	48	75	39	36	48	70	62	87	29	0	8	43	3	116	159	85	51	142	108	71	31	38	41	42	49	124	33					
6	Число погашенных избирательных бюллетеней	8564	217	234	567	509	377	368	491	463	376	103	29	20	61	12	256	717	446	127	580	791	325	75	221	276	49	395	423	56					
7	Число избирательных бюллетеней в переносных ящиках	1865	132	77	75	39	36	48	70	62	87	29	0	8	43	31	116	159	85	89	142	108	71	31	38	41	42	49	124	33					
8	Число бюллетеней в стационарных ящиках для голосования	14104	411	339	658	972	707	334	409	425	1097	408	101	162	236	57	378	734	889	144	1021	1301	614	144	251	713	279	706	423	191					
9	Число недействительных избирательных бюллетеней	190	0	4	7	3	8	5	9	4	7	1	2	2	5	0	6	12	10	13	9	21	8	7	5	18	6	1	12	5					
10	Число действительных избирательных бюллетеней	15779	543	412	726	1008	735	377	470	483	1177	436	99	168	274	88	488	881	964	220	1154	1388	677	168	284	736	315	754	535	219					
11	Число полученных открепительных  удостоверений	758	20	20	40	50	30	20	30	30	50	20	5	10	10	5	20	50	40	10	54	74	30	10	20	30	10	30	30	10					
12	Число выданных открепительных удостоверений	467	14	4	12	28	30	2	10	13	47	6	5	10	8	0	17	29	33	6	50	72	9	8	4	21	10	12	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	313	8	0	7	10	16	2	20	4	9	2	0	1	0	3	2	5	9	1	11	72	7	3	1	76	12	16	10	6					
14	Число неиспользованных открепительных удостоверений	291	6	16	28	22	0	18	20	17	3	14	0	0	2	5	3	21	7	4	4	2	21	2	16	9	0	18	24	9					
15	"Число открепительных удостоверений, выданных в ТИК"	18	0	0	1	3	0	1	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	643	22	20	23	53	25	20	15	22	54	14	2	1	6	2	20	25	20	4	94	60	37	4	8	26	3	37	11	15					
		4.03%	4.05%	4.81%	3.14%	5.24%	3.36%	5.24%	3.13%	4.52%	4.56%	3.20%	1.98%	0.59%	2.15%	2.27%	4.05%	2.80%	2.05%	1.72%	8.08%	4.26%	5.40%	2.29%	2.77%	3.45%	0.93%	4.90%	2.01%	6.70%					
19	. Малышкин Олег Александрович	651	40	16	33	34	37	10	22	24	41	17	4	11	6	2	17	32	24	5	58	70	42	7	8	31	9	25	17	9					
		4.08%	7.37%	3.85%	4.50%	3.36%	4.98%	2.62%	4.59%	4.93%	3.46%	3.89%	3.96%	6.47%	2.15%	2.27%	3.44%	3.58%	2.46%	2.15%	4.99%	4.97%	6.13%	4.00%	2.77%	4.11%	2.80%	3.31%	3.11%	4.02%					
20	. Миронов Сергей Михайлович	205	7	4	2	17	25	11	3	8	12	1	0	1	2	0	5	17	7	2	18	14	10	4	3	8	3	17	3	1					
