Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Уметская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  1020	УИК  1021	УИК  1022	УИК  1023	УИК  1024	УИК  1025	УИК  1026	УИК  1027	УИК  1028	УИК  1029	УИК  1030	УИК  1031	УИК  1032	УИК  1033	УИК  1034	УИК  1035	УИК  1036	УИК  1037	УИК  1038					
1	"Число избирателей, внесенных в список"	9052	397	275	283	207	378	349	410	423	439	303	109	223	290	172	389	449	617	1058	2281					
2	Число полученных избирательных бюллетеней	9500	400	290	282	216	398	345	412	432	550	302	108	235	305	168	420	454	620	1103	2460					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6118	282	215	221	180	299	196	230	288	283	220	73	141	195	110	235	231	519	681	1519					
5	"Число избирательных бюллетеней, выданных вне помещения"	1743	112	58	55	24	79	113	124	80	81	78	24	65	94	55	131	91	98	178	203					
6	Число погашенных избирательных бюллетеней	1639	6	17	6	12	20	36	58	64	186	4	11	29	16	3	54	132	3	244	738					
7	Число избирательных бюллетеней в переносных ящиках	1743	112	58	55	24	79	113	124	80	81	78	24	65	94	55	131	91	98	178	203					
8	Число бюллетеней в стационарных ящиках для голосования	6117	282	215	221	180	299	196	230	288	283	220	73	141	195	110	235	231	519	680	1519					
9	Число недействительных избирательных бюллетеней	100	5	1	2	2	1	4	2	14	4	6	0	5	0	4	0	1	22	7	20					
10	Число действительных избирательных бюллетеней	7760	389	272	274	202	377	305	352	354	360	292	97	201	289	161	366	321	595	851	1702					
11	Число полученных открепительных  удостоверений	100	4	3	3	2	4	4	4	4	5	3	2	2	3	2	4	5	7	13	26					
12	Число выданных открепительных удостоверений	49	1	0	1	1	0	0	1	1	5	3	0	0	1	0	4	0	0	5	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	1	0	2	2	1	0	0	1	3	3	2	0	1	2	1	1	1	1	9					
14	Число неиспользованных открепительных удостоверений	51	3	3	2	1	4	4	3	3	0	0	2	2	2	2	0	5	7	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	165	3	5	7	5	10	6	7	4	3	4	0	0	1	9	13	8	10	22	48					
		2.10%	0.76%	1.83%	2.54%	2.45%	2.65%	1.94%	1.98%	1.09%	0.82%	1.34%	0.00%	0.00%	0.35%	5.45%	3.55%	2.48%	1.62%	2.56%	2.79%					
19	. Малышкин Олег Александрович	163	9	5	2	4	12	4	11	11	11	6	2	0	5	4	2	3	3	33	36					
		2.07%	2.28%	1.83%	0.72%	1.96%	3.17%	1.29%	3.11%	2.99%	3.02%	2.01%	2.06%	0.00%	1.73%	2.42%	0.55%	0.93%	0.49%	3.85%	2.09%					
20	. Миронов Сергей Михайлович	45	2	2	6	1	5	0	1	1	6	2	0	1	3	0	0	1	2	4	8					
		0.57%	0.51%	0.73%	2.17%	0.49%	1.32%	0.00%	0.28%	0.27%	1.65%	0.67%	0.00%	0.49%	1.04%	0.00%	0.00%	0.31%	0.32%	0.47%	0.46%					
21	. Путин Владимир Владимирович	4927	261	216	108	130	246	183	232	229	214	227	79	155	223	68	249	236	367	498	1006					
		62.68%	66.24%	79.12%	39.13%	63.73%	65.08%	59.22%	65.54%	62.23%	58.79%	76.17%	81.44%	75.24%	77.16%	41.21%	68.03%	73.29%	59.48%	58.04%	58.42%					
22	. Хакамада Ирина Муцуовна	125	2	3	6	3	10	4	8	6	5	4	3	3	2	3	1	2	5	20	35					
		1.59%	0.51%	1.10%	2.17%	1.47%	2.65%	1.29%	2.26%	1.63%	1.37%	1.34%	3.09%	1.46%	0.69%	1.82%	0.27%	0.62%	0.81%	2.33%	2.03%					
23	. Харитонов Николай Михайлович	2196	104	41	142	54	91	99	85	100	117	46	12	40	55	73	99	68	195	244	531					
		27.94%	26.40%	15.02%	51.45%	26.47%	24.07%	32.04%	24.01%	27.17%	32.14%	15.44%	12.37%	19.42%	19.03%	44.24%	27.05%	21.12%	31.60%	28.44%	30.84%					
																										
24	Против всех	139	8	0	3	5	3	9	8	3	4	3	1	2	0	4	2	3	13	30	38					
		1.77%	2.03%	0.00%	1.09%	2.45%	0.79%	2.91%	2.26%	0.82%	1.10%	1.01%	1.03%	0.97%	0.00%	2.42%	0.55%	0.93%	2.11%	3.50%	2.21%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
