Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аургазинская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809					
1	"Число избирателей, внесенных в список"	27148	460	793	414	395	810	359	615	623	168	828	434	619	705	268	159	228	562	690	538	533	309	402	563	519	200	102	279	675	521	154	712	1092	2165	2449	1438	560	234	517	218	328	544	298	665	404	253	226	619	101	400					
2	Число полученных избирательных бюллетеней	27800	465	783	415	394	831	366	649	623	167	854	442	616	730	274	162	232	560	704	552	533	309	406	568	515	197	107	279	690	536	155	735	1190	2264	2484	1559	569	243	525	215	328	558	302	678	403	258	226	624	101	424					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23819	328	703	395	331	654	339	593	569	161	722	392	427	481	258	132	170	534	579	466	451	283	302	487	471	170	95	248	523	484	106	478	1007	1985	2292	1321	498	222	455	194	313	513	297	619	389	250	225	549	71	287					
5	"Число избирательных бюллетеней, выданных вне помещения"	2867	132	80	19	58	141	20	22	54	6	89	35	181	214	9	27	57	24	91	70	69	26	93	73	42	25	7	23	148	37	48	234	56	115	34	84	49	0	62	21	15	28	0	43	7	0	0	64	28	107					
6	Число погашенных избирательных бюллетеней	1114	5	0	1	5	36	7	34	0	0	43	15	8	35	7	3	5	2	34	16	13	0	11	8	2	2	5	8	19	15	1	23	127	164	158	154	22	21	8	0	0	17	5	16	7	8	1	11	2	30					
7	Число избирательных бюллетеней в переносных ящиках	2867	132	80	19	58	141	20	22	54	6	89	35	181	214	9	27	57	24	91	70	69	26	93	73	42	25	7	23	148	37	48	234	56	115	34	84	49	0	62	21	15	28	0	43	7	0	0	64	28	107					
8	Число бюллетеней в стационарных ящиках для голосования	23819	328	703	395	331	654	339	593	569	161	722	392	427	481	258	132	170	534	579	466	451	283	302	487	471	170	95	248	523	484	106	478	1007	1985	2292	1321	498	222	455	194	313	513	297	619	389	250	225	549	71	287					
9	Число недействительных избирательных бюллетеней	33	0	7	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	8	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	26653	460	776	414	388	794	359	615	623	167	811	427	608	694	267	159	227	558	670	536	520	309	395	560	513	193	102	271	671	521	154	712	1063	2096	2318	1405	545	222	517	215	328	541	297	655	396	250	225	613	99	394					
11	Число полученных открепительных  удостоверений	305	4	5	2	4	8	2	2	6	2	8	2	6	1	0	0	3	6	8	6	6	1	3	7	5	3	2	3	7	5	2	5	20	40	30	30	7	4	6	2	6	6	4	7	4	3	2	3	2	5					
12	Число выданных открепительных удостоверений	124	3	2	1	0	4	2	2	3	0	6	0	4	0	0	0	0	0	4	5	1	0	0	5	3	0	1	0	2	4	1	0	7	16	27	12	2	0	3	0	0	0	0	0	1	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	155	2	4	1	2	4	0	0	7	3	1	2	7	2	0	1	0	2	5	1	5	1	1	4	5	3	0	1	3	1	0	0	21	14	16	4	3	0	5	4	4	4	3	0	4	0	1	3	0	1					
14	Число неиспользованных открепительных удостоверений	181	1	3	1	4	4	0	0	3	2	2	2	2	1	0	0	3	6	4	1	5	1	3	2	2	3	1	3	5	1	1	5	13	24	3	18	5	4	3	2	6	6	4	7	3	3	2	0	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	48	0	0	0	1	2	0	0	0	0	0	2	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	4	5	18	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0					
		0.18%	0.00%	0.00%	0.00%	0.26%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.16%	0.29%	0.37%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.38%	0.00%	0.00%	0.38%	0.24%	0.77%	0.36%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	29	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3	2	7	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.11%	0.00%	0.00%	0.00%	0.51%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.28%	0.10%	0.30%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	7	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.10%	0.30%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
