Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Ольховская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334					
1	"Число избирателей, внесенных в список"	14171	1313	1249	1362	152	926	132	567	988	556	530	139	486	258	1328	610	608	914	432	1621					
2	Число полученных избирательных бюллетеней	13544	1200	1200	1300	156	870	135	550	950	540	520	153	450	250	1250	600	570	900	400	1550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8469	852	776	785	97	582	113	344	539	300	396	107	245	174	666	430	414	494	299	856					
5	"Число избирательных бюллетеней, выданных вне помещения"	841	56	30	69	8	25	0	27	78	71	38	16	52	27	76	26	34	60	27	121					
6	Число погашенных избирательных бюллетеней	4234	292	394	446	51	263	22	179	333	169	86	30	153	49	508	144	122	346	74	573					
7	Число избирательных бюллетеней в переносных ящиках	841	56	30	69	8	25	0	27	78	71	38	16	52	27	76	26	34	60	27	121					
8	Число бюллетеней в стационарных ящиках для голосования	8469	852	776	785	97	582	113	344	539	300	396	107	245	174	666	430	414	494	299	856					
9	Число недействительных избирательных бюллетеней	64	4	10	5	1	2	0	5	1	2	1	2	1	0	12	2	4	4	0	8					
10	Число действительных избирательных бюллетеней	9246	904	796	849	104	605	113	366	616	369	433	121	296	201	730	454	444	550	326	969					
11	Число полученных открепительных  удостоверений	278	20	20	20	5	15	5	10	30	10	10	8	10	10	30	10	10	15	10	30					
12	Число выданных открепительных удостоверений	143	13	8	7	1	4	0	5	21	10	10	8	3	8	8	10	3	15	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	6	7	1	2	2	1	2	0	1	3	1	4	2	3	2	3	1	0	10					
14	Число неиспользованных открепительных удостоверений	135	7	12	13	4	11	5	5	9	0	0	0	7	2	22	0	7	0	9	22					
15	"Число открепительных удостоверений, выданных в ТИК"	6	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	162	30	20	9	0	9	1	2	6	8	6	3	3	4	15	3	13	4	6	20					
		1.74%	3.30%	2.48%	1.05%	0.00%	1.48%	0.88%	0.54%	0.97%	2.16%	1.38%	2.44%	1.01%	1.99%	2.02%	0.66%	2.90%	0.72%	1.84%	2.05%					
19	. Малышкин Олег Александрович	240	20	16	23	3	15	1	6	18	10	7	4	9	3	15	19	12	13	6	40					
		2.58%	2.20%	1.99%	2.69%	2.86%	2.47%	0.88%	1.62%	2.92%	2.70%	1.61%	3.25%	3.03%	1.49%	2.02%	4.17%	2.68%	2.35%	1.84%	4.09%					
20	. Миронов Сергей Михайлович	59	11	2	3	1	4	0	0	2	2	4	0	1	2	9	2	7	4	0	5					
		0.63%	1.21%	0.25%	0.35%	0.95%	0.66%	0.00%	0.00%	0.32%	0.54%	0.92%	0.00%	0.34%	1.00%	1.21%	0.44%	1.56%	0.72%	0.00%	0.51%					
21	. Путин Владимир Владимирович	5923	579	533	583	77	359	73	233	440	217	290	84	185	165	542	307	242	252	177	585					
		63.62%	63.77%	66.13%	68.27%	73.33%	59.14%	64.60%	62.80%	71.31%	58.49%	66.82%	68.29%	62.29%	82.09%	73.05%	67.32%	54.02%	45.49%	54.29%	59.88%					
22	. Хакамада Ирина Муцуовна	172	13	18	24	2	10	3	5	15	5	4	4	12	4	14	8	4	7	5	15					
		1.85%	1.43%	2.23%	2.81%	1.90%	1.65%	2.65%	1.35%	2.43%	1.35%	0.92%	3.25%	4.04%	1.99%	1.89%	1.75%	0.89%	1.26%	1.53%	1.54%					
23	. Харитонов Николай Михайлович	2559	238	197	198	21	192	35	118	123	119	117	25	81	20	121	109	158	269	130	288					
		27.49%	26.21%	24.44%	23.19%	20.00%	31.63%	30.97%	31.81%	19.94%	32.08%	26.96%	20.33%	27.27%	9.95%	16.31%	23.90%	35.27%	48.56%	39.88%	29.48%					
																										
24	Против всех	131	13	10	9	0	16	0	2	12	8	5	1	5	3	14	6	8	1	2	16					
		1.41%	1.43%	1.24%	1.05%	0.00%	2.64%	0.00%	0.54%	1.94%	2.16%	1.15%	0.81%	1.68%	1.49%	1.89%	1.32%	1.79%	0.18%	0.61%	1.64%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
