Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Кирово-Чепецкая городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589					
1	"Число избирателей, внесенных в список"	72164	1311	2193	2052	2548	2770	2062	2181	1292	2114	3022	2577	2619	3040	2954	1114	2213	2967	2329	2452	1250	1900	2250	2608	2522	2471	2807	1881	1485	914	1083	1844	521	958	315	1715	1830					
2	Число полученных избирательных бюллетеней	66700	1200	2000	2000	2300	2500	2000	2000	1400	2000	2800	2400	2400	2800	2700	1000	2000	2700	2100	2200	1200	1700	2100	2400	2300	2300	2600	1700	1400	900	900	1700	500	900	300	1600	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	40037	787	1329	1139	1573	1528	1097	1082	874	1323	1542	1445	1368	1647	1526	476	1316	1480	1392	1311	779	995	1344	1423	1396	1335	1629	1135	874	719	633	878	169	546	97	978	872					
5	"Число избирательных бюллетеней, выданных вне помещения"	806	19	16	29	42	29	25	19	12	44	13	15	11	21	25	8	6	6	11	13	17	4	24	18	5	13	17	10	15	0	9	52	51	36	148	12	11					
6	Число погашенных избирательных бюллетеней	25857	394	655	832	685	943	878	899	514	633	1245	940	1021	1132	1149	516	678	1214	697	876	404	701	732	959	899	952	954	555	511	181	258	770	280	318	55	610	817					
7	Число избирательных бюллетеней в переносных ящиках	806	19	16	29	42	29	25	19	12	44	13	15	11	21	25	8	6	6	11	13	17	4	24	18	5	13	17	10	15	0	9	52	51	36	148	12	11					
8	Число бюллетеней в стационарных ящиках для голосования	39977	787	1329	1139	1572	1528	1097	1082	874	1323	1542	1445	1368	1647	1526	475	1316	1479	1379	1311	779	995	1344	1385	1395	1330	1629	1135	874	719	633	878	169	546	97	978	872					
9	Число недействительных избирательных бюллетеней	238	4	12	12	9	24	2	8	3	8	4	7	5	10	12	1	13	6	0	7	4	9	8	10	3	7	5	4	7	9	3	9	3	2	0	5	3					
10	Число действительных избирательных бюллетеней	40545	802	1333	1156	1605	1533	1120	1093	883	1359	1551	1453	1374	1658	1539	482	1309	1479	1390	1317	792	990	1360	1393	1397	1336	1641	1141	882	710	639	921	217	580	245	985	880					
11	Число полученных открепительных  удостоверений	1550	30	50	50	60	60	50	50	30	50	60	60	60	60	60	30	50	60	50	50	30	40	50	50	50	50	50	40	30	20	30	40	10	20	0	40	30					
12	Число выданных открепительных удостоверений	281	7	7	6	14	8	5	4	8	13	15	12	4	11	11	4	15	5	12	6	4	7	10	7	14	13	5	11	4	3	4	3	3	3	0	12	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	222	3	7	2	11	7	5	11	5	6	8	9	6	5	8	2	4	5	2	8	6	7	6	5	7	3	2	6	3	1	4	12	0	9	30	1	6					
14	Число неиспользованных открепительных удостоверений	1269	23	43	44	46	52	45	46	22	37	45	48	56	49	49	26	35	55	38	44	26	33	40	43	36	37	45	29	26	17	26	37	7	17	0	28	19					
15	"Число открепительных удостоверений, выданных в ТИК"	35	0	2	1	0	4	2	3	0	3	2	1	2	0	1	0	0	0	1	1	0	2	3	1	1	0	1	0	0	0	2	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2333	54	75	80	90	104	52	71	40	68	118	75	62	89	73	20	85	89	89	58	61	43	97	98	86	76	91	51	62	22	34	51	8	36	21	64	40					
		5.72%	6.70%	5.58%	6.85%	5.58%	6.68%	4.63%	6.45%	4.51%	4.97%	7.59%	5.14%	4.50%	5.34%	4.71%	4.14%	6.43%	5.99%	6.40%	4.38%	7.66%	4.30%	7.09%	6.99%	6.14%	5.66%	5.53%	4.45%	6.97%	3.06%	5.30%	5.48%	3.64%	6.19%	8.57%	6.46%	4.53%					
19	. Малышкин Олег Александрович	1164	20	42	27	44	38	33	31	20	37	40	37	45	58	54	11	42	49	33	53	23	41	42	45	46	34	49	22	20	13	28	17	7	11	4	30	18					
		2.85%	2.48%	3.12%	2.31%	2.73%	2.44%	2.94%	2.82%	2.26%	2.71%	2.57%	2.53%	3.26%	3.48%	3.48%	2.28%	3.18%	3.30%	2.37%	4.00%	2.89%	4.10%	3.07%	3.21%	3.29%	2.53%	2.98%	1.92%	2.25%	1.81%	4.36%	1.83%	3.18%	1.89%	1.63%	3.03%	2.04%					
20	. Миронов Сергей Михайлович	431	8	11	18	23	18	12	10	11	20	16	17	10	20	11	7	18	27	17	11	11	7	11	18	16	13	12	9	3	12	4	5	1	7	1	7	9					
		1.06%	0.99%	0.82%	1.54%	1.43%	1.16%	1.07%	0.91%	1.24%	1.46%	1.03%	1.16%	0.73%	1.20%	0.71%	1.45%	1.36%	1.82%	1.22%	0.83%	1.38%	0.70%	0.80%	1.28%	1.14%	0.97%	0.73%	0.79%	0.34%	1.67%	0.62%	0.54%	0.45%	1.20%	0.41%	0.71%	1.02%					
21	. Путин Владимир Владимирович	26980	549	837	700	983	987	744	711	565	981	1043	992	940	1116	1030	365	874	1024	886	882	490	705	865	870	939	875	1089	751	588	572	459	675	154	351	158	650	580					
		66.16%	68.11%	62.23%	59.93%	60.90%	63.39%	66.31%	64.58%	63.77%	71.76%	67.07%	67.95%	68.17%	66.91%	66.41%	75.57%	66.11%	68.96%	63.74%	66.62%	61.56%	70.57%	63.23%	62.01%	67.07%	65.15%	66.16%	65.59%	66.14%	79.55%	71.50%	72.58%	70.00%	60.31%	64.49%	65.66%	65.69%					
22	. Хакамада Ирина Муцуовна	1808	27	53	51	75	48	33	59	42	50	88	61	78	67	79	24	61	73	71	60	45	50	70	42	69	64	84	62	22	13	24	23	5	22	5	49	59					
		4.43%	3.35%	3.94%	4.37%	4.65%	3.08%	2.94%	5.36%	4.74%	3.66%	5.66%	4.18%	5.66%	4.02%	5.09%	4.97%	4.61%	4.92%	5.11%	4.53%	5.65%	5.01%	5.12%	2.99%	4.93%	4.77%	5.10%	5.41%	2.47%	1.81%	3.74%	2.47%	2.27%	3.78%	2.04%	4.95%	6.68%					
23	. Харитонов Николай Михайлович	6235	112	268	239	317	294	211	159	186	148	170	243	191	255	220	36	173	167	211	196	127	101	228	254	185	210	238	201	144	65	70	126	33	138	43	146	130					
		15.29%	13.90%	19.93%	20.46%	19.64%	18.88%	18.81%	14.44%	20.99%	10.83%	10.93%	16.64%	13.85%	15.29%	14.18%	7.45%	13.09%	11.25%	15.18%	14.80%	15.95%	10.11%	16.67%	18.10%	13.21%	15.64%	14.46%	17.55%	16.20%	9.04%	10.90%	13.55%	15.00%	23.71%	17.55%	14.75%	14.72%					
																																											
24	Против всех	1594	32	47	41	73	44	35	52	19	55	76	28	48	53	72	19	56	50	83	57	35	43	47	66	56	64	78	45	43	13	20	24	9	15	13	39	44					
		3.91%	3.97%	3.49%	3.51%	4.52%	2.83%	3.12%	4.72%	2.14%	4.02%	4.89%	1.92%	3.48%	3.18%	4.64%	3.93%	4.24%	3.37%	5.97%	4.31%	4.40%	4.30%	3.44%	4.70%	4.00%	4.77%	4.74%	3.93%	4.84%	1.81%	3.12%	2.58%	4.09%	2.58%	5.31%	3.94%	4.98%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
