Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Горномарийская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237					
1	"Число избирателей, внесенных в список"	20704	626	733	816	584	407	129	365	515	1177	447	321	192	567	238	74	445	567	837	315	333	1042	253	488	1077	756	698	732	427	140	350	336	802	721	256	224	440	57	221	219	392	211	669	505					
2	Число полученных избирательных бюллетеней	20322	575	750	780	600	400	146	358	505	1160	425	335	198	565	235	78	420	575	790	295	335	970	240	470	965	720	685	730	420	157	395	315	780	700	250	235	435	75	245	235	390	210	700	475					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11433	255	374	571	337	212	93	212	342	683	267	194	144	374	131	69	180	314	469	170	185	499	141	280	516	434	380	435	168	104	180	169	362	362	114	140	288	45	168	135	144	135	381	277					
5	"Число избирательных бюллетеней, выданных вне помещения"	5597	228	212	123	159	137	17	96	89	313	105	91	35	99	64	2	204	158	156	60	92	299	71	111	326	165	166	103	157	24	122	127	280	253	109	51	81	8	39	48	174	49	235	159					
6	Число погашенных избирательных бюллетеней	3292	92	164	86	104	51	36	50	74	164	53	50	19	92	40	7	36	103	165	65	58	172	28	79	123	121	139	192	95	29	93	19	138	85	27	44	66	22	38	52	72	26	84	39					
7	Число избирательных бюллетеней в переносных ящиках	5597	228	212	123	159	137	17	96	89	313	105	91	35	99	64	2	204	158	156	60	92	299	71	111	326	165	166	103	157	24	122	127	280	253	109	51	81	8	39	48	174	49	235	159					
8	Число бюллетеней в стационарных ящиках для голосования	11431	255	374	571	337	212	93	212	342	683	267	194	144	374	131	69	180	314	469	169	185	498	141	280	516	434	380	435	168	104	180	169	362	362	114	140	288	45	168	135	144	135	381	277					
9	Число недействительных избирательных бюллетеней	165	2	3	3	6	4	2	3	10	10	2	3	3	5	0	0	2	4	8	5	7	2	8	8	5	1	4	4	3	0	5	1	4	8	0	3	5	0	3	3	2	4	4	6					
10	Число действительных избирательных бюллетеней	16863	481	583	691	490	345	108	305	421	986	370	282	176	468	195	71	382	468	617	224	270	795	204	383	837	598	542	534	322	128	297	295	638	607	223	188	364	53	204	180	316	180	612	430					
11	Число полученных открепительных  удостоверений	389	0	10	10	8	13	5	8	8	27	8	7	5	10	5	2	7	16	19	8	8	12	5	8	8	8	10	12	8	6	35	2	8	12	4	8	25	8	8	2	3	0	8	5					
12	Число выданных открепительных удостоверений	329	0	10	10	8	13	1	8	1	27	8	5	5	9	5	2	7	16	17	3	3	12	4	1	8	5	9	12	1	5	35	0	8	12	2	2	25	8	8	2	1	0	8	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	0	8	12	2	3	5	4	1	3	2	3	3	2	0	2	1	5	5	3	2	4	3	1	2	1	5	5	3	1	0	3	1	1	2	2	7	4	2	2	6	2	3	1					
14	Число неиспользованных открепительных удостоверений	60	0	0	0	0	0	4	0	7	0	0	2	0	1	0	0	0	0	2	5	5	0	1	7	0	3	1	0	7	1	0	2	0	0	2	6	0	0	0	0	2	0	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	403	6	11	19	12	9	7	7	10	26	9	8	3	11	6	5	12	11	15	5	7	20	17	12	17	27	28	12	7	1	7	3	11	8	9	3	2	1	2	1	6	2	5	3					
		2.37%	1.24%	1.88%	2.74%	2.42%	2.58%	6.36%	2.27%	2.32%	2.61%	2.42%	2.81%	1.68%	2.33%	3.08%	7.04%	3.12%	2.33%	2.40%	2.18%	2.53%	2.51%	8.02%	3.07%	2.02%	4.51%	5.13%	2.23%	2.15%	0.78%	2.32%	1.01%	1.71%	1.30%	4.04%	1.57%	0.54%	1.89%	0.97%	0.55%	1.89%	1.09%	0.81%	0.69%					
19	. Малышкин Олег Александрович	407	12	12	14	8	4	5	2	15	32	9	10	3	17	3	1	10	2	17	1	7	24	8	10	17	6	12	12	8	2	6	3	26	15	12	7	8	1	11	3	7	2	8	15					
		2.39%	2.48%	2.05%	2.02%	1.61%	1.15%	4.55%	0.65%	3.48%	3.21%	2.42%	3.51%	1.68%	3.59%	1.54%	1.41%	2.60%	0.42%	2.72%	0.44%	2.53%	3.01%	3.77%	2.56%	2.02%	1.00%	2.20%	2.23%	2.46%	1.56%	1.99%	1.01%	4.05%	2.44%	5.38%	3.66%	2.17%	1.89%	5.31%	1.64%	2.20%	1.09%	1.30%	3.44%					
20	. Миронов Сергей Михайлович	121	2	1	1	2	1	0	1	1	9	3	3	3	2	1	0	3	4	4	3	2	5	1	1	7	4	5	15	6	1	0	2	8	6	0	2	4	1	0	1	2	1	2	1					
		0.71%	0.41%	0.17%	0.14%	0.40%	0.29%	0.00%	0.32%	0.23%	0.90%	0.81%	1.05%	1.68%	0.42%	0.51%	0.00%	0.78%	0.85%	0.64%	1.31%	0.72%	0.63%	0.47%	0.26%	0.83%	0.67%	0.92%	2.79%	1.85%	0.78%	0.00%	0.68%	1.25%	0.98%	0.00%	1.05%	1.08%	1.89%	0.00%	0.55%	0.63%	0.54%	0.32%	0.23%					
21	. Путин Владимир Владимирович	12694	384	474	552	381	280	86	261	312	689	240	153	104	331	147	39	302	357	496	180	221	546	139	291	621	508	395	366	248	100	223	246	426	460	157	152	259	39	155	128	209	142	541	354					
		74.55%	79.50%	80.89%	79.54%	76.81%	80.23%	78.18%	84.74%	72.39%	69.18%	64.52%	53.68%	58.10%	69.98%	75.38%	54.93%	78.65%	75.64%	79.36%	78.60%	79.78%	68.51%	65.57%	74.42%	73.75%	84.81%	72.34%	68.03%	76.31%	78.12%	73.84%	83.11%	66.36%	74.80%	70.40%	79.58%	70.19%	73.58%	74.88%	69.95%	65.72%	77.17%	87.82%	81.19%					
22	. Хакамада Ирина Муцуовна	254	0	8	8	5	5	1	7	8	9	7	11	4	9	2	0	0	3	8	4	2	26	3	4	18	3	8	15	5	4	6	4	10	6	4	0	5	0	0	1	2	4	16	9					
