Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Мелеузовская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022					
1	"Число избирателей, внесенных в список"	63028	1400	2701	829	916	1890	1629	1432	1308	1397	2634	2839	2820	2565	2971	2882	1685	2999	1652	3062	1582	1623	1663	198	699	500	417	431	704	477	723	220	137	136	705	298	248	288	204	148	1504	1188	339	365	458	296	925	611	745	716	568	552	432	168	782	281	234	255	188	900	230	279					
2	Число полученных избирательных бюллетеней	63060	1400	2600	800	900	1800	1650	1400	1350	1300	2650	2800	2850	2750	3000	2850	1700	3000	1700	3000	1600	1600	1650	200	700	500	400	450	700	500	750	220	140	140	700	300	250	300	210	150	1500	1200	350	370	460	300	900	600	750	730	565	550	440	170	800	300	250	255	200	900	230	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54366	1306	2227	716	878	1462	1495	1232	1206	837	2145	1446	2746	2204	2863	2636	1011	2346	1608	2942	1183	1477	1615	183	520	439	297	404	514	352	697	204	137	125	678	249	239	268	192	142	1460	1155	300	349	432	251	812	579	685	653	501	486	396	162	618	276	216	252	176	900	230	256					
5	"Число избирательных бюллетеней, выданных вне помещения"	2769	24	143	80	20	76	81	48	18	111	43	51	46	43	24	190	37	53	44	28	50	123	31	11	157	23	103	20	99	121	18	16	0	11	22	47	8	15	9	3	32	33	35	13	24	42	18	21	60	63	60	64	33	6	164	5	13	3	12	0	0	21					
6	Число погашенных избирательных бюллетеней	5925	70	230	4	2	262	74	120	126	352	462	1303	58	503	113	24	652	601	48	30	367	0	4	6	23	38	0	26	87	27	35	0	3	4	0	4	3	17	9	5	8	12	15	8	4	7	70	0	5	14	4	0	11	2	18	19	21	0	12	0	0	3					
7	Число избирательных бюллетеней в переносных ящиках	2768	24	143	80	20	76	81	48	18	111	43	51	46	43	24	190	37	53	44	28	50	123	31	11	157	23	103	20	99	121	18	16	0	11	22	47	8	15	9	3	32	33	35	13	24	42	17	21	60	63	60	64	33	6	164	5	13	3	12	0	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	54314	1306	2227	716	878	1462	1494	1184	1206	837	2145	1444	2746	2204	2863	2636	1011	2346	1608	2942	1183	1477	1615	183	520	439	297	404	513	352	697	204	137	125	678	249	239	268	192	142	1460	1155	300	349	432	251	812	579	685	653	501	486	396	162	618	276	216	252	176	900	230	256					
9	Число недействительных избирательных бюллетеней	198	2	2	0	8	0	2	38	2	3	0	5	2	10	7	9	7	6	8	0	19	3	1	6	2	2	1	3	0	4	13	4	0	0	0	0	0	0	0	1	5	2	0	0	0	0	4	2	0	3	0	1	2	0	0	1	1	0	0	0	1	6					
10	Число действительных избирательных бюллетеней	56884	1328	2368	796	890	1538	1573	1194	1222	945	2188	1490	2790	2237	2880	2817	1041	2393	1644	2970	1214	1597	1645	188	675	460	399	421	612	469	702	216	137	136	700	296	247	283	201	144	1487	1186	335	362	456	293	825	598	745	713	561	549	427	168	782	280	228	255	188	900	229	271					
