Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    район Бирюлево Восточное																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №2991					
1	"Число избирателей, внесенных в список"	79345	2072	2274	2032	2133	2086	2120	1857	1589	1590	2018	2173	1989	1993	2185	2478	1816	2042	2022	2374	2086	1363	1733	2152	1687	2357	2749	2789	2383	2674	1890	1592	1649	2144	2334	2748	2502	1379	1312	979					
2	Число полученных избирательных бюллетеней	78000	2000	2200	2000	2000	2000	2000	2000	1600	1600	2000	2000	2000	2000	2300	2300	1800	2000	2000	2300	2000	1400	1700	2000	1700	2500	2700	2700	2300	2600	1800	1600	1600	2300	2300	2600	2300	1400	1500	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52613	1555	1741	1517	1241	1423	1460	1129	796	958	1118	1219	1483	1341	1334	1713	1032	1395	1419	1617	1410	835	1246	1357	1158	1767	1516	1604	1582	1853	1309	1128	1165	1678	1565	1457	1731	937	984	840					
5	"Число избирательных бюллетеней, выданных вне помещения"	1294	31	35	40	24	37	34	35	26	12	28	43	30	45	33	41	29	38	54	47	58	38	53	41	22	36	45	26	39	48	24	9	6	27	13	29	21	25	14	58					
6	Число погашенных избирательных бюллетеней	24093	414	424	443	735	540	506	836	778	630	854	738	487	614	933	546	739	567	527	636	532	527	401	602	520	697	1139	1070	679	699	467	463	429	595	722	1114	548	438	502	2					
7	Число избирательных бюллетеней в переносных ящиках	1294	31	35	40	24	37	34	35	26	12	28	43	30	45	33	41	29	38	54	47	58	38	53	41	22	36	45	26	39	48	24	9	6	27	13	29	21	25	14	58					
8	Число бюллетеней в стационарных ящиках для голосования	52272	1555	1741	1517	1241	1423	1426	1129	796	933	1110	1218	1483	1341	1334	1713	1031	1395	1419	1610	1410	835	1246	1241	1158	1767	1516	1604	1562	1805	1309	1128	1165	1678	1565	1450	1704	890	984	840					
9	Число недействительных избирательных бюллетеней	1863	8	110	9	60	109	111	8	6	5	56	5	43	89	19	48	6	61	72	13	6	69	139	65	90	58	12	16	88	82	8	23	10	27	56	22	108	144	0	2					
10	Число действительных избирательных бюллетеней	51703	1578	1666	1548	1205	1351	1349	1156	816	940	1082	1256	1470	1297	1348	1706	1054	1372	1401	1644	1462	804	1160	1217	1090	1745	1549	1614	1513	1771	1325	1114	1161	1678	1522	1457	1617	771	998	896					
11	Число полученных открепительных  удостоверений	1930	50	50	50	50	50	50	50	40	40	50	80	50	50	50	50	40	50	50	50	50	40	40	50	40	55	60	60	50	55	40	40	40	50	50	55	55	50	50	50					
12	Число выданных открепительных удостоверений	1125	24	19	36	22	19	16	29	19	22	27	54	34	26	28	32	22	26	33	31	22	22	22	24	24	43	34	44	37	37	23	24	24	39	30	43	17	38	30	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	754	8	15	34	8	15	16	27	15	18	11	26	24	28	8	16	15	21	22	11	11	19	24	9	9	32	25	21	24	41	10	11	13	17	17	38	20	30	24	21					
