Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Сакмарская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438					
1	"Число избирателей, внесенных в список"	20420	2035	1697	2395	783	832	137	480	312	1565	307	448	1097	95	378	671	513	535	111	2527	391	1603	544	617	347					
2	Число полученных избирательных бюллетеней	20757	2044	1746	2400	786	825	143	724	314	1544	314	466	1103	99	381	661	526	541	110	2494	387	1644	534	617	354					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12400	1170	1089	1361	457	590	92	362	157	1035	206	367	536	82	224	373	312	324	79	1310	308	962	362	392	250					
5	"Число избирательных бюллетеней, выданных вне помещения"	1433	101	30	59	42	40	5	118	54	45	39	29	161	3	67	67	142	69	8	152	0	80	56	42	24					
6	Число погашенных избирательных бюллетеней	6924	773	627	980	287	195	46	244	103	464	69	70	406	14	90	221	72	148	23	1032	79	602	116	183	80					
7	Число избирательных бюллетеней в переносных ящиках	1433	101	30	59	42	40	5	118	54	45	39	29	161	3	67	67	142	69	8	152	0	80	56	42	24					
8	Число бюллетеней в стационарных ящиках для голосования	12398	1170	1089	1361	456	590	92	362	157	1035	206	367	535	82	224	373	312	324	79	1310	308	962	362	392	250					
9	Число недействительных избирательных бюллетеней	150	10	6	16	4	9	0	7	0	7	2	8	8	1	5	5	1	4	2	31	2	8	4	9	1					
10	Число действительных избирательных бюллетеней	13681	1261	1113	1404	494	621	97	473	211	1073	243	388	688	84	286	435	453	389	85	1431	306	1034	414	425	273					
11	Число полученных открепительных  удостоверений	300	20	20	20	12	12	6	12	10	27	10	10	20	2	10	10	10	6	3	20	10	20	10	10	10					
12	Число выданных открепительных удостоверений	171	7	11	19	10	2	1	5	1	22	3	10	20	0	3	10	3	5	2	5	2	20	1	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	91	10	6	9	7	4	3	4	0	10	1	1	3	1	2	4	1	4	0	8	4	5	2	1	1					
14	Число неиспользованных открепительных удостоверений	129	13	9	1	2	10	5	7	9	5	7	0	0	2	7	0	7	1	1	15	8	0	9	1	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	612	64	54	60	21	16	5	16	7	37	5	10	34	4	1	15	19	6	4	116	12	56	18	19	13					
		4.42%	5.04%	4.83%	4.23%	4.22%	2.54%	5.15%	3.33%	3.32%	3.43%	2.04%	2.53%	4.89%	4.71%	0.34%	3.41%	4.19%	1.53%	4.60%	7.93%	3.90%	5.37%	4.31%	4.38%	4.74%					
19	. Малышкин Олег Александрович	643	57	48	73	32	35	7	13	9	42	15	25	25	3	23	29	37	21	3	17	19	60	17	11	22					
		4.65%	4.48%	4.29%	5.14%	6.43%	5.56%	7.22%	2.71%	4.27%	3.89%	6.12%	6.31%	3.59%	3.53%	7.90%	6.59%	8.15%	5.34%	3.45%	1.16%	6.17%	5.76%	4.07%	2.53%	8.03%					
20	. Миронов Сергей Михайлович	76	8	3	10	2	1	0	5	0	10	0	0	7	0	1	1	4	2	1	6	2	10	0	2	1					
		0.55%	0.63%	0.27%	0.70%	0.40%	0.16%	0.00%	1.04%	0.00%	0.93%	0.00%	0.00%	1.01%	0.00%	0.34%	0.23%	0.88%	0.51%	1.15%	0.41%	0.65%	0.96%	0.00%	0.46%	0.36%					
21	. Путин Владимир Владимирович	8700	808	728	983	319	466	64	313	142	864	91	190	362	27	196	260	306	258	51	859	189	586	255	222	161					
		62.90%	63.57%	65.06%	69.23%	64.06%	73.97%	65.98%	65.21%	67.30%	80.00%	37.14%	47.98%	52.01%	31.76%	67.35%	59.09%	67.40%	65.65%	58.62%	58.76%	61.36%	56.24%	61.00%	51.15%	58.76%					
22	. Хакамада Ирина Муцуовна	302	22	20	31	14	9	3	7	8	19	8	2	13	3	7	11	14	3	2	48	2	24	14	13	5					
		2.18%	1.73%	1.79%	2.18%	2.81%	1.43%	3.09%	1.46%	3.79%	1.76%	3.27%	0.51%	1.87%	3.53%	2.41%	2.50%	3.08%	0.76%	2.30%	3.28%	0.65%	2.30%	3.35%	3.00%	1.82%					
23	. Харитонов Николай Михайлович	2886	246	194	183	77	86	16	107	39	59	113	160	218	46	52	107	61	88	22	359	77	258	103	154	61					
		20.87%	19.35%	17.34%	12.89%	15.46%	13.65%	16.49%	22.29%	18.48%	5.46%	46.12%	40.40%	31.32%	54.12%	17.87%	24.32%	13.44%	22.39%	25.29%	24.56%	25.00%	24.76%	24.64%	35.48%	22.26%					
																															
24	Против всех	462	56	66	64	29	8	2	12	6	42	11	1	29	1	6	12	12	11	2	26	5	40	7	4	10					
		3.34%	4.41%	5.90%	4.51%	5.82%	1.27%	2.06%	2.50%	2.84%	3.89%	4.49%	0.25%	4.17%	1.18%	2.06%	2.73%	2.64%	2.80%	2.30%	1.78%	1.62%	3.84%	1.67%	0.92%	3.65%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
