Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Нефтекумская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
1	"Число избирателей, внесенных в список"	45304	1979	2030	2799	2368	2162	1979	1217	2227	1832	1283	1630	1363	694	801	400	405	846	907	522	2096	1769	217	2037	222	1412	239	393	221	466	2216	1456	330	689	167	1731	1570	629					
2	Число полученных избирательных бюллетеней	48209	2061	2052	2820	2412	2279	2074	1180	2378	1920	1306	1721	1456	726	874	516	505	921	1083	553	2126	1842	217	2132	215	1688	238	410	282	587	2230	1456	466	773	187	1964	1777	782					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24168	933	1024	1405	1348	1255	1096	692	1238	998	571	826	722	387	439	244	273	412	436	159	925	771	178	923	187	1208	217	310	157	323	1005	548	176	455	137	964	952	274					
5	"Число избирательных бюллетеней, выданных вне помещения"	2221	57	45	59	80	42	46	122	57	33	96	71	35	27	36	78	32	141	130	98	136	64	0	168	8	93	7	33	20	16	21	45	22	0	30	66	65	142					
6	Число погашенных избирательных бюллетеней	21820	1071	983	1356	984	982	932	366	1083	889	639	824	699	312	399	194	200	368	517	296	1065	1007	39	1041	20	387	14	67	105	248	1204	863	268	318	20	934	760	366					
7	Число избирательных бюллетеней в переносных ящиках	2221	57	45	59	80	42	46	122	57	33	96	71	35	27	36	78	32	141	130	98	136	64	0	168	8	93	7	33	20	16	21	45	22	0	30	66	65	142					
8	Число бюллетеней в стационарных ящиках для голосования	24167	932	1024	1405	1348	1255	1096	692	1238	998	571	826	722	387	439	244	273	412	436	159	925	771	178	923	187	1208	217	310	157	323	1005	548	176	455	137	964	952	274					
9	Число недействительных избирательных бюллетеней	272	12	4	9	7	6	6	5	5	9	2	12	12	2	2	5	1	7	5	1	4	6	0	11	0	39	5	4	4	3	25	11	3	5	3	18	12	7					
10	Число действительных избирательных бюллетеней	26116	977	1065	1455	1421	1291	1136	809	1290	1022	665	885	745	412	473	317	304	546	561	256	1057	829	178	1080	195	1262	219	339	173	336	1001	582	195	450	164	1012	1005	409					
11	Число полученных открепительных  удостоверений	570	20	20	30	30	20	20	15	30	20	15	15	15	15	10	10	10	10	15	20	10	20	10	10	15	10	15	10	10	20	10	20	15	10	10	10	15	10					
12	Число выданных открепительных удостоверений	319	7	10	16	30	17	13	6	30	16	4	6	12	2	3	7	0	10	15	0	10	11	0	10	0	10	2	0	10	20	10	2	1	2	0	10	15	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	127	2	4	1	7	7	3	11	13	3	1	0	16	1	1	5	0	7	4	1	4	0	0	1	0	5	0	0	2	5	6	1	5	0	1	4	5	1					
14	Число неиспользованных открепительных удостоверений	251	13	10	14	0	3	7	9	0	4	11	9	3	13	7	3	10	0	0	20	0	9	10	0	15	0	13	10	0	0	0	18	14	8	10	0	0	8					
15	"Число открепительных удостоверений, выданных в ТИК"	30	0	0	1	2	0	1	0	22	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
